ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.479,0.45,0.99,0.482,0.022,0.46
BLAST-S14,0.98,0.442,0.45,0.98,0.444,0.025,0.46
Naive-S11,1.00,0.381,0.30,1.00,0.380,0.016,0.30
Naive-S14,1.00,0.347,0.17,1.00,0.347,0.012,0.17
101-1,0.93,0.490,0.37,0.93,0.489,0.018,0.37
101-2,0.91,0.537,0.05,0.91,0.540,0.019,0.11
101-3,0.93,0.501,0.11,0.93,0.503,0.020,0.10
102-1,1.00,0.552,0.60,1.00,0.554,0.020,0.59
102-2,0.93,0.535,0.69,0.93,0.540,0.019,0.63
102-3,0.02,0.031,0.04,0.02,0.031,0.017,0.20
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.46,0.374,0.17,0.46,0.373,0.028,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,0.98,0.464,0.92,0.98,0.467,0.022,0.91
105-2,0.96,0.479,0.97,0.96,0.483,0.022,0.98
105-3,0.97,0.474,1.00,0.97,0.474,0.023,1.00
106-1,0.83,0.350,0.07,0.83,0.349,0.024,0.08
106-2,0.53,0.140,0.78,0.53,0.141,0.020,0.77
106-3,0.23,0.201,0.07,0.23,0.200,0.027,0.08
107-1,1.00,0.408,0.72,1.00,0.412,0.020,0.73
107-2,1.00,0.446,0.04,1.00,0.447,0.025,0.04
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,1.00,0.346,0.22,1.00,0.345,0.024,0.22
110-2,0.95,0.479,0.48,0.95,0.485,0.019,0.39
110-3,1.00,0.257,0.21,1.00,0.259,0.020,0.22
111-1,0.89,0.335,0.02,0.89,0.334,0.026,0.08
111-2,0.99,0.250,0.21,0.99,0.254,0.018,0.29
111-3,0.09,0.104,0.02,0.09,0.103,0.025,0.02
112-1,1.00,0.482,0.39,1.00,0.483,0.020,0.41
112-2,1.00,0.481,0.39,1.00,0.484,0.020,0.41
112-3,0.99,0.461,0.39,0.99,0.461,0.020,0.38
113-1,0.99,0.460,0.34,0.99,0.463,0.019,0.36
