ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.389,0.45,0.99,0.393,0.024,0.46
BLAST-S14,0.98,0.374,0.51,0.98,0.381,0.027,0.49
Naive-S11,1.00,0.198,0.09,1.00,0.198,0.011,0.09
Naive-S14,1.00,0.198,0.16,1.00,0.198,0.011,0.15
101-1,0.93,0.399,0.37,0.93,0.400,0.020,0.35
101-2,0.91,0.442,0.10,0.91,0.445,0.024,0.11
101-3,0.93,0.418,0.09,0.93,0.420,0.024,0.10
102-1,1.00,0.460,0.61,1.00,0.464,0.024,0.58
102-2,0.93,0.451,0.75,0.93,0.457,0.024,0.69
102-3,0.02,0.031,0.04,0.02,0.031,0.016,0.20
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.46,0.371,0.17,0.46,0.371,0.029,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,0.98,0.439,0.92,0.98,0.440,0.024,0.91
105-2,0.96,0.447,1.00,0.96,0.454,0.024,0.99
105-3,0.97,0.447,1.00,0.97,0.447,0.025,1.00
106-1,0.83,0.284,0.07,0.83,0.283,0.025,0.08
106-2,0.53,0.097,0.78,0.53,0.099,0.020,0.81
106-3,0.23,0.167,0.07,0.23,0.166,0.027,0.08
107-1,1.00,0.356,0.72,1.00,0.366,0.022,0.77
107-2,1.00,0.414,0.04,1.00,0.414,0.028,0.04
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,1.00,0.108,0.22,1.00,0.108,0.015,0.22
110-2,0.95,0.440,0.50,0.95,0.441,0.025,0.49
110-3,1.00,0.189,0.12,1.00,0.193,0.020,0.13
111-1,0.89,0.170,0.02,0.89,0.169,0.025,0.08
111-2,0.99,0.179,0.21,0.99,0.183,0.017,0.27
111-3,0.09,0.097,0.02,0.09,0.096,0.025,0.02
112-1,1.00,0.423,0.52,1.00,0.429,0.026,0.50
112-2,1.00,0.428,0.51,1.00,0.432,0.026,0.50
112-3,0.99,0.414,0.39,0.99,0.417,0.025,0.44
113-1,0.99,0.414,0.42,0.99,0.418,0.025,0.45
113-2,0.86,0.121,0.21,0.86,0.122,0.016,0.26
113-3,0.10,0.104,0.02,0.10,0.102,0.024,0.03
114-1,1.00,0.483,0.93,1.00,0.485,0.025,0.92
115-1,1.00,0.435,0.28,1.00,0.440,0.024,0.32
116-1,0.80,0.383,0.15,0.80,0.383,0.028,0.19
116-2,0.76,0.329,0.15,0.76,0.329,0.029,0.19
117-1,1.00,0.428,0.11,1.00,0.428,0.023,0.11
117-2,0.27,0.245,1.00,0.27,0.245,0.033,1.00
119-1,0.94,0.478,0.86,0.94,0.481,0.028,0.85
120-1,1.00,0.487,0.94,1.00,0.493,0.024,0.94
120-2,1.00,0.361,0.50,1.00,0.363,0.021,0.52
120-3,0.71,0.182,0.46,0.71,0.182,0.019,0.47
121-1,0.62,0.431,0.51,0.62,0.431,0.028,0.54
121-2,0.02,0.018,0.72,0.02,0.018,0.012,0.69
121-3,0.68,0.444,0.02,0.68,0.444,0.026,0.02
122-1,0.84,0.396,0.79,0.85,0.395,0.027,0.78
124-1,1.00,0.231,0.34,1.00,0.231,0.022,0.33
124-2,1.00,0.170,0.10,1.00,0.173,0.014,0.13
124-3,1.00,0.207,0.34,1.00,0.208,0.022,0.34
125-1,0.98,0.483,0.92,0.98,0.485,0.025,0.93
125-2,0.87,0.424,0.29,0.87,0.430,0.024,0.27
125-3,0.99,0.431,0.60,0.99,0.434,0.024,0.58
126-1,0.99,0.435,0.38,0.99,0.437,0.027,0.34
127-1,0.95,0.503,0.56,0.95,0.508,0.027,0.59
127-2,0.94,0.511,0.21,0.94,0.514,0.028,0.20
127-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
128-1,0.63,0.247,0.43,0.63,0.257,0.023,0.26
129-1,0.98,0.515,0.51,0.98,0.518,0.026,0.50
129-2,0.53,0.309,0.46,0.53,0.313,0.027,0.45
129-3,0.98,0.514,0.51,0.98,0.516,0.026,0.50
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
