ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,9.098,0.67,0.99,9.075,0.576,0.67
BLAST-S14,0.98,8.947,0.65,0.98,8.911,0.580,0.66
Naive-S11,1.00,9.563,0.30,1.00,9.554,0.566,0.27
Naive-S14,1.00,9.653,0.43,1.00,9.622,0.552,0.33
101-1,0.93,9.383,0.46,0.93,9.373,0.613,0.46
101-2,0.91,8.272,0.27,0.91,8.267,0.612,0.27
101-3,0.93,8.222,0.89,0.93,8.207,0.561,0.85
102-1,1.00,8.109,0.70,1.00,8.051,0.535,0.70
102-2,0.93,8.273,0.83,0.93,8.203,0.570,0.82
102-3,0.02,6.571,0.84,0.02,5.261,1.791,0.76
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.46,7.067,0.17,0.46,7.028,0.523,0.20
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,9.941,0.93,0.98,9.948,0.554,0.93
105-2,0.96,10.137,1.00,0.96,10.176,0.895,1.00
105-3,0.97,13.534,1.00,0.97,13.553,1.182,1.00
106-1,0.83,8.802,0.90,0.83,8.796,0.614,0.92
106-2,0.53,8.349,0.90,0.53,8.339,0.519,0.92
106-3,0.23,9.575,0.21,0.23,9.455,1.316,0.25
107-1,1.00,12.789,1.00,1.00,12.828,1.056,1.00
107-2,1.00,8.137,0.06,1.00,8.128,0.542,0.06
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,9.919,0.22,1.00,9.936,0.568,0.22
110-2,0.95,8.061,0.73,0.95,8.048,0.573,0.74
110-3,1.00,13.263,1.00,1.00,13.282,0.587,1.00
111-1,0.89,9.392,0.19,0.89,9.408,0.588,0.24
111-2,0.99,12.182,1.00,0.99,12.199,0.567,1.00
111-3,0.09,8.002,0.75,0.09,7.720,0.851,0.69
112-1,1.00,8.097,0.61,1.00,8.081,0.566,0.60
112-2,1.00,8.098,0.61,1.00,8.081,0.562,0.60
112-3,0.99,8.085,0.60,0.99,8.071,0.579,0.59
113-1,0.99,8.073,0.57,0.99,8.060,0.575,0.59
113-2,0.86,14.271,1.00,0.86,14.292,0.605,1.00
113-3,0.10,8.130,0.75,0.10,7.891,0.841,0.84
114-1,1.00,7.744,1.00,1.00,7.733,0.508,1.00
115-1,1.00,8.519,0.45,1.00,8.418,0.506,0.56
116-1,0.80,7.926,0.73,0.80,7.879,0.550,0.65
116-2,0.76,7.859,0.15,0.76,7.814,0.581,0.38
117-1,1.00,8.304,0.15,1.00,8.274,0.570,0.14
117-2,0.27,7.079,1.00,0.27,7.113,0.823,1.00
119-1,0.94,7.723,0.89,0.94,7.720,0.555,0.90
120-1,1.00,7.781,1.00,1.00,7.797,0.509,1.00
120-2,1.00,8.610,0.78,1.00,8.599,0.522,0.78
120-3,0.71,8.946,0.68,0.71,8.912,0.573,0.67
121-1,0.62,6.843,0.51,0.62,6.859,0.457,0.54
121-2,0.02,6.658,0.72,0.02,6.676,4.324,0.78
121-3,0.68,7.105,0.06,0.68,7.072,0.511,0.10
122-1,0.84,8.185,0.99,0.85,8.142,0.562,0.94
124-1,1.00,9.454,0.39,1.00,9.450,0.584,0.39
124-2,1.00,9.723,0.31,1.00,9.710,0.558,0.32
124-3,1.00,9.544,0.38,1.00,9.537,0.584,0.39
125-1,0.98,7.651,1.00,0.98,7.639,0.494,1.00
125-2,0.87,8.454,0.54,0.87,8.394,0.515,0.54
125-3,0.99,9.540,0.95,0.99,9.478,0.562,0.92
126-1,0.99,7.795,0.38,0.99,7.750,0.566,0.48
127-1,0.95,7.269,0.69,0.95,7.211,0.577,0.71
