ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.392,0.45,0.99,0.395,0.024,0.46
BLAST-S14,0.98,0.378,0.51,0.98,0.384,0.028,0.49
Naive-S11,1.00,0.198,0.09,1.00,0.198,0.011,0.09
Naive-S14,1.00,0.198,0.16,1.00,0.198,0.011,0.15
101-1,0.93,0.412,0.37,0.93,0.413,0.021,0.36
101-2,0.91,0.465,0.10,0.91,0.469,0.024,0.12
101-3,0.93,0.433,0.09,0.93,0.436,0.024,0.10
102-1,1.00,0.460,0.61,1.00,0.464,0.024,0.58
102-2,0.93,0.471,0.75,0.93,0.476,0.024,0.70
102-3,0.02,0.636,0.48,0.02,0.634,0.173,0.48
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.46,0.578,0.17,0.46,0.577,0.033,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.442,0.92,0.98,0.443,0.025,0.92
105-2,0.96,0.457,1.00,0.96,0.463,0.025,0.99
105-3,0.97,0.453,1.00,0.97,0.453,0.025,1.00
106-1,0.83,0.318,0.07,0.83,0.317,0.027,0.08
106-2,0.53,0.160,0.90,0.53,0.161,0.034,0.88
106-3,0.23,0.466,0.07,0.23,0.465,0.049,0.09
107-1,1.00,0.356,0.72,1.00,0.366,0.022,0.77
107-2,1.00,0.414,0.04,1.00,0.414,0.028,0.04
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.108,0.22,1.00,0.108,0.015,0.22
110-2,0.95,0.452,0.50,0.95,0.453,0.026,0.50
110-3,1.00,0.189,0.12,1.00,0.193,0.020,0.13
111-1,0.89,0.188,0.02,0.89,0.187,0.027,0.08
111-2,0.99,0.180,0.21,0.99,0.184,0.018,0.27
111-3,0.09,0.474,0.02,0.09,0.468,0.077,0.03
112-1,1.00,0.423,0.52,1.00,0.429,0.026,0.50
112-2,1.00,0.428,0.51,1.00,0.432,0.026,0.50
112-3,0.99,0.417,0.39,0.99,0.420,0.025,0.44
113-1,0.99,0.416,0.42,0.99,0.421,0.025,0.45
113-2,0.86,0.126,0.21,0.86,0.128,0.017,0.28
113-3,0.10,0.402,0.02,0.10,0.399,0.071,0.07
114-1,1.00,0.483,0.93,1.00,0.485,0.025,0.92
115-1,1.00,0.435,0.28,1.00,0.440,0.024,0.32
116-1,0.80,0.435,0.15,0.80,0.435,0.029,0.19
116-2,0.76,0.392,0.15,0.76,0.392,0.031,0.21
117-1,1.00,0.428,0.11,1.00,0.428,0.023,0.11
117-2,0.27,0.553,1.00,0.27,0.552,0.052,1.00
119-1,0.94,0.495,0.87,0.94,0.498,0.028,0.85
120-1,1.00,0.487,0.94,1.00,0.493,0.024,0.94
120-2,1.00,0.361,0.50,1.00,0.363,0.021,0.52
120-3,0.71,0.230,0.46,0.71,0.230,0.022,0.48
121-1,0.62,0.559,0.51,0.62,0.559,0.030,0.54
121-2,0.02,0.505,0.72,0.02,0.485,0.226,0.77
121-3,0.68,0.546,0.02,0.68,0.547,0.027,0.02
122-1,0.84,0.438,0.79,0.85,0.437,0.028,0.78
