ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.432,0.54,0.99,0.446,0.022,0.53
BLAST-S14,0.98,0.405,0.57,0.98,0.415,0.024,0.51
Naive-S11,1.00,0.377,0.30,1.00,0.382,0.017,0.26
Naive-S14,1.00,0.374,0.17,1.00,0.374,0.015,0.17
101-1,0.91,0.461,0.37,0.91,0.460,0.024,0.35
101-2,0.91,0.543,0.10,0.91,0.543,0.024,0.10
101-3,0.91,0.515,0.06,0.91,0.516,0.024,0.07
102-1,0.97,0.519,0.42,0.97,0.521,0.024,0.46
102-2,0.94,0.512,0.52,0.94,0.513,0.024,0.49
102-3,0.01,0.012,0.31,0.01,0.013,0.011,0.20
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.54,0.341,0.17,0.53,0.340,0.034,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,0.98,0.394,0.92,0.98,0.393,0.028,0.92
105-2,0.96,0.407,1.00,0.96,0.415,0.027,0.98
105-3,0.98,0.390,1.00,0.98,0.394,0.028,0.99
106-1,0.85,0.393,0.07,0.85,0.393,0.030,0.09
106-2,0.45,0.168,0.76,0.45,0.170,0.029,0.73
106-3,0.36,0.274,0.07,0.36,0.273,0.035,0.09
107-1,1.00,0.411,0.75,1.00,0.419,0.024,0.83
107-2,1.00,0.375,0.02,1.00,0.376,0.027,0.02
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.96,0.464,0.39,0.96,0.470,0.021,0.39
110-2,0.92,0.442,0.54,0.92,0.449,0.024,0.46
110-3,1.00,0.361,0.20,1.00,0.366,0.027,0.15
111-1,0.95,0.490,0.28,0.95,0.496,0.020,0.33
111-2,0.96,0.334,0.56,0.96,0.347,0.025,0.37
111-3,0.15,0.122,0.01,0.15,0.121,0.030,0.03
112-1,1.00,0.494,0.42,1.00,0.498,0.022,0.41
112-2,1.00,0.495,0.39,1.00,0.502,0.022,0.39
112-3,1.00,0.454,0.32,1.00,0.458,0.021,0.33
113-1,1.00,0.464,0.32,1.00,0.467,0.021,0.32
113-2,0.79,0.226,0.20,0.79,0.234,0.023,0.31
113-3,0.93,0.428,0.28,0.93,0.434,0.022,0.29
114-1,1.00,0.507,0.81,1.00,0.508,0.025,0.76
115-1,1.00,0.505,0.36,1.00,0.508,0.023,0.37
116-1,0.69,0.400,0.37,0.69,0.399,0.031,0.41
116-2,0.67,0.390,0.37,0.67,0.390,0.035,0.40
117-1,1.00,0.540,0.12,1.00,0.539,0.021,0.12
117-2,0.26,0.206,1.00,0.26,0.205,0.037,1.00
119-1,0.96,0.490,0.66,0.96,0.495,0.022,0.71
120-1,1.00,0.495,0.85,1.00,0.503,0.023,0.87
120-2,1.00,0.424,0.56,1.00,0.430,0.023,0.48
120-3,0.82,0.329,0.52,0.82,0.329,0.028,0.52
121-1,0.60,0.364,0.60,0.60,0.362,0.031,0.60
121-2,0.07,0.083,0.72,0.07,0.082,0.028,0.74
121-3,0.68,0.452,0.01,0.68,0.450,0.027,0.01
122-1,0.87,0.523,0.75,0.87,0.525,0.024,0.80
124-1,1.00,0.372,0.33,1.00,0.371,0.026,0.33
124-2,1.00,0.303,0.26,1.00,0.306,0.024,0.27
124-3,1.00,0.309,0.30,1.00,0.313,0.024,0.29
125-1,0.96,0.507,0.81,0.96,0.508,0.025,0.78
125-2,0.91,0.438,0.31,0.91,0.447,0.025,0.29
125-3,1.00,0.484,0.57,1.00,0.492,0.022,0.57
126-1,0.10,0.063,0.65,0.10,0.063,0.023,0.78
127-1,0.96,0.517,0.46,0.96,0.520,0.025,0.46
127-2,0.95,0.544,0.13,0.95,0.549,0.026,0.13
127-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
128-1,0.76,0.343,0.09,0.76,0.348,0.026,0.10
129-1,0.97,0.490,0.46,0.97,0.496,0.026,0.46
129-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
129-3,0.97,0.490,0.46,0.97,0.496,0.026,0.46
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.87,0.448,0.03,0.87,0.450,0.027,0.08
131-2,0.86,0.465,0.04,0.86,0.465,0.028,0.04
131-3,0.98,0.431,0.06,0.98,0.436,0.028,0.09
132-1,1.00,0.497,0.52,1.00,0.501,0.022,0.52
132-2,1.00,0.476,0.46,1.00,0.477,0.022,0.46
65-1,0.99,0.368,0.29,0.99,0.371,0.018,0.29
65-2,0.98,0.354,0.27,0.98,0.356,0.018,0.27
65-3,0.99,0.351,0.30,0.99,0.356,0.018,0.29
68-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
68-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
69-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
69-2,1.00,0.470,0.71,1.00,0.476,0.026,0.64
70-1,1.00,0.573,0.34,1.00,0.575,0.023,0.32
70-2,1.00,0.336,0.10,1.00,0.337,0.018,0.10
70-3,1.00,0.351,0.08,1.00,0.353,0.015,0.08
72-1,0.98,0.570,0.01,0.98,0.569,0.022,0.01
72-2,0.93,0.514,0.01,0.93,0.513,0.028,0.01
73-1,1.00,0.410,0.98,1.00,0.414,0.026,0.98
73-2,1.00,0.411,0.98,1.00,0.412,0.026,0.98
73-3,0.99,0.323,0.92,0.99,0.324,0.026,0.94
74-1,0.54,0.368,0.08,0.54,0.371,0.028,0.09
74-2,0.98,0.500,0.15,0.98,0.502,0.024,0.19
75-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
75-2,1.00,0.496,0.70,1.00,0.498,0.024,0.68
79-1,0.89,0.502,0.23,0.89,0.509,0.024,0.16
79-2,0.71,0.444,0.12,0.71,0.450,0.026,0.14
79-3,0.97,0.537,0.13,0.97,0.539,0.022,0.13
80-1,0.57,0.364,0.08,0.57,0.369,0.028,0.11
80-2,0.98,0.493,0.13,0.98,0.496,0.024,0.23
81-1,0.81,0.466,0.27,0.81,0.465,0.030,0.30
81-2,0.81,0.466,0.27,0.81,0.465,0.030,0.30
82-1,0.92,0.372,0.66,0.92,0.372,0.025,0.64
83-1,0.99,0.453,0.26,0.99,0.456,0.019,0.31
83-2,0.99,0.456,0.26,0.99,0.459,0.019,0.30
84-1,0.84,0.228,0.10,0.84,0.233,0.021,0.10
85-1,0.95,0.532,0.20,0.95,0.536,0.021,0.22
85-2,0.95,0.532,0.20,0.95,0.536,0.021,0.22
86-1,0.76,0.468,0.31,0.76,0.470,0.029,0.33
86-2,0.76,0.468,0.31,0.76,0.470,0.029,0.33
86-3,0.72,0.459,0.30,0.72,0.458,0.031,0.30
87-1,0.95,0.505,0.26,0.95,0.507,0.024,0.26
87-2,0.95,0.498,0.14,0.95,0.498,0.023,0.13
87-3,0.89,0.488,0.20,0.89,0.491,0.025,0.24
88-1,0.98,0.498,0.14,0.98,0.500,0.031,0.20
89-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
93-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
93-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
94-1,0.99,0.509,0.75,0.99,0.509,0.026,0.75
95-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
95-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
96-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
96-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
96-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
98-1,1.00,0.161,0.50,1.00,0.161,0.019,0.50
99-1,0.97,0.466,0.09,0.97,0.468,0.028,0.09
