ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.342,0.67,0.99,0.355,0.026,0.56
BLAST-S14,0.98,0.354,0.57,0.98,0.358,0.029,0.57
Naive-S11,1.00,0.227,0.11,1.00,0.229,0.018,0.10
Naive-S14,1.00,0.227,0.17,1.00,0.229,0.018,0.15
101-1,0.91,0.399,0.37,0.91,0.399,0.027,0.34
101-2,0.91,0.456,0.10,0.91,0.455,0.031,0.10
101-3,0.91,0.442,0.06,0.91,0.444,0.029,0.10
102-1,0.97,0.422,0.53,0.97,0.425,0.029,0.47
102-2,0.94,0.410,0.48,0.94,0.412,0.029,0.50
102-3,0.01,0.009,0.31,0.01,0.010,0.009,0.20
103-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-3,0.54,0.319,0.17,0.53,0.317,0.037,0.17
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,0.98,0.359,0.92,0.98,0.357,0.031,0.92
105-2,0.96,0.377,0.98,0.96,0.382,0.031,0.99
105-3,0.98,0.354,1.00,0.98,0.355,0.031,1.00
106-1,0.85,0.336,0.07,0.85,0.335,0.032,0.08
106-2,0.45,0.141,0.77,0.45,0.142,0.031,0.78
106-3,0.36,0.238,0.07,0.36,0.237,0.036,0.08
107-1,1.00,0.358,1.00,1.00,0.363,0.029,0.88
107-2,1.00,0.342,0.02,1.00,0.348,0.029,0.03
107-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,0.96,0.369,0.40,0.96,0.375,0.024,0.38
110-2,0.92,0.355,0.55,0.92,0.360,0.028,0.51
110-3,1.00,0.300,0.03,1.00,0.303,0.028,0.06
111-1,0.95,0.394,0.39,0.95,0.403,0.023,0.35
111-2,0.96,0.263,0.05,0.96,0.275,0.025,0.25
111-3,0.15,0.120,0.01,0.15,0.119,0.033,0.03
112-1,1.00,0.395,0.42,1.00,0.399,0.029,0.42
112-2,1.00,0.395,0.43,1.00,0.401,0.028,0.40
112-3,1.00,0.369,0.42,1.00,0.374,0.028,0.39
113-1,1.00,0.374,0.32,1.00,0.381,0.028,0.36
113-2,0.79,0.154,0.20,0.79,0.161,0.022,0.36
113-3,0.93,0.328,0.37,0.93,0.341,0.024,0.31
114-1,1.00,0.441,0.81,1.00,0.445,0.030,0.87
115-1,1.00,0.430,0.51,1.00,0.437,0.028,0.43
116-1,0.69,0.378,0.37,0.69,0.378,0.034,0.42
116-2,0.67,0.370,0.37,0.67,0.370,0.036,0.41
117-1,1.00,0.487,0.12,1.00,0.486,0.028,0.12
117-2,0.26,0.178,1.00,0.26,0.177,0.038,1.00
119-1,0.96,0.413,0.85,0.96,0.420,0.027,0.79
120-1,1.00,0.434,0.91,1.00,0.442,0.028,0.93
120-2,1.00,0.355,0.56,1.00,0.360,0.026,0.56
120-3,0.82,0.294,0.52,0.82,0.295,0.031,0.56
121-1,0.60,0.340,0.60,0.60,0.338,0.035,0.60
121-2,0.07,0.057,0.72,0.07,0.056,0.027,0.74
121-3,0.68,0.375,0.03,0.68,0.376,0.032,0.02
122-1,0.87,0.430,0.75,0.87,0.432,0.030,0.80
124-1,1.00,0.280,0.33,1.00,0.279,0.029,0.33
124-2,1.00,0.204,0.12,1.00,0.210,0.022,0.18
124-3,1.00,0.206,0.30,1.00,0.209,0.025,0.29
125-1,0.96,0.441,0.81,0.96,0.445,0.030,0.89
125-2,0.91,0.403,0.33,0.91,0.410,0.030,0.35
125-3,1.00,0.409,0.63,1.00,0.415,0.025,0.58
126-1,0.10,0.057,0.65,0.10,0.056,0.025,0.79
127-1,0.96,0.463,0.46,0.96,0.467,0.030,0.50
127-2,0.95,0.497,0.15,0.95,0.504,0.032,0.17
127-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
128-1,0.76,0.240,0.20,0.76,0.249,0.028,0.14
129-1,0.97,0.432,0.50,0.97,0.437,0.032,0.49
129-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
129-3,0.97,0.432,0.50,0.97,0.437,0.032,0.49
130-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
131-1,0.87,0.421,0.28,0.87,0.430,0.032,0.19
131-2,0.86,0.438,0.04,0.86,0.439,0.032,0.07
131-3,0.98,0.409,0.06,0.98,0.414,0.031,0.11
132-1,1.00,0.401,0.52,1.00,0.403,0.029,0.52
132-2,1.00,0.386,0.52,1.00,0.389,0.028,0.50
65-1,0.99,0.249,0.24,0.99,0.254,0.020,0.26
65-2,0.98,0.240,0.22,0.98,0.243,0.019,0.23
65-3,0.99,0.238,0.25,0.99,0.243,0.019,0.25
68-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
68-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
69-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
69-2,1.00,0.385,0.25,1.00,0.397,0.029,0.41
70-1,1.00,0.446,0.34,1.00,0.450,0.031,0.27
70-2,1.00,0.295,0.09,1.00,0.296,0.022,0.09
70-3,1.00,0.269,0.10,1.00,0.271,0.021,0.11
72-1,0.98,0.470,0.01,0.98,0.469,0.029,0.01
72-2,0.93,0.382,0.01,0.93,0.380,0.034,0.01
73-1,1.00,0.358,0.99,1.00,0.362,0.029,0.99
73-2,1.00,0.357,0.98,1.00,0.359,0.029,0.98
73-3,0.99,0.262,0.91,0.99,0.263,0.026,0.93
74-1,0.54,0.324,0.08,0.54,0.329,0.031,0.11
74-2,0.98,0.434,0.15,0.98,0.439,0.029,0.29
75-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
75-2,1.00,0.428,0.70,1.00,0.428,0.028,0.65
79-1,0.89,0.444,0.23,0.89,0.446,0.030,0.21
79-2,0.71,0.392,0.23,0.71,0.395,0.032,0.20
79-3,0.97,0.462,0.13,0.97,0.465,0.026,0.13
80-1,0.57,0.321,0.16,0.57,0.330,0.033,0.24
80-2,0.98,0.429,0.15,0.98,0.437,0.029,0.38
81-1,0.81,0.406,0.52,0.81,0.407,0.036,0.50
81-2,0.81,0.406,0.52,0.81,0.407,0.036,0.50
82-1,0.92,0.325,0.66,0.92,0.324,0.028,0.66
83-1,0.99,0.361,0.26,0.99,0.364,0.024,0.31
83-2,0.99,0.363,0.26,0.99,0.366,0.024,0.31
84-1,0.84,0.205,0.10,0.84,0.209,0.023,0.11
85-1,0.95,0.436,0.18,0.95,0.441,0.027,0.19
85-2,0.95,0.436,0.18,0.95,0.441,0.027,0.19
86-1,0.76,0.341,0.31,0.76,0.341,0.035,0.32
86-2,0.76,0.341,0.31,0.76,0.341,0.035,0.32
86-3,0.72,0.325,0.30,0.72,0.324,0.038,0.30
87-1,0.95,0.419,0.26,0.95,0.425,0.028,0.28
87-2,0.95,0.403,0.14,0.95,0.404,0.027,0.15
87-3,0.89,0.412,0.20,0.89,0.415,0.030,0.25
88-1,0.98,0.420,0.14,0.98,0.421,0.034,0.17
89-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
89-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
89-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
91-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
91-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
91-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
93-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
93-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
94-1,0.99,0.437,0.75,0.99,0.437,0.031,0.72
95-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
95-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
96-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
96-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
96-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
97-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
97-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
97-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
98-1,1.00,0.064,0.49,1.00,0.064,0.010,0.49
99-1,0.97,0.422,0.09,0.97,0.424,0.032,0.10
