ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,7.616,0.92,0.99,7.579,0.490,0.94
BLAST-S14,0.98,7.500,0.92,0.98,7.489,0.468,0.92
Naive-S11,1.00,7.643,0.11,1.00,7.618,0.452,0.16
Naive-S14,1.00,7.643,0.17,1.00,7.635,0.443,0.20
101-1,0.91,7.550,0.45,0.91,7.502,0.512,0.46
101-2,0.91,6.892,0.27,0.91,6.827,0.536,0.28
101-3,0.91,6.614,0.98,0.91,6.574,0.507,0.98
102-1,0.97,7.351,0.77,0.97,7.256,0.486,0.75
102-2,0.94,7.534,0.83,0.94,7.428,0.502,0.83
102-3,0.01,8.657,1.00,0.01,8.657,0.000,1.00
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.54,6.452,0.33,0.53,6.470,0.498,0.33
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,7.975,0.94,0.98,7.918,0.465,0.94
105-2,0.96,14.202,1.00,0.96,14.244,1.434,1.00
105-3,0.98,19.668,1.00,0.98,19.702,1.913,1.00
106-1,0.85,7.486,0.92,0.85,7.473,0.562,0.92
106-2,0.45,7.734,0.98,0.45,7.648,0.630,0.96
106-3,0.36,8.231,0.36,0.36,7.934,1.163,0.40
107-1,1.00,18.592,1.00,1.00,18.624,2.000,1.00
107-2,1.00,7.386,0.08,1.00,7.371,0.499,0.09
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.96,7.919,0.98,0.96,7.912,0.521,0.97
110-2,0.92,7.019,0.86,0.92,6.986,0.548,0.81
110-3,1.00,10.178,1.00,1.00,10.187,0.569,1.00
111-1,0.95,7.880,0.98,0.95,7.888,0.543,0.98
111-2,0.96,9.607,1.00,0.96,9.616,0.574,1.00
111-3,0.15,5.477,0.99,0.15,5.437,0.770,0.80
112-1,1.00,6.843,0.65,1.00,6.789,0.504,0.62
112-2,1.00,6.837,0.64,1.00,6.784,0.504,0.62
112-3,1.00,7.053,0.59,1.00,7.013,0.496,0.59
113-1,1.00,7.053,0.57,1.00,7.008,0.497,0.59
113-2,0.79,11.792,1.00,0.79,11.803,0.595,1.00
113-3,0.93,8.355,0.98,0.93,8.356,0.540,0.98
114-1,1.00,8.585,1.00,1.00,8.612,0.702,1.00
115-1,1.00,6.755,0.76,1.00,6.688,0.499,0.78
116-1,0.69,6.167,0.90,0.69,6.150,0.480,0.91
116-2,0.67,6.910,0.49,0.67,6.794,0.675,0.65
117-1,1.00,6.590,0.14,1.00,6.542,0.431,0.15
117-2,0.26,8.411,1.00,0.26,8.452,1.471,1.00
119-1,0.96,6.832,0.98,0.96,6.852,0.476,0.98
120-1,1.00,9.530,1.00,1.00,9.555,0.818,1.00
120-2,1.00,7.094,0.83,1.00,7.061,0.438,0.82
120-3,0.82,6.409,0.74,0.82,6.417,0.527,0.74
121-1,0.60,7.949,0.60,0.60,7.702,0.516,0.66
121-2,0.07,6.584,0.85,0.07,6.268,1.689,0.88
121-3,0.68,6.638,0.53,0.68,6.522,0.426,0.53
122-1,0.87,7.288,1.00,0.87,7.286,0.558,1.00
124-1,1.00,8.007,0.40,1.00,7.941,0.492,0.48
124-2,1.00,7.522,0.29,1.00,7.513,0.503,0.28
124-3,1.00,7.986,0.40,1.00,7.953,0.493,0.46
125-1,0.96,8.833,1.00,0.96,8.858,0.734,1.00
125-2,0.91,7.984,0.93,0.91,7.871,0.459,0.86
125-3,1.00,8.135,0.99,1.00,8.067,0.510,0.96
126-1,0.10,5.672,1.00,0.10,5.866,1.448,0.98
