ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.98,6.669,0.58,0.98,6.536,0.413,0.65
BLAST-S14,0.97,6.613,0.74,0.97,6.495,0.393,0.66
Naive-S11,1.00,7.696,0.30,1.00,7.695,0.367,0.30
Naive-S14,1.00,7.759,0.43,1.00,7.759,0.365,0.43
101-1,0.95,6.946,0.44,0.95,6.876,0.402,0.45
101-2,0.91,5.764,0.29,0.91,5.738,0.403,0.28
101-3,0.95,6.366,0.95,0.95,6.324,0.411,0.82
102-1,1.00,5.928,0.67,1.00,5.895,0.395,0.67
102-2,0.96,6.627,0.76,0.96,6.555,0.406,0.78
102-3,0.00,8.338,1.00,0.00,8.338,0.374,1.00
103-1,0.00,8.338,1.00,0.00,8.338,0.374,1.00
103-2,0.00,8.338,1.00,0.00,8.338,0.374,1.00
103-3,0.50,6.568,0.17,0.50,6.569,0.348,0.19
104-1,0.00,8.338,1.00,0.00,8.338,0.374,1.00
104-2,0.00,8.338,1.00,0.00,8.338,0.374,1.00
104-3,0.00,8.338,1.00,0.00,8.338,0.374,1.00
105-1,0.99,8.192,0.93,0.99,8.162,0.348,0.94
105-2,0.96,10.936,1.00,0.96,10.977,1.462,1.00
105-3,0.97,15.909,1.00,0.97,15.948,2.002,1.00
106-1,0.73,6.925,0.68,0.73,6.876,0.358,0.68
106-2,0.44,7.270,0.74,0.44,7.263,0.349,0.77
106-3,0.28,7.271,0.07,0.28,7.270,0.382,0.10
107-1,1.00,13.952,1.00,1.00,13.978,1.683,1.00
107-2,1.00,6.913,0.05,1.00,6.837,0.463,0.06
107-3,0.00,8.338,1.00,0.00,8.338,0.374,1.00
108-1,0.00,8.338,1.00,0.00,8.338,0.374,1.00
109-1,0.00,8.338,1.00,0.00,8.338,0.374,1.00
110-1,0.96,7.320,0.87,0.96,7.262,0.388,0.90
110-2,0.91,6.401,0.63,0.91,6.344,0.361,0.69
110-3,0.98,10.804,1.00,0.98,10.830,0.551,1.00
111-1,0.96,7.256,0.87,0.96,7.212,0.389,0.89
111-2,0.97,10.333,1.00,0.97,10.361,0.561,1.00
111-3,0.09,8.162,0.33,0.09,8.148,0.372,0.26
112-1,0.99,6.140,0.56,0.99,6.038,0.357,0.57
112-2,0.99,6.098,0.55,0.99,6.003,0.358,0.57
112-3,0.99,6.186,0.52,0.99,6.094,0.358,0.56
