ID-model,GO:0003674,GO:0016740,GO:0016787,GO:0003824,GO:0097159,GO:1901363,GO:0005515,GO:0005488,GO:0019899
BLAST-S11,NaN,0.94,0.96,0.90,0.85,0.84,0.65,0.59,0.30
BLAST-S14,NaN,0.95,0.93,0.89,0.85,0.85,0.54,0.51,0.35
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.95,0.89,0.87,0.78,0.77,0.58,0.34,0.52
101-2,NaN,1.00,0.94,0.93,0.81,0.81,0.66,0.69,0.53
101-3,NaN,1.00,0.95,0.95,0.85,0.85,0.74,0.60,0.52
102-1,NaN,0.97,0.97,0.90,0.93,0.91,0.67,0.69,0.27
102-2,NaN,0.97,0.97,0.89,0.92,0.89,0.76,0.74,0.27
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,1.00,1.00,0.99,0.93,0.93,0.59,0.70,0.49
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.97,0.95,0.90,0.80,0.80,0.50,0.48,0.34
105-2,NaN,0.98,0.96,0.94,0.86,0.86,0.53,0.51,0.32
105-3,NaN,0.96,0.97,0.91,0.83,0.84,0.46,0.47,0.28
106-1,NaN,0.88,0.78,0.85,0.86,0.86,0.58,0.66,0.49
106-2,NaN,0.67,0.65,0.71,0.72,0.72,0.50,0.40,0.50
106-3,NaN,0.92,0.99,0.91,0.94,0.94,0.51,0.52,0.48
107-1,NaN,0.97,0.95,0.90,0.84,0.84,0.44,0.48,0.45
107-2,NaN,0.96,0.96,0.93,0.86,0.86,0.52,0.48,0.46
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.91,0.91,0.78,0.84,0.83,0.59,0.59,0.25
110-2,NaN,0.98,0.98,0.92,0.84,0.84,0.59,0.54,0.37
110-3,NaN,0.76,0.73,0.68,0.66,0.62,0.62,0.64,0.50
111-1,NaN,0.92,0.91,0.79,0.83,0.82,0.59,0.57,0.25
111-2,NaN,0.80,0.73,0.70,0.77,0.73,0.63,0.63,0.49
111-3,NaN,1.00,0.45,0.91,0.93,0.93,0.57,0.45,NaN
112-1,NaN,0.98,0.97,0.95,0.86,0.85,0.60,0.59,0.29
112-2,NaN,0.98,0.97,0.95,0.86,0.85,0.60,0.58,0.29
112-3,NaN,0.98,0.98,0.96,0.86,0.85,0.60,0.58,0.29
113-1,NaN,0.98,0.98,0.96,0.86,0.85,0.60,0.58,0.29
113-2,NaN,0.75,0.73,0.72,0.76,0.71,0.65,0.66,0.53
113-3,NaN,0.91,0.89,0.78,0.82,0.81,0.57,0.57,0.25
114-1,NaN,0.99,0.95,0.93,0.88,0.88,0.63,0.47,0.52
115-1,NaN,0.98,0.94,0.93,0.94,0.94,0.75,0.62,0.50
116-1,NaN,0.86,0.90,0.90,0.87,0.87,0.58,0.64,0.49
116-2,NaN,0.85,0.89,0.92,0.83,0.83,0.59,0.67,0.50
117-1,NaN,0.98,0.97,0.98,0.85,0.86,0.52,0.58,0.29
117-2,NaN,0.92,0.97,0.91,0.66,0.66,0.47,0.50,0.46
119-1,NaN,0.99,0.95,0.94,0.90,0.90,0.53,0.45,0.42
120-1,NaN,0.99,0.95,0.93,0.88,0.88,0.63,0.46,0.28
120-2,NaN,0.70,0.94,0.85,0.79,0.81,0.68,0.46,0.43
120-3,NaN,0.66,0.84,0.78,0.78,0.82,0.50,0.62,0.50
121-1,NaN,0.98,0.97,0.94,0.88,0.88,0.54,0.61,0.50
121-2,NaN,NaN,NaN,NaN,NaN,NaN,0.75,0.50,NaN
121-3,NaN,0.99,1.00,0.98,0.90,0.90,0.69,0.70,0.48
122-1,NaN,0.98,0.92,0.93,0.74,0.74,0.73,0.63,0.49
124-1,NaN,0.47,0.73,0.44,0.58,0.58,0.54,0.55,0.48
124-2,NaN,0.39,0.47,0.26,0.27,0.27,0.47,0.49,0.50
124-3,NaN,0.25,0.61,0.36,0.48,0.48,0.54,0.55,0.48
125-1,NaN,0.99,0.94,0.93,0.87,0.87,0.65,0.49,0.52
125-2,NaN,0.97,0.93,0.89,0.85,0.85,0.49,0.50,0.48
125-3,NaN,0.98,0.96,0.87,0.83,0.82,0.64,0.57,0.23
126-1,NaN,1.00,0.92,0.89,0.80,0.80,0.63,0.52,0.50
127-1,NaN,1.00,0.95,0.96,0.93,0.93,0.59,0.56,0.50
127-2,NaN,1.00,0.98,0.95,0.95,0.94,0.59,0.65,0.36
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,0.96,0.91,0.89,0.88,0.86,0.64,0.67,0.24
129-1,NaN,0.96,0.98,0.97,0.96,0.95,0.61,0.65,0.23
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.96,0.98,0.97,0.96,0.95,0.61,0.65,0.23
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.97,0.95,0.92,0.92,0.92,0.53,0.62,0.49
131-2,NaN,0.98,0.95,0.94,0.85,0.85,0.52,0.60,0.49
