ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.98,0.525,0.42,0.98,0.525,0.021,0.42
BLAST-S14,0.97,0.526,0.46,0.97,0.523,0.023,0.44
Naive-S11,1.00,0.639,0.09,1.00,0.639,0.006,0.09
Naive-S14,1.00,0.638,0.13,1.00,0.639,0.006,0.13
101-1,0.95,0.559,0.38,0.95,0.555,0.016,0.38
101-2,0.91,0.472,0.10,0.91,0.470,0.021,0.12
101-3,0.95,0.474,0.24,0.95,0.472,0.021,0.27
102-1,1.00,0.486,0.53,1.00,0.484,0.022,0.51
102-2,0.96,0.484,0.63,0.96,0.482,0.023,0.61
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.50,0.435,0.17,0.50,0.436,0.028,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.99,0.549,0.92,0.99,0.550,0.018,0.92
105-2,0.96,0.514,0.98,0.96,0.515,0.020,0.98
105-3,0.97,0.537,1.00,0.97,0.538,0.019,1.00
106-1,0.73,0.502,0.07,0.73,0.502,0.022,0.09
106-2,0.44,0.557,0.62,0.44,0.553,0.025,0.67
106-3,0.28,0.455,0.07,0.28,0.454,0.036,0.10
107-1,1.00,0.567,0.80,1.00,0.566,0.016,0.83
107-2,1.00,0.524,0.03,1.00,0.522,0.020,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.96,0.598,0.56,0.96,0.592,0.016,0.57
110-2,0.91,0.532,0.42,0.91,0.528,0.021,0.45
110-3,0.98,0.659,0.64,0.98,0.659,0.009,0.57
111-1,0.96,0.598,0.56,0.96,0.592,0.016,0.54
111-2,0.97,0.652,0.62,0.97,0.651,0.010,0.59
111-3,0.09,0.600,0.33,0.09,0.603,0.041,0.30
112-1,0.99,0.513,0.40,0.99,0.510,0.021,0.42
112-2,0.99,0.513,0.40,0.99,0.512,0.021,0.41
112-3,0.99,0.513,0.40,0.99,0.511,0.021,0.41
113-1,0.99,0.514,0.40,0.99,0.513,0.021,0.41
113-2,0.75,0.666,1.00,0.75,0.666,0.012,0.99
113-3,0.94,0.607,0.56,0.94,0.602,0.015,0.54
114-1,1.00,0.492,0.96,1.00,0.491,0.020,0.91
115-1,1.00,0.481,0.43,1.00,0.482,0.020,0.43
116-1,0.83,0.475,0.12,0.83,0.475,0.022,0.15
116-2,0.73,0.487,0.12,0.73,0.487,0.027,0.12
