ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.96,0.487,0.35,0.96,0.486,0.031,0.35
BLAST-S14,0.95,0.482,0.37,0.95,0.480,0.029,0.37
Naive-S11,1.00,0.623,0.09,1.00,0.621,0.010,0.08
Naive-S14,1.00,0.620,0.13,1.00,0.619,0.011,0.13
101-1,1.00,0.478,0.39,1.00,0.475,0.025,0.39
101-2,0.96,0.347,0.20,0.96,0.347,0.031,0.22
101-3,1.00,0.347,0.30,1.00,0.343,0.031,0.37
102-1,1.00,0.452,0.63,1.00,0.444,0.027,0.63
102-2,0.93,0.480,0.73,0.93,0.474,0.024,0.73
102-3,0.20,0.820,0.12,0.20,0.820,0.045,0.19
103-1,0.84,0.505,0.18,0.84,0.503,0.024,0.16
103-2,0.98,0.305,0.36,0.98,0.305,0.030,0.36
103-3,0.93,0.341,0.17,0.93,0.343,0.029,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.505,0.92,1.00,0.508,0.025,0.92
105-2,1.00,0.467,1.00,1.00,0.468,0.028,1.00
105-3,1.00,0.523,1.00,1.00,0.524,0.029,1.00
106-1,0.95,0.510,0.10,0.95,0.508,0.024,0.21
106-2,0.71,0.595,0.63,0.71,0.596,0.035,0.69
106-3,0.51,0.643,0.07,0.51,0.644,0.050,0.07
107-1,1.00,0.483,0.79,1.00,0.481,0.024,0.81
107-2,1.00,0.451,0.08,1.00,0.452,0.026,0.07
107-3,1.00,0.487,0.06,1.00,0.481,0.023,0.06
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.98,0.408,0.63,0.98,0.408,0.035,0.67
110-2,0.96,0.430,0.50,0.96,0.423,0.037,0.58
110-3,1.00,0.577,1.00,1.00,0.577,0.021,1.00
111-1,0.98,0.408,0.63,0.98,0.408,0.035,0.67
111-2,1.00,0.577,1.00,1.00,0.577,0.021,1.00
111-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
112-1,1.00,0.420,0.50,1.00,0.411,0.033,0.49
112-2,1.00,0.410,0.46,1.00,0.406,0.032,0.48
112-3,1.00,0.445,0.34,1.00,0.438,0.029,0.38
113-1,1.00,0.425,0.34,1.00,0.423,0.030,0.36
113-2,1.00,0.625,1.00,1.00,0.626,0.018,1.00
113-3,0.93,0.463,0.63,0.93,0.464,0.034,0.60
114-1,1.00,0.380,1.00,1.00,0.381,0.028,1.00
115-1,1.00,0.379,0.61,1.00,0.375,0.028,0.62
116-1,0.93,0.366,0.64,0.93,0.365,0.029,0.56
116-2,0.84,0.424,0.51,0.84,0.425,0.042,0.53
117-1,1.00,0.416,0.12,1.00,0.417,0.031,0.12
117-2,0.44,0.650,1.00,0.44,0.651,0.055,1.00
119-1,1.00,0.403,0.89,1.00,0.398,0.030,0.84
120-1,1.00,0.386,1.00,1.00,0.387,0.029,1.00
120-2,0.98,0.645,0.30,0.98,0.643,0.009,0.31
120-3,0.89,0.652,0.44,0.89,0.654,0.014,0.44
121-1,0.91,0.339,0.60,0.91,0.342,0.028,0.60
121-2,0.05,0.978,0.52,0.05,0.978,0.013,0.52
121-3,0.98,0.311,0.36,0.98,0.310,0.029,0.36
122-1,0.95,0.331,0.71,0.95,0.328,0.032,0.73
124-1,1.00,0.543,0.19,1.00,0.542,0.021,0.19
124-2,1.00,0.559,0.17,1.00,0.553,0.029,0.17
124-3,1.00,0.624,0.18,1.00,0.624,0.015,0.19
125-1,1.00,0.380,1.00,1.00,0.381,0.028,1.00
125-2,1.00,0.430,0.39,1.00,0.422,0.024,0.40
125-3,1.00,0.394,0.63,1.00,0.395,0.034,0.62
126-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
127-1,0.95,0.378,0.68,0.95,0.378,0.036,0.67
127-2,0.95,0.336,0.18,0.95,0.335,0.033,0.18
127-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
128-1,0.87,0.491,0.18,0.87,0.491,0.028,0.17
129-1,1.00,0.436,0.55,1.00,0.432,0.032,0.55
129-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
129-3,1.00,0.436,0.55,1.00,0.432,0.032,0.55
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.96,0.313,0.04,0.96,0.314,0.029,0.22
131-2,0.96,0.322,0.50,0.96,0.323,0.029,0.42
131-3,0.96,0.317,0.30,0.96,0.314,0.027,0.28
132-1,1.00,0.390,0.49,1.00,0.386,0.031,0.50
132-2,1.00,0.427,0.46,1.00,0.423,0.029,0.44
65-1,0.98,0.509,0.24,0.98,0.504,0.029,0.22
65-2,0.96,0.512,0.24,0.96,0.505,0.029,0.22
65-3,0.98,0.510,0.24,0.98,0.507,0.028,0.24
68-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
68-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
69-1,1.00,0.429,0.70,1.00,0.425,0.031,0.65
69-2,1.00,0.407,0.69,1.00,0.402,0.032,0.63
70-1,1.00,0.506,0.07,1.00,0.501,0.022,0.09
70-2,1.00,0.594,0.11,1.00,0.593,0.013,0.11
70-3,1.00,0.610,0.10,1.00,0.609,0.011,0.10
72-1,0.96,0.361,0.01,0.96,0.358,0.037,0.05
72-2,0.51,0.844,0.01,0.51,0.844,0.034,0.01
73-1,1.00,0.521,0.99,1.00,0.515,0.027,0.99
73-2,1.00,0.521,0.99,1.00,0.515,0.027,0.99
73-3,0.98,0.563,1.00,0.98,0.563,0.029,0.97
74-1,0.67,0.520,0.01,0.67,0.519,0.035,0.09
74-2,1.00,0.404,0.59,1.00,0.400,0.030,0.51
75-1,1.00,0.419,0.70,1.00,0.413,0.028,0.71
75-2,1.00,0.408,0.72,1.00,0.399,0.029,0.72
79-1,0.67,0.541,0.01,0.67,0.540,0.038,0.06
79-2,0.55,0.605,0.10,0.55,0.606,0.046,0.11
79-3,0.98,0.371,0.20,0.98,0.371,0.029,0.21
80-1,0.76,0.475,0.19,0.76,0.476,0.029,0.29
80-2,1.00,0.409,0.87,1.00,0.404,0.029,0.82
81-1,0.91,0.386,0.59,0.91,0.386,0.038,0.55
81-2,0.91,0.386,0.59,0.91,0.386,0.038,0.55
82-1,0.95,0.409,0.67,0.95,0.406,0.033,0.70
83-1,1.00,0.510,0.53,1.00,0.507,0.024,0.52
83-2,1.00,0.426,0.33,1.00,0.419,0.025,0.30
84-1,0.91,0.616,0.15,0.91,0.615,0.013,0.15
85-1,0.96,0.338,0.25,0.96,0.335,0.039,0.25
85-2,0.96,0.338,0.25,0.96,0.335,0.039,0.25
86-1,0.15,0.951,0.33,0.15,0.951,0.023,0.35
86-2,0.15,0.951,0.33,0.15,0.951,0.023,0.35
86-3,0.13,0.967,0.31,0.13,0.967,0.020,0.33
87-1,0.98,0.290,0.44,0.98,0.286,0.039,0.44
87-2,0.98,0.314,0.26,0.98,0.310,0.037,0.26
87-3,0.98,0.326,0.52,0.98,0.318,0.039,0.57
88-1,1.00,0.357,0.10,1.00,0.358,0.037,0.16
89-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
93-1,1.00,0.820,1.00,1.00,0.820,0.033,1.00
93-2,1.00,0.900,1.00,1.00,0.900,0.020,1.00
94-1,1.00,0.355,1.00,1.00,0.356,0.030,0.88
95-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
95-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
96-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
96-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
96-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
98-1,0.89,0.657,0.49,0.89,0.659,0.010,0.49
99-1,0.95,0.454,0.11,0.95,0.450,0.034,0.12
