ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.96,0.486,0.33,0.96,0.494,0.044,0.34
BLAST-S14,0.95,0.527,0.37,0.95,0.537,0.040,0.38
Naive-S11,1.00,0.225,0.09,1.00,0.226,0.023,0.09
Naive-S14,1.00,0.227,0.13,1.00,0.227,0.024,0.13
101-1,1.00,0.554,0.37,1.00,0.563,0.031,0.25
101-2,0.96,0.690,0.20,0.96,0.694,0.033,0.22
101-3,1.00,0.667,0.30,1.00,0.677,0.035,0.31
102-1,1.00,0.580,0.66,1.00,0.596,0.032,0.53
102-2,0.93,0.546,0.61,0.93,0.555,0.033,0.68
102-3,0.20,0.243,0.76,0.20,0.244,0.052,0.73
103-1,0.84,0.498,0.21,0.84,0.506,0.035,0.27
103-2,0.98,0.713,0.36,0.98,0.716,0.034,0.35
103-3,0.93,0.697,0.17,0.93,0.696,0.033,0.17
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,1.00,0.538,0.92,1.00,0.543,0.031,0.87
105-2,1.00,0.561,1.00,1.00,0.569,0.033,0.99
105-3,1.00,0.538,0.99,1.00,0.548,0.032,0.99
106-1,0.95,0.432,0.10,0.95,0.434,0.043,0.16
106-2,0.71,0.360,1.00,0.71,0.358,0.059,0.99
106-3,0.51,0.436,0.07,0.51,0.433,0.050,0.07
107-1,1.00,0.547,0.76,1.00,0.557,0.032,0.79
107-2,1.00,0.542,0.05,1.00,0.552,0.036,0.06
107-3,1.00,0.496,0.05,1.00,0.506,0.036,0.05
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,0.98,0.582,0.63,0.98,0.589,0.046,0.73
110-2,0.96,0.601,1.00,0.96,0.606,0.050,0.92
110-3,1.00,0.312,1.00,1.00,0.312,0.038,0.99
111-1,0.98,0.582,0.63,0.98,0.589,0.046,0.73
111-2,1.00,0.312,1.00,1.00,0.312,0.038,0.99
111-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
112-1,1.00,0.605,0.68,1.00,0.614,0.045,0.69
112-2,1.00,0.608,0.84,1.00,0.619,0.044,0.69
112-3,1.00,0.554,0.33,1.00,0.557,0.039,0.33
113-1,1.00,0.576,0.34,1.00,0.575,0.040,0.34
113-2,1.00,0.189,1.00,1.00,0.193,0.029,0.89
113-3,0.93,0.504,0.63,0.93,0.514,0.046,0.52
114-1,1.00,0.693,1.00,1.00,0.694,0.029,0.99
115-1,1.00,0.664,0.49,1.00,0.673,0.032,0.52
116-1,0.93,0.670,0.38,0.93,0.673,0.033,0.52
116-2,0.84,0.571,0.51,0.84,0.573,0.051,0.55
