ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.96,0.484,0.33,0.96,0.490,0.043,0.34
BLAST-S14,0.95,0.538,0.37,0.95,0.549,0.040,0.39
Naive-S11,1.00,0.259,0.09,1.00,0.260,0.019,0.11
Naive-S14,1.00,0.262,0.43,1.00,0.270,0.017,0.30
101-1,1.00,0.519,0.37,1.00,0.533,0.033,0.36
101-2,0.96,0.686,0.23,0.96,0.686,0.033,0.25
101-3,1.00,0.651,0.68,1.00,0.661,0.037,0.47
102-1,1.00,0.586,0.66,1.00,0.598,0.033,0.62
102-2,0.93,0.569,0.70,0.93,0.576,0.034,0.69
102-3,0.20,0.608,0.90,0.20,0.649,0.050,0.85
103-1,0.84,0.558,0.27,0.84,0.567,0.030,0.29
103-2,0.98,0.686,0.34,0.98,0.692,0.033,0.40
103-3,0.93,0.696,0.17,0.93,0.695,0.032,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.524,0.92,1.00,0.526,0.033,0.88
105-2,1.00,0.550,1.00,1.00,0.553,0.034,0.99
105-3,1.00,0.519,1.00,1.00,0.528,0.034,0.99
106-1,0.95,0.417,0.10,0.95,0.422,0.042,0.24
106-2,0.71,0.460,1.00,0.71,0.457,0.065,1.00
106-3,0.51,0.625,0.07,0.51,0.625,0.050,0.09
107-1,1.00,0.512,0.76,1.00,0.525,0.033,0.77
107-2,1.00,0.532,0.08,1.00,0.540,0.037,0.06
107-3,1.00,0.490,0.05,1.00,0.500,0.037,0.05
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.98,0.608,0.65,0.98,0.615,0.042,0.73
110-2,0.96,0.614,0.91,0.96,0.623,0.048,0.87
110-3,1.00,0.367,1.00,1.00,0.367,0.040,1.00
111-1,0.98,0.608,0.65,0.98,0.615,0.042,0.73
111-2,1.00,0.367,1.00,1.00,0.367,0.040,1.00
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.626,0.68,1.00,0.631,0.042,0.65
112-2,1.00,0.627,0.70,1.00,0.636,0.040,0.62
112-3,1.00,0.568,0.33,1.00,0.572,0.034,0.33
113-1,1.00,0.593,0.34,1.00,0.592,0.035,0.34
113-2,1.00,0.228,1.00,1.00,0.234,0.030,0.87
113-3,0.93,0.539,0.63,0.93,0.546,0.046,0.57
114-1,1.00,0.665,1.00,1.00,0.666,0.031,0.99
115-1,1.00,0.640,0.49,1.00,0.646,0.033,0.51
116-1,0.93,0.680,0.38,0.93,0.682,0.033,0.52
116-2,0.84,0.635,0.51,0.84,0.637,0.051,0.55
117-1,1.00,0.584,0.13,1.00,0.590,0.033,0.14
117-2,0.44,0.717,1.00,0.44,0.716,0.062,1.00
119-1,1.00,0.642,0.87,1.00,0.649,0.031,0.84
120-1,1.00,0.663,1.00,1.00,0.663,0.031,1.00
120-2,0.98,0.218,0.30,0.98,0.224,0.023,0.36
120-3,0.89,0.250,0.44,0.89,0.254,0.023,0.51
121-1,0.91,0.677,0.60,0.91,0.676,0.036,0.60
121-2,0.05,0.118,0.52,0.05,0.122,0.054,0.55
121-3,0.98,0.700,0.22,0.98,0.701,0.034,0.30
122-1,0.95,0.692,0.71,0.95,0.693,0.037,0.71
124-1,1.00,0.343,0.18,1.00,0.346,0.035,0.18
124-2,1.00,0.354,0.17,1.00,0.363,0.036,0.16
124-3,1.00,0.225,0.17,1.00,0.226,0.026,0.18
125-1,1.00,0.665,1.00,1.00,0.666,0.031,0.99
125-2,1.00,0.577,0.39,1.00,0.592,0.031,0.38
125-3,1.00,0.652,0.62,1.00,0.652,0.036,0.62
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.95,0.679,0.68,0.95,0.685,0.037,0.68
