ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.481,0.41,1.00,0.486,0.083,0.42
BLAST-S14,0.95,0.570,0.40,0.95,0.599,0.072,0.47
Naive-S11,1.00,0.290,0.10,1.00,0.291,0.039,0.10
Naive-S14,1.00,0.278,0.16,1.00,0.282,0.034,0.20
101-1,1.00,0.513,0.37,1.00,0.523,0.060,0.36
101-2,1.00,0.658,0.30,1.00,0.668,0.071,0.30
101-3,1.00,0.663,0.30,1.00,0.671,0.074,0.44
102-1,1.00,0.694,0.70,1.00,0.697,0.053,0.73
102-2,0.95,0.556,0.67,0.95,0.577,0.067,0.76
102-3,0.05,0.098,0.86,0.05,0.094,0.085,0.56
103-1,1.00,0.605,0.32,1.00,0.609,0.065,0.38
103-2,1.00,0.628,0.50,1.00,0.633,0.079,0.53
103-3,0.95,0.575,0.17,0.95,0.590,0.072,0.22
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.560,0.92,1.00,0.557,0.075,0.92
105-2,1.00,0.585,1.00,1.00,0.585,0.075,1.00
105-3,1.00,0.501,1.00,1.00,0.500,0.076,1.00
106-1,0.95,0.463,0.13,0.95,0.466,0.088,0.25
106-2,0.63,0.363,1.00,0.63,0.366,0.099,0.92
106-3,0.68,0.559,0.13,0.68,0.555,0.073,0.15
107-1,1.00,0.474,1.00,1.00,0.485,0.062,0.92
107-2,1.00,0.541,0.05,1.00,0.545,0.069,0.06
107-3,1.00,0.523,0.05,1.00,0.530,0.074,0.05
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,1.00,0.447,0.34,1.00,0.489,0.071,0.38
110-2,0.89,0.612,0.57,0.89,0.616,0.076,0.54
110-3,1.00,0.174,0.92,1.00,0.186,0.032,0.73
111-1,1.00,0.447,0.34,1.00,0.489,0.071,0.38
111-2,1.00,0.174,0.92,1.00,0.186,0.032,0.73
111-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
112-1,1.00,0.632,0.37,1.00,0.640,0.064,0.45
112-2,1.00,0.634,0.43,1.00,0.643,0.064,0.45
112-3,1.00,0.635,0.46,1.00,0.643,0.064,0.46
113-1,1.00,0.639,0.43,1.00,0.648,0.063,0.45
113-2,0.95,0.159,0.40,0.95,0.164,0.033,0.43
113-3,0.95,0.449,0.10,0.95,0.493,0.070,0.33
114-1,1.00,0.608,0.99,1.00,0.609,0.082,0.99
115-1,1.00,0.638,0.21,1.00,0.660,0.074,0.53
116-1,0.95,0.643,0.86,0.95,0.639,0.075,0.86
116-2,0.84,0.492,0.67,0.84,0.497,0.097,0.74
117-1,1.00,0.614,0.15,1.00,0.621,0.068,0.17
117-2,0.63,0.437,1.00,0.63,0.428,0.093,1.00
119-1,1.00,0.680,0.93,1.00,0.692,0.067,0.95
120-1,1.00,0.628,0.99,1.00,0.628,0.078,0.99
120-2,1.00,0.262,0.56,1.00,0.266,0.063,0.46
120-3,0.89,0.167,0.53,0.89,0.169,0.061,0.56
121-1,1.00,0.617,0.60,1.00,0.615,0.081,0.60
121-2,0.16,0.270,0.72,0.16,0.261,0.121,0.69
121-3,1.00,0.657,0.50,1.00,0.661,0.074,0.37
122-1,0.95,0.600,0.90,0.95,0.602,0.084,0.89
124-1,1.00,0.304,0.23,1.00,0.317,0.048,0.18
124-2,1.00,0.264,0.07,1.00,0.267,0.039,0.08
124-3,1.00,0.267,0.23,1.00,0.272,0.050,0.21
125-1,1.00,0.608,0.99,1.00,0.609,0.082,0.99
125-2,1.00,0.585,0.31,1.00,0.593,0.070,0.36
125-3,1.00,0.547,0.61,1.00,0.562,0.073,0.61
126-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
127-1,0.95,0.692,0.78,0.95,0.701,0.068,0.81
127-2,0.95,0.684,0.34,0.95,0.687,0.055,0.34
127-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
128-1,0.89,0.548,0.28,0.89,0.554,0.066,0.20
129-1,1.00,0.719,0.55,1.00,0.717,0.050,0.55
129-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
129-3,1.00,0.719,0.55,1.00,0.717,0.050,0.55
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.79,0.530,1.00,0.79,0.525,0.089,1.00
131-2,1.00,0.641,1.00,1.00,0.638,0.079,1.00
131-3,1.00,0.635,0.49,1.00,0.644,0.079,0.50
132-1,1.00,0.611,0.53,1.00,0.616,0.055,0.50
132-2,1.00,0.627,0.53,1.00,0.627,0.054,0.49
65-1,1.00,0.486,0.18,1.00,0.504,0.056,0.20
65-2,0.95,0.487,0.18,0.95,0.506,0.056,0.20
65-3,1.00,0.486,0.19,1.00,0.511,0.051,0.19
68-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
68-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
69-1,1.00,0.667,0.71,1.00,0.672,0.073,0.69
69-2,1.00,0.670,0.69,1.00,0.678,0.072,0.65
70-1,1.00,0.583,0.13,1.00,0.587,0.048,0.16
70-2,1.00,0.347,0.09,1.00,0.357,0.036,0.11
70-3,1.00,0.374,0.12,1.00,0.390,0.068,0.16
72-1,1.00,0.647,0.37,1.00,0.645,0.069,0.40
72-2,0.47,0.135,0.01,0.47,0.125,0.070,0.01
73-1,1.00,0.485,1.00,1.00,0.489,0.076,0.94
73-2,1.00,0.485,1.00,1.00,0.493,0.075,0.93
73-3,1.00,0.431,0.85,1.00,0.439,0.065,0.84
74-1,0.68,0.489,0.77,0.68,0.488,0.083,0.81
74-2,1.00,0.646,0.77,1.00,0.657,0.075,0.88
