ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.665,0.51,1.00,0.680,0.062,0.56
BLAST-S14,1.00,0.542,0.51,1.00,0.550,0.074,0.57
Naive-S11,1.00,0.378,0.30,1.00,0.385,0.058,0.36
Naive-S14,1.00,0.341,0.17,1.00,0.342,0.043,0.17
101-1,1.00,0.534,0.40,1.00,0.560,0.065,0.42
101-2,1.00,0.710,0.43,1.00,0.726,0.051,0.38
101-3,1.00,0.551,0.81,1.00,0.566,0.067,0.63
102-1,1.00,0.594,0.46,1.00,0.612,0.070,0.53
102-2,1.00,0.622,0.75,1.00,0.639,0.068,0.59
102-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-3,0.18,0.190,0.33,0.18,0.186,0.096,0.26
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,1.00,0.362,0.92,1.00,0.404,0.070,0.82
105-2,1.00,0.526,0.99,1.00,0.526,0.074,0.99
105-3,1.00,0.436,0.99,1.00,0.450,0.082,0.99
106-1,0.82,0.422,0.43,0.82,0.425,0.088,0.51
106-2,0.47,0.196,0.80,0.47,0.198,0.082,0.82
106-3,0.18,0.194,0.23,0.18,0.184,0.094,0.30
107-1,1.00,0.416,0.72,1.00,0.425,0.067,0.80
107-2,1.00,0.535,0.05,1.00,0.532,0.083,0.05
107-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,1.00,0.569,0.46,1.00,0.585,0.064,0.63
110-2,1.00,0.492,0.26,1.00,0.512,0.052,0.35
110-3,1.00,0.390,0.01,1.00,0.392,0.073,0.06
111-1,1.00,0.583,0.46,1.00,0.601,0.061,0.59
111-2,0.94,0.333,0.01,0.94,0.342,0.067,0.13
111-3,0.18,0.145,1.00,0.18,0.141,0.073,0.96
112-1,1.00,0.542,0.38,1.00,0.566,0.050,0.44
112-2,1.00,0.557,0.32,1.00,0.577,0.047,0.43
112-3,1.00,0.539,0.38,1.00,0.560,0.049,0.42
113-1,1.00,0.554,0.31,1.00,0.575,0.045,0.41
113-2,0.35,0.167,0.11,0.35,0.169,0.052,0.31
113-3,1.00,0.592,0.46,1.00,0.613,0.056,0.55
114-1,1.00,0.504,0.69,1.00,0.508,0.070,0.78
115-1,1.00,0.570,0.53,1.00,0.589,0.063,0.49
116-1,0.88,0.523,0.67,0.88,0.525,0.074,0.71
116-2,0.71,0.511,0.57,0.71,0.507,0.081,0.64
117-1,1.00,0.653,0.16,1.00,0.649,0.050,0.16
117-2,0.59,0.469,1.00,0.59,0.460,0.089,1.00
119-1,1.00,0.572,0.77,1.00,0.585,0.069,0.82
120-1,1.00,0.478,0.98,1.00,0.486,0.069,0.95
120-2,1.00,0.411,0.38,1.00,0.428,0.054,0.55
120-3,0.94,0.347,0.51,0.94,0.352,0.072,0.69
121-1,0.18,0.186,0.60,0.18,0.174,0.082,0.60
121-2,0.06,0.098,1.00,0.06,0.092,0.085,0.64
121-3,0.18,0.197,0.06,0.18,0.188,0.094,0.42
