ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.427,0.51,1.00,0.423,0.062,0.56
BLAST-S14,1.00,0.485,0.51,1.00,0.483,0.052,0.56
Naive-S11,1.00,0.642,0.09,1.00,0.642,0.016,0.08
Naive-S14,1.00,0.640,0.13,1.00,0.640,0.018,0.13
101-1,1.00,0.522,0.42,1.00,0.516,0.059,0.42
101-2,1.00,0.451,0.13,1.00,0.440,0.072,0.23
101-3,1.00,0.492,0.98,1.00,0.487,0.056,0.71
102-1,1.00,0.430,0.56,1.00,0.422,0.070,0.54
102-2,1.00,0.420,0.70,1.00,0.414,0.069,0.61
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-3,0.18,0.855,0.17,0.18,0.858,0.071,0.19
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.615,0.92,1.00,0.612,0.054,0.91
105-2,1.00,0.531,0.99,1.00,0.524,0.064,0.99
105-3,1.00,0.587,1.00,1.00,0.591,0.067,1.00
106-1,0.82,0.521,0.55,0.82,0.528,0.067,0.56
106-2,0.47,0.726,0.65,0.47,0.733,0.057,0.67
106-3,0.18,0.873,0.23,0.18,0.876,0.065,0.30
107-1,1.00,0.625,1.00,1.00,0.628,0.043,0.95
107-2,1.00,0.455,0.05,1.00,0.460,0.066,0.05
107-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,1.00,0.508,0.70,1.00,0.496,0.058,0.71
110-2,1.00,0.563,0.39,1.00,0.555,0.044,0.47
110-3,1.00,0.709,0.01,1.00,0.721,0.043,0.03
111-1,1.00,0.497,0.70,1.00,0.488,0.058,0.63
111-2,0.94,0.680,0.01,0.94,0.686,0.035,0.08
111-3,0.18,0.913,1.00,0.18,0.913,0.047,0.96
112-1,1.00,0.532,0.52,1.00,0.519,0.043,0.50
112-2,1.00,0.526,0.56,1.00,0.514,0.042,0.50
112-3,1.00,0.532,0.52,1.00,0.521,0.043,0.49
113-1,1.00,0.525,0.49,1.00,0.514,0.041,0.49
113-2,0.35,0.741,0.01,0.35,0.754,0.054,0.03
113-3,1.00,0.502,0.70,1.00,0.487,0.058,0.61
114-1,1.00,0.539,1.00,1.00,0.533,0.047,1.00
115-1,1.00,0.471,0.53,1.00,0.467,0.056,0.55
116-1,0.88,0.516,0.33,0.88,0.522,0.065,0.47
116-2,0.71,0.618,0.33,0.71,0.618,0.076,0.45
117-1,1.00,0.473,0.15,1.00,0.470,0.060,0.16
117-2,0.59,0.613,1.00,0.59,0.620,0.082,1.00
119-1,1.00,0.504,0.89,1.00,0.479,0.061,0.87
120-1,1.00,0.559,1.00,1.00,0.551,0.047,0.99
120-2,1.00,0.585,0.67,1.00,0.577,0.036,0.59
120-3,0.94,0.625,0.44,0.94,0.631,0.046,0.46
121-1,0.18,0.855,0.60,0.18,0.858,0.071,0.60
121-2,0.06,0.944,0.85,0.06,0.945,0.053,0.55
121-3,0.18,0.852,0.61,0.18,0.852,0.075,0.28
122-1,0.88,0.512,0.88,0.88,0.516,0.048,0.87
124-1,1.00,0.665,0.28,1.00,0.658,0.020,0.26
124-2,1.00,0.631,0.16,1.00,0.630,0.031,0.17
124-3,1.00,0.674,0.28,1.00,0.671,0.018,0.27
125-1,1.00,0.533,1.00,1.00,0.528,0.047,1.00
125-2,1.00,0.600,0.43,1.00,0.584,0.034,0.45
125-3,1.00,0.549,0.66,1.00,0.542,0.042,0.65
126-1,1.00,0.369,0.30,1.00,0.376,0.067,0.42
127-1,1.00,0.413,0.72,1.00,0.409,0.073,0.70
127-2,1.00,0.380,0.26,1.00,0.378,0.076,0.26
127-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
128-1,0.71,0.560,0.20,0.70,0.564,0.058,0.30
129-1,1.00,0.438,0.56,1.00,0.431,0.073,0.54
129-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
129-3,1.00,0.438,0.56,1.00,0.431,0.073,0.54
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.94,0.504,0.24,0.94,0.499,0.057,0.27
131-2,0.94,0.513,0.28,0.94,0.506,0.051,0.18
131-3,1.00,0.463,0.21,1.00,0.466,0.066,0.21
132-1,1.00,0.475,0.57,1.00,0.469,0.052,0.53
132-2,1.00,0.474,0.57,1.00,0.466,0.052,0.53
65-1,0.94,0.554,0.22,0.94,0.537,0.056,0.20
65-2,0.94,0.558,0.20,0.94,0.540,0.055,0.20
65-3,0.94,0.559,0.21,0.94,0.544,0.056,0.21
68-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
68-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
69-1,1.00,0.477,0.60,1.00,0.467,0.063,0.49
69-2,1.00,0.459,0.27,1.00,0.447,0.060,0.49
70-1,1.00,0.464,0.30,1.00,0.457,0.055,0.29
70-2,1.00,0.581,0.13,1.00,0.571,0.043,0.13
70-3,1.00,0.564,0.11,1.00,0.564,0.041,0.12
72-1,1.00,0.486,0.12,1.00,0.490,0.055,0.24
72-2,1.00,0.630,0.01,1.00,0.636,0.072,0.01
73-1,1.00,0.555,1.00,1.00,0.561,0.053,1.00
73-2,1.00,0.555,1.00,1.00,0.561,0.053,1.00
73-3,1.00,0.685,0.93,1.00,0.685,0.071,0.96
74-1,0.59,0.566,0.08,0.59,0.570,0.073,0.10
74-2,1.00,0.508,0.39,1.00,0.511,0.055,0.45
75-1,1.00,0.489,0.72,1.00,0.473,0.060,0.69
75-2,1.00,0.465,0.71,1.00,0.455,0.059,0.71
79-1,1.00,0.416,0.22,1.00,0.417,0.063,0.23
79-2,0.76,0.561,0.21,0.76,0.560,0.060,0.17
79-3,1.00,0.416,0.15,1.00,0.412,0.064,0.16
80-1,0.59,0.566,0.08,0.59,0.572,0.070,0.12
80-2,1.00,0.556,0.39,1.00,0.534,0.045,0.65
81-1,0.88,0.467,0.57,0.88,0.457,0.074,0.55
81-2,0.88,0.461,0.57,0.88,0.454,0.075,0.52
82-1,1.00,0.522,0.80,1.00,0.519,0.049,0.80
83-1,1.00,0.599,1.00,1.00,0.602,0.020,0.89
83-2,1.00,0.597,1.00,1.00,0.593,0.021,0.76
84-1,0.82,0.646,0.05,0.82,0.643,0.027,0.07
85-1,1.00,0.406,0.73,1.00,0.408,0.064,0.71
85-2,1.00,0.406,0.73,1.00,0.408,0.064,0.71
86-1,0.82,0.488,0.34,0.82,0.479,0.074,0.47
86-2,0.82,0.488,0.34,0.82,0.479,0.074,0.47
86-3,0.82,0.520,0.49,0.82,0.521,0.091,0.57
87-1,0.94,0.493,0.46,0.94,0.475,0.061,0.48
87-2,0.94,0.553,0.21,0.94,0.532,0.049,0.23
87-3,0.76,0.481,0.56,0.77,0.476,0.060,0.59
88-1,0.94,0.468,0.79,0.94,0.475,0.066,0.71
89-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
93-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
93-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
94-1,1.00,0.492,1.00,1.00,0.496,0.061,1.00
95-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
95-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
96-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
96-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
96-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
98-1,1.00,0.677,0.50,1.00,0.676,0.021,0.50
99-1,1.00,0.419,0.13,1.00,0.412,0.070,0.13
