ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,6.547,0.88,1.00,6.566,1.198,0.86
BLAST-S14,1.00,7.462,0.89,1.00,7.201,1.108,0.91
Naive-S11,1.00,8.033,0.30,1.00,8.009,0.885,0.28
Naive-S14,1.00,8.118,0.43,1.00,8.083,0.889,0.39
101-1,1.00,6.461,0.54,1.00,6.397,1.067,0.54
101-2,1.00,5.091,0.30,1.00,5.041,1.147,0.34
101-3,1.00,6.871,1.00,1.00,6.907,1.225,0.99
102-1,1.00,6.300,0.76,1.00,6.215,1.121,0.75
102-2,1.00,5.894,0.77,1.00,5.634,1.122,0.80
102-3,0.00,8.585,1.00,0.00,8.583,0.914,1.00
103-1,0.00,8.585,1.00,0.00,8.583,0.914,1.00
103-2,0.00,8.585,1.00,0.00,8.583,0.914,1.00
103-3,0.18,7.889,0.33,0.18,7.915,1.033,0.42
104-1,0.00,8.585,1.00,0.00,8.583,0.914,1.00
104-2,0.00,8.585,1.00,0.00,8.583,0.914,1.00
104-3,0.00,8.585,1.00,0.00,8.583,0.914,1.00
105-1,1.00,8.185,0.94,1.00,8.048,1.048,0.95
105-2,1.00,15.926,1.00,1.00,16.001,4.110,1.00
105-3,1.00,25.872,1.00,1.00,25.856,6.257,1.00
106-1,0.82,7.229,1.00,0.82,7.125,1.181,0.91
106-2,0.47,7.898,1.00,0.47,7.909,0.960,0.98
106-3,0.18,8.127,0.27,0.18,8.031,0.947,0.48
107-1,1.00,21.852,1.00,1.00,21.835,4.418,1.00
107-2,1.00,6.493,0.09,1.00,6.317,1.148,0.08
107-3,0.00,8.585,1.00,0.00,8.583,0.914,1.00
108-1,0.00,8.585,1.00,0.00,8.583,0.914,1.00
109-1,0.00,8.585,1.00,0.00,8.583,0.914,1.00
110-1,1.00,6.537,1.00,1.00,6.713,1.191,1.00
110-2,1.00,6.997,0.84,1.00,6.907,0.890,0.90
110-3,1.00,8.555,1.00,1.00,8.610,0.948,0.96
111-1,1.00,6.259,1.00,1.00,6.383,1.144,0.98
111-2,0.94,8.583,1.00,0.94,8.636,0.969,0.98
