ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.590,0.41,1.00,0.579,0.024,0.38
BLAST-S14,0.93,0.564,0.41,0.93,0.558,0.027,0.41
Naive-S11,1.00,0.617,0.09,1.00,0.617,0.010,0.09
Naive-S14,1.00,0.615,0.13,1.00,0.616,0.011,0.13
101-1,0.97,0.542,0.39,0.97,0.541,0.021,0.39
101-2,0.88,0.481,0.10,0.88,0.479,0.033,0.09
101-3,0.97,0.491,0.24,0.97,0.489,0.027,0.26
102-1,1.00,0.455,0.51,1.00,0.455,0.034,0.51
102-2,0.95,0.467,0.55,0.95,0.466,0.033,0.53
102-3,0.03,0.970,0.06,0.03,0.971,0.020,0.26
103-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-3,0.69,0.563,0.17,0.69,0.565,0.034,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,0.97,0.549,0.92,0.97,0.552,0.025,0.92
105-2,0.93,0.523,0.98,0.93,0.520,0.026,0.98
105-3,0.97,0.553,1.00,0.97,0.553,0.025,1.00
106-1,0.76,0.608,0.11,0.76,0.608,0.031,0.17
106-2,0.51,0.746,0.63,0.51,0.748,0.030,0.64
106-3,0.27,0.815,0.11,0.27,0.817,0.041,0.12
107-1,1.00,0.541,1.00,1.00,0.544,0.025,0.95
107-2,1.00,0.532,0.05,1.00,0.530,0.025,0.05
107-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.95,0.574,0.81,0.95,0.567,0.026,0.77
110-2,0.95,0.489,0.52,0.95,0.490,0.028,0.51
110-3,0.98,0.600,1.00,0.98,0.598,0.022,0.94
111-1,0.95,0.570,0.81,0.95,0.564,0.026,0.77
111-2,0.98,0.590,0.84,0.98,0.587,0.022,0.90
111-3,0.05,0.965,0.08,0.05,0.965,0.021,0.17
112-1,1.00,0.469,0.52,1.00,0.464,0.027,0.48
112-2,1.00,0.473,0.52,1.00,0.469,0.027,0.50
112-3,1.00,0.476,0.43,1.00,0.473,0.027,0.45
113-1,1.00,0.487,0.49,1.00,0.480,0.026,0.46
113-2,0.98,0.612,0.99,0.98,0.609,0.021,0.91
113-3,0.93,0.585,0.74,0.93,0.583,0.022,0.73
114-1,1.00,0.444,0.98,1.00,0.445,0.028,0.97
115-1,1.00,0.506,0.42,1.00,0.502,0.024,0.39
116-1,0.54,0.657,0.01,0.54,0.659,0.043,0.08
116-2,0.47,0.701,0.01,0.47,0.702,0.046,0.10
117-1,1.00,0.562,0.11,1.00,0.554,0.021,0.10
117-2,0.34,0.715,1.00,0.34,0.715,0.053,1.00
119-1,0.93,0.516,0.79,0.93,0.510,0.024,0.77
120-1,1.00,0.454,1.00,1.00,0.455,0.027,0.99
120-2,1.00,0.643,0.48,1.00,0.642,0.012,0.49
120-3,0.78,0.674,0.45,0.78,0.675,0.025,0.45
121-1,0.53,0.617,0.60,0.53,0.618,0.043,0.51
121-2,0.42,0.678,0.32,0.42,0.679,0.052,0.33
121-3,0.61,0.598,0.03,0.61,0.600,0.037,0.03
122-1,0.93,0.438,0.69,0.93,0.439,0.029,0.73
124-1,1.00,0.609,0.23,1.00,0.610,0.015,0.23
124-2,1.00,0.623,0.19,1.00,0.624,0.013,0.19
124-3,1.00,0.628,0.24,1.00,0.625,0.013,0.22
125-1,0.97,0.446,0.96,0.97,0.446,0.028,0.97
125-2,0.95,0.500,0.29,0.95,0.490,0.025,0.36
125-3,0.97,0.439,0.62,0.97,0.440,0.034,0.62
126-1,0.10,0.931,0.25,0.10,0.931,0.031,0.34
127-1,0.90,0.422,0.57,0.90,0.417,0.033,0.60
127-2,0.90,0.412,0.14,0.90,0.413,0.031,0.14
127-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
128-1,0.41,0.682,0.01,0.41,0.683,0.040,0.05
129-1,0.95,0.437,0.48,0.95,0.431,0.028,0.48
129-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
129-3,0.95,0.437,0.48,0.95,0.431,0.028,0.48
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.83,0.462,0.33,0.83,0.464,0.033,0.33
131-2,0.85,0.451,0.33,0.85,0.454,0.031,0.29
131-3,1.00,0.520,0.18,1.00,0.520,0.024,0.19
