ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.464,0.43,1.00,0.472,0.039,0.43
BLAST-S14,0.93,0.507,0.42,0.93,0.509,0.041,0.42
Naive-S11,1.00,0.308,0.30,1.00,0.312,0.022,0.22
Naive-S14,1.00,0.303,0.16,1.00,0.304,0.020,0.16
101-1,0.97,0.501,0.38,0.97,0.503,0.033,0.38
101-2,0.88,0.601,0.10,0.88,0.606,0.040,0.14
101-3,0.97,0.545,0.46,0.97,0.550,0.035,0.49
102-1,1.00,0.570,0.56,1.00,0.573,0.041,0.51
102-2,0.95,0.564,0.55,0.95,0.570,0.038,0.48
102-3,0.03,0.724,0.90,0.03,0.724,0.212,0.91
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.69,0.507,0.17,0.69,0.512,0.043,0.21
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.97,0.429,0.92,0.97,0.434,0.040,0.89
105-2,0.93,0.503,0.98,0.93,0.504,0.040,0.98
105-3,0.97,0.457,0.98,0.97,0.462,0.039,0.99
106-1,0.76,0.395,0.11,0.76,0.398,0.050,0.18
106-2,0.51,0.188,0.85,0.51,0.193,0.062,0.87
106-3,0.27,0.502,0.25,0.27,0.534,0.062,0.25
107-1,1.00,0.482,1.00,1.00,0.483,0.038,0.90
107-2,1.00,0.441,0.03,1.00,0.448,0.036,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,0.495,0.84,0.95,0.504,0.039,0.80
110-2,0.95,0.535,0.52,0.95,0.539,0.034,0.51
110-3,0.98,0.356,0.69,0.98,0.359,0.039,0.72
111-1,0.95,0.495,0.84,0.95,0.506,0.038,0.78
111-2,0.98,0.379,0.65,0.98,0.382,0.041,0.70
111-3,0.05,0.448,0.14,0.05,0.448,0.249,0.34
112-1,1.00,0.574,0.57,1.00,0.576,0.037,0.56
112-2,1.00,0.567,0.57,1.00,0.571,0.037,0.56
112-3,1.00,0.519,0.36,1.00,0.527,0.033,0.40
113-1,1.00,0.513,0.34,1.00,0.524,0.032,0.39
113-2,0.98,0.285,0.65,0.98,0.293,0.039,0.54
113-3,0.93,0.454,0.71,0.93,0.463,0.034,0.67
114-1,1.00,0.585,0.98,1.00,0.587,0.035,0.96
115-1,1.00,0.508,0.44,1.00,0.515,0.035,0.41
116-1,0.54,0.484,0.10,0.54,0.487,0.054,0.30
116-2,0.47,0.586,0.10,0.47,0.587,0.060,0.28
117-1,1.00,0.487,0.14,1.00,0.489,0.033,0.13
117-2,0.34,0.747,1.00,0.34,0.746,0.056,1.00
119-1,0.93,0.520,0.79,0.93,0.537,0.037,0.80
120-1,1.00,0.577,0.96,1.00,0.579,0.035,0.97
120-2,1.00,0.249,0.44,1.00,0.257,0.029,0.48
120-3,0.78,0.304,0.49,0.78,0.307,0.038,0.52
121-1,0.53,0.552,0.60,0.53,0.551,0.049,0.60
121-2,0.42,0.679,0.44,0.42,0.686,0.064,0.44
121-3,0.61,0.565,0.03,0.61,0.567,0.041,0.06
122-1,0.93,0.643,0.78,0.93,0.647,0.037,0.74
124-1,1.00,0.323,0.23,1.00,0.325,0.030,0.25
124-2,1.00,0.282,0.23,1.00,0.285,0.028,0.23
124-3,1.00,0.297,0.24,1.00,0.302,0.028,0.28
125-1,0.97,0.593,0.96,0.97,0.596,0.036,0.96
125-2,0.95,0.525,0.29,0.95,0.537,0.038,0.34
125-3,0.97,0.624,0.62,0.97,0.624,0.042,0.62
126-1,0.10,0.687,1.00,0.10,0.677,0.168,0.84
