ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.590,0.41,1.00,0.579,0.024,0.38
BLAST-S14,0.93,0.546,0.42,0.93,0.543,0.028,0.41
Naive-S11,1.00,0.617,0.09,1.00,0.617,0.010,0.09
Naive-S14,1.00,0.615,0.13,1.00,0.616,0.011,0.13
101-1,0.97,0.539,0.39,0.97,0.537,0.022,0.39
101-2,0.88,0.438,0.10,0.88,0.438,0.031,0.10
101-3,0.97,0.485,0.24,0.97,0.483,0.027,0.29
102-1,1.00,0.455,0.51,1.00,0.455,0.034,0.51
102-2,0.95,0.451,0.55,0.95,0.451,0.033,0.55
102-3,0.03,0.344,0.90,0.03,0.343,0.263,0.91
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.69,0.490,0.17,0.69,0.489,0.028,0.20
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.97,0.548,0.92,0.97,0.551,0.026,0.92
105-2,0.93,0.521,0.99,0.93,0.517,0.028,0.99
105-3,0.97,0.554,1.00,0.97,0.555,0.027,1.00
106-1,0.76,0.550,0.25,0.76,0.550,0.031,0.22
106-2,0.51,0.640,0.67,0.51,0.639,0.031,0.67
106-3,0.27,0.501,0.23,0.27,0.491,0.049,0.21
107-1,1.00,0.541,1.00,1.00,0.544,0.025,0.95
107-2,1.00,0.532,0.05,1.00,0.530,0.025,0.05
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,0.560,0.83,0.95,0.557,0.027,0.80
110-2,0.95,0.472,0.52,0.95,0.474,0.028,0.52
110-3,0.98,0.600,1.00,0.98,0.598,0.022,0.95
111-1,0.95,0.557,0.83,0.95,0.554,0.027,0.80
111-2,0.98,0.590,1.00,0.98,0.586,0.023,0.91
111-3,0.05,0.594,0.14,0.05,0.624,0.077,0.24
112-1,1.00,0.469,0.52,1.00,0.464,0.027,0.48
112-2,1.00,0.473,0.52,1.00,0.469,0.027,0.50
112-3,1.00,0.476,0.43,1.00,0.473,0.027,0.45
113-1,1.00,0.487,0.49,1.00,0.480,0.026,0.46
113-2,0.98,0.612,0.99,0.98,0.609,0.022,0.92
113-3,0.93,0.582,0.74,0.93,0.576,0.024,0.77
114-1,1.00,0.444,0.98,1.00,0.445,0.028,0.97
115-1,1.00,0.506,0.42,1.00,0.502,0.024,0.39
116-1,0.54,0.476,0.01,0.54,0.477,0.039,0.18
116-2,0.47,0.435,0.01,0.47,0.440,0.048,0.11
117-1,1.00,0.562,0.11,1.00,0.554,0.021,0.10
117-2,0.34,0.317,1.00,0.34,0.320,0.057,1.00
119-1,0.93,0.503,0.79,0.93,0.498,0.027,0.81
120-1,1.00,0.454,1.00,1.00,0.455,0.027,0.99
120-2,1.00,0.643,0.48,1.00,0.642,0.012,0.49
120-3,0.78,0.620,0.45,0.78,0.621,0.020,0.46
121-1,0.53,0.479,0.60,0.53,0.482,0.036,0.60
121-2,0.42,0.346,0.38,0.42,0.340,0.059,0.39
121-3,0.61,0.492,0.05,0.61,0.492,0.026,0.11
122-1,0.93,0.427,0.78,0.93,0.427,0.030,0.74
124-1,1.00,0.609,0.23,1.00,0.610,0.015,0.23
124-2,1.00,0.623,0.19,1.00,0.624,0.013,0.19
124-3,1.00,0.628,0.24,1.00,0.625,0.013,0.22
125-1,0.97,0.439,0.99,0.97,0.439,0.028,0.98
125-2,0.95,0.493,0.40,0.95,0.483,0.026,0.39
125-3,0.97,0.436,0.62,0.97,0.436,0.036,0.63
126-1,0.10,0.387,0.25,0.10,0.387,0.158,0.49
127-1,0.90,0.381,0.65,0.90,0.377,0.032,0.63
127-2,0.90,0.379,0.14,0.90,0.376,0.031,0.16
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.41,0.486,0.33,0.41,0.474,0.048,0.41
129-1,0.95,0.423,0.50,0.95,0.418,0.029,0.49
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.95,0.423,0.50,0.95,0.418,0.029,0.49
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.83,0.418,0.33,0.83,0.419,0.031,0.40
131-2,0.85,0.421,0.50,0.85,0.422,0.031,0.47
131-3,1.00,0.520,0.18,1.00,0.520,0.024,0.19
132-1,1.00,0.483,0.48,1.00,0.481,0.024,0.49
132-2,1.00,0.491,0.48,1.00,0.490,0.023,0.48
65-1,1.00,0.605,0.48,1.00,0.603,0.013,0.47
65-2,0.98,0.601,0.42,0.98,0.597,0.014,0.43
65-3,1.00,0.606,0.48,1.00,0.601,0.013,0.45
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,0.512,0.71,1.00,0.507,0.025,0.65
69-2,1.00,0.515,0.87,1.00,0.505,0.026,0.65
70-1,1.00,0.503,0.11,1.00,0.501,0.028,0.12
70-2,1.00,0.580,0.11,1.00,0.579,0.014,0.11
70-3,1.00,0.595,0.13,1.00,0.590,0.019,0.12
72-1,0.97,0.532,0.01,0.97,0.534,0.022,0.01
72-2,0.75,0.703,0.01,0.75,0.704,0.050,0.01
73-1,1.00,0.599,0.99,1.00,0.597,0.020,0.99
73-2,1.00,0.600,0.99,1.00,0.598,0.020,0.99
73-3,0.95,0.649,0.99,0.95,0.649,0.031,0.98
74-1,0.49,0.571,0.09,0.49,0.571,0.030,0.11
74-2,1.00,0.511,0.24,1.00,0.508,0.023,0.33
75-1,1.00,0.500,0.60,1.00,0.498,0.025,0.63
75-2,1.00,0.503,0.63,1.00,0.498,0.025,0.65
79-1,0.90,0.394,0.18,0.90,0.386,0.033,0.24
79-2,0.59,0.363,0.25,0.59,0.350,0.033,0.25
79-3,0.95,0.421,0.34,0.95,0.422,0.034,0.34
80-1,0.63,0.471,0.10,0.63,0.474,0.039,0.10
80-2,1.00,0.512,0.36,1.00,0.510,0.022,0.46
81-1,0.59,0.354,0.06,0.59,0.356,0.045,0.07
81-2,0.59,0.354,0.06,0.59,0.356,0.045,0.07
82-1,0.90,0.516,0.71,0.90,0.508,0.028,0.72
83-1,1.00,0.517,0.17,1.00,0.515,0.026,0.21
83-2,0.98,0.488,0.12,0.98,0.488,0.030,0.13
84-1,0.81,0.641,0.13,0.81,0.638,0.012,0.13
85-1,0.95,0.378,0.36,0.95,0.374,0.034,0.40
85-2,0.95,0.378,0.36,0.95,0.374,0.034,0.40
86-1,0.46,0.559,0.30,0.46,0.561,0.064,0.30
86-2,0.46,0.559,0.30,0.46,0.561,0.064,0.30
86-3,0.37,0.632,0.30,0.37,0.635,0.078,0.32
87-1,0.95,0.374,0.44,0.95,0.374,0.036,0.44
87-2,0.95,0.490,0.19,0.95,0.490,0.030,0.19
87-3,0.61,0.404,0.40,0.61,0.398,0.039,0.43
88-1,0.95,0.417,0.48,0.95,0.418,0.038,0.46
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
94-1,0.98,0.481,0.84,0.98,0.483,0.026,0.80
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,1.00,0.542,0.50,1.00,0.539,0.022,0.51
99-1,0.95,0.439,0.10,0.95,0.433,0.033,0.11
