ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,7.168,0.52,1.00,7.090,0.503,0.55
BLAST-S14,0.93,7.594,0.52,0.93,7.531,0.590,0.56
Naive-S11,1.00,7.771,0.30,1.00,7.759,0.452,0.28
Naive-S14,1.00,7.815,0.43,1.00,7.799,0.448,0.40
101-1,0.97,6.744,0.46,0.97,6.732,0.499,0.47
101-2,0.88,5.892,0.34,0.88,5.875,0.554,0.34
101-3,0.97,6.792,1.00,0.97,6.778,0.572,0.95
102-1,1.00,5.805,0.56,1.00,5.727,0.552,0.59
102-2,0.95,5.837,0.81,0.95,5.750,0.567,0.77
102-3,0.03,4.565,0.94,0.03,4.554,3.492,0.96
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.69,6.962,0.33,0.69,6.924,0.591,0.36
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.97,8.238,0.93,0.97,8.037,0.560,0.94
105-2,0.93,13.061,1.00,0.93,13.049,2.481,1.00
105-3,0.97,17.533,1.00,0.97,17.499,2.870,1.00
106-1,0.76,8.074,1.00,0.76,7.962,0.621,0.92
106-2,0.51,8.434,1.00,0.51,8.449,0.672,0.99
106-3,0.27,7.032,0.39,0.27,6.991,1.211,0.37
107-1,1.00,14.876,1.00,1.00,14.885,2.083,1.00
107-2,1.00,7.239,0.13,1.00,7.159,0.504,0.13
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,7.122,0.96,0.95,7.097,0.531,0.96
110-2,0.95,6.099,0.77,0.95,5.979,0.534,0.71
110-3,0.98,10.414,1.00,0.98,10.421,0.641,1.00
111-1,0.95,7.092,0.96,0.95,7.063,0.534,0.96
111-2,0.98,9.957,1.00,0.98,9.962,0.676,1.00
111-3,0.05,7.422,1.00,0.05,7.709,2.020,0.84
112-1,1.00,5.287,0.61,1.00,5.269,0.456,0.60
112-2,1.00,5.357,0.57,1.00,5.309,0.447,0.59
112-3,1.00,5.554,0.59,1.00,5.502,0.455,0.57
113-1,1.00,5.544,0.57,1.00,5.511,0.447,0.57
113-2,0.98,10.279,0.99,0.98,10.284,0.628,0.99
