ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.406,0.37,1.00,0.412,0.033,0.40
BLAST-S14,0.85,0.298,0.24,0.85,0.319,0.032,0.32
Naive-S11,1.00,0.446,0.11,1.00,0.445,0.026,0.11
Naive-S14,1.00,0.450,0.13,1.00,0.451,0.025,0.14
101-1,0.88,0.456,0.12,0.88,0.454,0.033,0.17
101-2,0.60,0.380,0.10,0.60,0.378,0.044,0.10
101-3,0.88,0.465,0.05,0.88,0.466,0.034,0.05
102-1,0.99,0.490,0.36,0.99,0.495,0.029,0.37
102-2,0.82,0.485,0.40,0.82,0.490,0.028,0.41
102-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-3,0.43,0.342,0.17,0.43,0.340,0.048,0.17
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,0.99,0.374,0.75,0.99,0.379,0.037,0.77
105-2,0.87,0.397,0.99,0.87,0.407,0.039,0.98
105-3,0.93,0.380,0.99,0.92,0.383,0.039,0.98
106-1,0.54,0.274,0.11,0.54,0.273,0.040,0.13
106-2,0.28,0.089,0.85,0.28,0.088,0.026,0.81
106-3,0.12,0.082,0.16,0.12,0.080,0.030,0.19
107-1,1.00,0.405,0.79,1.00,0.410,0.039,0.77
107-2,1.00,0.347,0.03,1.00,0.352,0.036,0.04
107-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,0.88,0.425,0.73,0.88,0.442,0.033,0.59
110-2,0.85,0.448,0.29,0.85,0.450,0.033,0.30
110-3,1.00,0.222,1.00,1.00,0.244,0.029,0.59
111-1,0.91,0.427,0.28,0.91,0.434,0.033,0.44
111-2,0.99,0.247,0.64,0.99,0.253,0.032,0.68
111-3,0.06,0.023,0.34,0.06,0.023,0.022,0.21
112-1,1.00,0.496,0.49,1.00,0.497,0.035,0.48
112-2,1.00,0.497,0.44,1.00,0.499,0.035,0.45
112-3,1.00,0.428,0.38,1.00,0.432,0.036,0.41
113-1,1.00,0.422,0.34,1.00,0.431,0.035,0.37
113-2,0.93,0.149,0.64,0.93,0.156,0.024,0.49
113-3,0.88,0.359,0.22,0.88,0.372,0.033,0.35
114-1,1.00,0.509,0.75,1.00,0.520,0.036,0.64
115-1,1.00,0.458,0.28,1.00,0.461,0.030,0.31
116-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
116-2,0.40,0.263,0.49,0.40,0.262,0.046,0.45
117-1,1.00,0.513,0.11,1.00,0.516,0.030,0.11
117-2,0.21,0.137,1.00,0.21,0.135,0.042,1.00
119-1,0.93,0.435,0.78,0.93,0.440,0.039,0.74
120-1,1.00,0.520,0.92,1.00,0.527,0.036,0.91
120-2,1.00,0.342,0.56,1.00,0.347,0.029,0.53
120-3,0.76,0.327,0.53,0.76,0.329,0.037,0.52
121-1,0.30,0.240,0.51,0.30,0.238,0.046,0.54
121-2,0.07,0.098,0.85,0.07,0.096,0.040,0.84
121-3,0.67,0.467,0.01,0.67,0.465,0.038,0.01
122-1,0.57,0.370,0.74,0.57,0.367,0.042,0.76
124-1,1.00,0.348,0.17,1.00,0.350,0.026,0.19
124-2,1.00,0.385,0.18,1.00,0.384,0.029,0.18
124-3,1.00,0.336,0.17,1.00,0.337,0.027,0.19
125-1,0.85,0.507,0.80,0.85,0.513,0.038,0.76
125-2,0.78,0.420,0.20,0.78,0.429,0.035,0.25
125-3,0.94,0.483,0.59,0.94,0.492,0.034,0.53
126-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
127-1,0.73,0.485,0.32,0.73,0.488,0.036,0.33
127-2,0.73,0.467,0.08,0.73,0.474,0.037,0.09
127-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
128-1,0.67,0.266,0.03,0.67,0.274,0.033,0.09
129-1,0.96,0.440,0.37,0.96,0.442,0.031,0.38
129-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
129-3,0.96,0.440,0.37,0.96,0.442,0.031,0.38
130-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
131-1,0.36,0.281,0.10,0.36,0.279,0.046,0.14
131-2,0.45,0.366,0.10,0.45,0.365,0.048,0.11
131-3,0.97,0.299,0.17,0.97,0.308,0.033,0.13
132-1,1.00,0.508,0.52,1.00,0.513,0.034,0.52
132-2,1.00,0.451,0.43,1.00,0.452,0.036,0.45
65-1,1.00,0.299,0.43,1.00,0.301,0.022,0.42
65-2,1.00,0.290,0.37,1.00,0.293,0.021,0.36
65-3,1.00,0.294,0.37,1.00,0.295,0.020,0.38
68-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
68-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
69-1,1.00,0.448,0.81,1.00,0.453,0.033,0.73
69-2,1.00,0.428,0.67,1.00,0.434,0.032,0.63
70-1,1.00,0.446,0.08,1.00,0.449,0.033,0.08
70-2,1.00,0.389,0.10,1.00,0.389,0.024,0.10
70-3,1.00,0.293,0.16,1.00,0.295,0.020,0.15
72-1,1.00,0.461,0.01,1.00,0.459,0.031,0.01
72-2,0.97,0.371,0.01,0.97,0.370,0.034,0.01
73-1,1.00,0.335,0.99,1.00,0.338,0.034,0.96
73-2,1.00,0.342,0.99,1.00,0.345,0.034,0.97
73-3,0.99,0.380,1.00,0.99,0.380,0.031,0.96
74-1,0.42,0.248,0.01,0.42,0.251,0.035,0.03
74-2,0.99,0.396,0.18,0.99,0.403,0.033,0.14
75-1,1.00,0.459,0.66,1.00,0.466,0.033,0.68
75-2,1.00,0.458,0.67,1.00,0.459,0.034,0.64
79-1,0.60,0.398,0.21,0.60,0.402,0.038,0.17
79-2,0.21,0.176,0.01,0.21,0.174,0.045,0.03
79-3,0.88,0.528,0.01,0.88,0.528,0.032,0.07
80-1,0.51,0.300,0.02,0.51,0.307,0.040,0.05
80-2,0.99,0.452,0.18,0.99,0.452,0.036,0.19
81-1,0.36,0.225,0.04,0.36,0.223,0.048,0.13
81-2,0.36,0.225,0.04,0.36,0.223,0.048,0.13
82-1,0.70,0.368,0.57,0.70,0.371,0.038,0.55
83-1,0.99,0.457,0.20,0.99,0.461,0.041,0.19
83-2,0.99,0.477,0.17,0.99,0.483,0.042,0.16
84-1,0.81,0.344,0.19,0.81,0.349,0.030,0.17
85-1,0.82,0.519,0.15,0.82,0.525,0.035,0.15
85-2,0.82,0.519,0.15,0.82,0.525,0.035,0.15
86-1,0.31,0.161,0.31,0.31,0.159,0.040,0.31
86-2,0.31,0.161,0.31,0.31,0.159,0.040,0.31
86-3,0.22,0.087,0.37,0.22,0.087,0.026,0.38
87-1,0.78,0.485,0.19,0.78,0.486,0.035,0.22
87-2,0.78,0.456,0.12,0.78,0.455,0.037,0.13
87-3,0.01,0.029,0.75,0.01,0.029,0.028,0.47
88-1,0.85,0.426,0.34,0.85,0.428,0.042,0.31
89-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
89-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
89-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
91-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
91-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
91-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
93-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
93-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
94-1,0.96,0.452,0.21,0.96,0.459,0.035,0.26
95-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
95-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
96-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
96-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
96-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
97-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
97-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
97-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
98-1,1.00,0.106,0.49,1.00,0.108,0.019,0.49
99-1,0.90,0.366,0.08,0.89,0.369,0.039,0.08
