ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.327,0.42,1.00,0.332,0.033,0.40
BLAST-S14,0.85,0.269,0.42,0.85,0.285,0.035,0.36
Naive-S11,1.00,0.411,0.11,1.00,0.411,0.033,0.11
Naive-S14,1.00,0.411,0.17,1.00,0.411,0.033,0.17
101-1,0.88,0.385,0.12,0.88,0.383,0.035,0.18
101-2,0.60,0.340,0.10,0.60,0.338,0.048,0.10
101-3,0.88,0.392,0.03,0.88,0.394,0.037,0.05
102-1,0.99,0.422,0.36,0.99,0.426,0.032,0.35
102-2,0.82,0.412,0.40,0.82,0.419,0.031,0.35
102-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-3,0.43,0.340,0.17,0.43,0.339,0.047,0.17
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,0.99,0.350,0.89,0.99,0.362,0.035,0.80
105-2,0.87,0.393,0.99,0.87,0.398,0.040,0.98
105-3,0.93,0.363,0.99,0.92,0.369,0.039,0.99
106-1,0.54,0.260,0.11,0.54,0.259,0.041,0.15
106-2,0.28,0.104,0.85,0.28,0.103,0.030,0.85
106-3,0.12,0.085,0.16,0.12,0.085,0.032,0.19
107-1,1.00,0.375,0.79,1.00,0.378,0.040,0.78
107-2,1.00,0.351,0.03,1.00,0.358,0.038,0.04
107-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,0.88,0.376,0.29,0.88,0.383,0.032,0.47
110-2,0.85,0.391,0.24,0.85,0.396,0.032,0.31
110-3,1.00,0.179,0.23,1.00,0.186,0.033,0.36
111-1,0.91,0.382,0.28,0.91,0.382,0.033,0.36
111-2,0.99,0.187,0.64,0.99,0.191,0.030,0.58
111-3,0.06,0.022,0.34,0.06,0.021,0.020,0.21
112-1,1.00,0.415,0.49,1.00,0.420,0.036,0.47
112-2,1.00,0.412,0.44,1.00,0.421,0.035,0.45
112-3,1.00,0.382,0.38,1.00,0.384,0.038,0.41
