ID-model,GO:0003674,GO:0003824,GO:0003723,GO:0097159,GO:1901363,GO:0005488,GO:0003729,GO:0003676,GO:0005515
BLAST-S11,NaN,0.72,0.63,0.58,0.60,0.63,0.61,0.58,0.77
BLAST-S14,NaN,0.74,0.62,0.58,0.58,0.58,0.56,0.54,0.53
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.62,0.66,0.67,0.67,0.48,0.53,0.63,0.65
101-2,NaN,0.64,0.56,0.62,0.62,0.47,0.53,0.59,0.49
101-3,NaN,0.66,0.66,0.68,0.68,0.59,0.53,0.64,0.70
102-1,NaN,0.63,0.72,0.73,0.73,0.71,0.67,0.69,0.69
102-2,NaN,0.71,0.74,0.74,0.74,0.64,0.68,0.70,0.53
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,0.68,0.74,0.87,0.87,0.79,0.50,0.75,0.50
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.64,0.88,0.81,0.81,0.66,0.85,0.81,0.57
105-2,NaN,0.73,0.85,0.77,0.77,0.55,0.67,0.80,0.52
105-3,NaN,0.68,0.72,0.70,0.70,0.63,0.47,0.72,0.53
106-1,NaN,0.55,0.52,0.78,0.78,0.78,0.50,0.63,0.60
106-2,NaN,0.45,0.50,0.87,0.87,0.78,0.50,0.50,0.47
106-3,NaN,0.57,0.40,0.40,0.40,0.25,0.50,0.30,0.50
107-1,NaN,0.70,0.81,0.79,0.79,0.63,0.61,0.78,0.57
107-2,NaN,0.74,0.77,0.69,0.69,0.49,0.62,0.63,0.44
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.76,0.64,0.61,0.61,0.75,0.59,0.60,0.91
110-2,NaN,0.71,0.68,0.71,0.71,0.75,0.63,0.66,0.79
110-3,NaN,0.58,0.75,0.62,0.61,0.74,0.78,0.65,0.91
111-1,NaN,0.76,0.63,0.58,0.58,0.71,0.59,0.57,0.91
111-2,NaN,0.59,0.74,0.60,0.59,0.72,0.78,0.64,0.92
111-3,NaN,NaN,NaN,NaN,NaN,NaN,0.50,NaN,0.50
112-1,NaN,0.72,0.82,0.76,0.75,0.88,0.77,0.73,0.97
112-2,NaN,0.72,0.81,0.75,0.74,0.88,0.73,0.72,0.97
112-3,NaN,0.77,0.81,0.74,0.73,0.75,0.77,0.72,0.62
113-1,NaN,0.77,0.81,0.73,0.72,0.75,0.73,0.71,0.62
113-2,NaN,0.50,0.81,0.65,0.63,0.65,0.82,0.69,0.66
113-3,NaN,0.78,0.61,0.54,0.54,0.56,0.58,0.53,0.67
114-1,NaN,0.77,0.79,0.76,0.76,0.70,0.55,0.77,0.88
115-1,NaN,0.75,0.69,0.68,0.68,0.72,0.63,0.66,0.61
116-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116-2,NaN,0.83,0.52,0.75,0.75,0.74,0.50,0.55,0.50
117-1,NaN,0.70,0.88,0.82,0.82,0.71,0.78,0.83,0.56
117-2,NaN,0.83,0.50,0.64,0.64,0.50,0.50,0.50,0.42
119-1,NaN,0.63,0.80,0.77,0.77,0.60,0.81,0.76,0.73
120-1,NaN,0.75,0.84,0.76,0.76,0.69,0.66,0.79,0.90
120-2,NaN,0.64,0.58,0.56,0.56,0.41,0.50,0.60,0.51
120-3,NaN,0.64,0.50,0.62,0.69,0.54,0.50,0.72,0.50
121-1,NaN,0.50,0.77,0.94,0.94,0.74,0.50,0.81,0.43
121-2,NaN,0.62,0.83,1.00,1.00,1.00,0.50,0.83,NaN
121-3,NaN,0.64,0.65,0.78,0.78,0.72,0.50,0.72,0.97
122-1,NaN,0.61,0.61,0.72,0.72,0.76,0.50,0.64,0.60
124-1,NaN,0.33,0.74,0.45,0.45,0.44,0.66,0.60,0.06
124-2,NaN,0.31,0.62,0.34,0.34,0.42,0.50,0.42,0.06
124-3,NaN,0.33,0.70,0.45,0.45,0.44,0.66,0.60,0.06
125-1,NaN,0.69,0.74,0.81,0.81,0.76,0.50,0.80,0.96
125-2,NaN,0.67,0.77,0.85,0.85,0.73,0.56,0.80,0.47
125-3,NaN,0.73,0.81,0.76,0.75,0.79,0.68,0.73,0.89
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
