ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.640,0.36,1.00,0.637,0.013,0.36
BLAST-S14,0.85,0.624,0.38,0.85,0.619,0.020,0.38
Naive-S11,1.00,0.518,0.11,1.00,0.517,0.016,0.11
Naive-S14,1.00,0.518,0.17,1.00,0.518,0.016,0.17
101-1,0.88,0.572,0.12,0.88,0.574,0.021,0.19
101-2,0.60,0.541,0.10,0.60,0.543,0.046,0.07
101-3,0.88,0.544,0.05,0.88,0.543,0.026,0.06
102-1,0.99,0.585,0.36,0.99,0.582,0.020,0.36
102-2,0.82,0.574,0.50,0.82,0.566,0.023,0.58
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.43,0.430,0.17,0.43,0.433,0.045,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.99,0.596,0.75,0.99,0.592,0.018,0.79
105-2,0.87,0.535,0.99,0.87,0.535,0.025,0.99
105-3,0.93,0.568,0.99,0.92,0.568,0.022,0.99
106-1,0.54,0.555,0.11,0.54,0.555,0.032,0.16
106-2,0.28,0.634,0.80,0.28,0.635,0.026,0.80
106-3,0.12,0.584,0.21,0.12,0.590,0.051,0.24
107-1,1.00,0.588,0.79,1.00,0.581,0.022,0.76
107-2,1.00,0.573,0.03,1.00,0.574,0.020,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.88,0.592,0.75,0.88,0.591,0.022,0.73
110-2,0.85,0.556,0.46,0.85,0.552,0.027,0.48
110-3,1.00,0.669,1.00,1.00,0.670,0.012,1.00
111-1,0.91,0.615,0.70,0.91,0.609,0.020,0.66
111-2,0.99,0.664,1.00,0.99,0.665,0.011,0.99
111-3,0.06,0.602,0.84,0.06,0.609,0.091,0.90
112-1,1.00,0.549,0.49,1.00,0.545,0.021,0.51
112-2,1.00,0.551,0.44,1.00,0.546,0.021,0.49
112-3,1.00,0.563,0.49,1.00,0.558,0.021,0.46
113-1,1.00,0.562,0.44,1.00,0.559,0.021,0.45
113-2,0.93,0.700,1.00,0.93,0.700,0.011,1.00
113-3,0.88,0.625,0.64,0.88,0.620,0.020,0.64
114-1,1.00,0.528,0.44,1.00,0.525,0.022,0.35
115-1,1.00,0.543,0.28,1.00,0.541,0.021,0.29
116-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
116-2,0.40,0.454,0.49,0.40,0.455,0.047,0.46
117-1,1.00,0.498,0.10,1.00,0.498,0.022,0.10
117-2,0.21,0.538,1.00,0.21,0.543,0.054,1.00
119-1,0.93,0.566,0.69,0.93,0.559,0.026,0.67
120-1,1.00,0.551,0.85,1.00,0.542,0.022,0.84
120-2,1.00,0.602,0.56,1.00,0.600,0.014,0.54
120-3,0.76,0.555,0.46,0.76,0.555,0.022,0.46
121-1,0.30,0.473,0.60,0.30,0.478,0.057,0.59
121-2,0.07,0.430,0.85,0.07,0.437,0.156,0.85
121-3,0.67,0.534,0.01,0.67,0.537,0.031,0.01
122-1,0.57,0.515,0.74,0.57,0.519,0.038,0.76
124-1,1.00,0.572,0.27,1.00,0.572,0.018,0.27
124-2,1.00,0.557,0.18,1.00,0.557,0.016,0.18
124-3,1.00,0.579,0.27,1.00,0.578,0.018,0.26
125-1,0.85,0.508,0.80,0.85,0.504,0.025,0.62
125-2,0.78,0.535,0.36,0.78,0.524,0.026,0.31
125-3,0.94,0.595,0.45,0.94,0.585,0.021,0.47
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.73,0.487,0.45,0.73,0.478,0.033,0.42
127-2,0.73,0.465,0.12,0.73,0.466,0.035,0.12
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.67,0.646,0.11,0.67,0.641,0.020,0.19
129-1,0.96,0.556,0.39,0.96,0.550,0.025,0.40
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.96,0.556,0.39,0.96,0.550,0.025,0.40
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.36,0.472,0.90,0.36,0.471,0.046,0.57
131-2,0.45,0.415,0.10,0.45,0.417,0.043,0.12
131-3,0.97,0.600,0.13,0.97,0.598,0.018,0.14
132-1,1.00,0.560,0.52,1.00,0.556,0.024,0.50
132-2,1.00,0.576,0.51,1.00,0.571,0.023,0.48
65-1,1.00,0.624,0.48,1.00,0.623,0.012,0.48
65-2,1.00,0.627,0.45,1.00,0.625,0.012,0.45
65-3,1.00,0.631,0.49,1.00,0.629,0.012,0.47
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
