ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.594,0.41,0.99,0.594,0.006,0.41
BLAST-S14,0.96,0.583,0.42,0.96,0.583,0.007,0.42
Naive-S11,1.00,0.616,0.09,1.00,0.616,0.004,0.09
Naive-S14,1.00,0.611,0.13,1.00,0.611,0.004,0.13
101-1,0.94,0.572,0.37,0.94,0.572,0.006,0.37
101-2,0.89,0.538,0.10,0.89,0.538,0.009,0.09
101-3,0.94,0.521,0.13,0.94,0.521,0.008,0.13
102-1,0.99,0.527,0.49,0.99,0.527,0.008,0.50
102-2,0.94,0.539,0.51,0.94,0.538,0.007,0.51
102-3,0.03,0.971,0.01,0.03,0.971,0.006,0.02
103-1,0.10,0.913,0.01,0.10,0.913,0.010,0.01
103-2,0.11,0.902,0.01,0.11,0.902,0.010,0.01
103-3,0.59,0.614,0.17,0.59,0.614,0.012,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,0.98,0.559,0.92,0.98,0.559,0.007,0.92
105-2,0.95,0.548,0.98,0.95,0.548,0.007,0.98
105-3,0.97,0.556,1.00,0.97,0.556,0.007,1.00
106-1,0.77,0.607,0.03,0.77,0.607,0.009,0.03
106-2,0.43,0.773,0.60,0.43,0.773,0.010,0.60
106-3,0.31,0.795,0.03,0.31,0.795,0.012,0.04
107-1,1.00,0.577,0.78,1.00,0.575,0.006,0.78
107-2,1.00,0.541,0.03,1.00,0.541,0.007,0.03
107-3,0.12,0.887,0.01,0.12,0.887,0.011,0.01
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.97,0.618,0.20,0.97,0.617,0.005,0.20
110-2,0.94,0.565,0.50,0.94,0.564,0.007,0.44
110-3,1.00,0.641,1.00,1.00,0.641,0.005,0.96
111-1,0.95,0.609,0.22,0.95,0.608,0.005,0.22
111-2,0.99,0.641,0.67,0.99,0.640,0.005,0.74
111-3,0.13,0.931,0.01,0.13,0.931,0.008,0.01
112-1,1.00,0.536,0.40,1.00,0.536,0.007,0.41
112-2,1.00,0.538,0.42,1.00,0.538,0.007,0.42
112-3,1.00,0.546,0.40,1.00,0.546,0.007,0.40
113-1,1.00,0.549,0.40,1.00,0.549,0.007,0.39
113-2,0.83,0.657,0.84,0.83,0.657,0.004,0.83
113-3,0.66,0.626,0.28,0.66,0.625,0.006,0.23
114-1,1.00,0.501,0.88,1.00,0.501,0.008,0.91
115-1,1.00,0.515,0.34,1.00,0.514,0.007,0.34
116-1,0.64,0.621,0.01,0.64,0.622,0.011,0.03
116-2,0.62,0.654,0.01,0.62,0.654,0.012,0.03
117-1,1.00,0.544,0.11,1.00,0.544,0.008,0.11
117-2,0.24,0.825,1.00,0.24,0.825,0.012,1.00
119-1,0.96,0.529,0.76,0.96,0.528,0.007,0.74
120-1,1.00,0.506,0.97,1.00,0.506,0.008,0.97
120-2,1.00,0.586,0.53,1.00,0.585,0.005,0.52
120-3,0.77,0.656,0.44,0.77,0.656,0.008,0.44
121-1,0.53,0.652,0.23,0.53,0.652,0.012,0.34
121-2,0.08,0.942,0.23,0.08,0.942,0.008,0.26
121-3,0.73,0.572,0.01,0.73,0.572,0.010,0.01
122-1,0.84,0.531,0.71,0.84,0.531,0.009,0.70
124-1,1.00,0.603,0.27,1.00,0.603,0.005,0.27
124-2,1.00,0.612,0.18,1.00,0.612,0.005,0.18
124-3,1.00,0.626,0.23,1.00,0.626,0.004,0.23
125-1,0.96,0.501,0.88,0.96,0.501,0.008,0.90
125-2,0.92,0.543,0.31,0.92,0.542,0.007,0.32
125-3,0.99,0.552,0.62,0.99,0.551,0.008,0.61
126-1,0.24,0.885,0.25,0.24,0.885,0.009,0.25
127-1,0.93,0.514,0.46,0.93,0.513,0.008,0.47
127-2,0.91,0.494,0.14,0.91,0.493,0.009,0.13
127-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
128-1,0.61,0.637,0.01,0.61,0.636,0.006,0.02
129-1,0.98,0.522,0.44,0.98,0.522,0.007,0.44
129-2,0.28,0.771,0.13,0.28,0.771,0.010,0.13
129-3,0.98,0.522,0.44,0.98,0.521,0.007,0.44
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.76,0.537,0.03,0.76,0.537,0.009,0.04
131-2,0.78,0.527,0.03,0.78,0.527,0.009,0.04
131-3,0.96,0.536,0.11,0.96,0.535,0.008,0.11
132-1,1.00,0.535,0.48,1.00,0.534,0.007,0.48
132-2,1.00,0.547,0.46,1.00,0.547,0.007,0.46
65-1,0.98,0.626,0.23,0.98,0.626,0.005,0.23
65-2,0.97,0.625,0.22,0.97,0.625,0.005,0.22
65-3,0.98,0.625,0.24,0.98,0.625,0.005,0.24
68-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
68-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
69-1,0.47,0.657,0.05,0.47,0.656,0.010,0.05
69-2,1.00,0.525,0.43,1.00,0.524,0.007,0.39
70-1,1.00,0.540,0.07,1.00,0.540,0.006,0.07
70-2,1.00,0.590,0.11,1.00,0.590,0.004,0.11
70-3,1.00,0.610,0.10,1.00,0.610,0.004,0.10
72-1,0.99,0.535,0.01,0.99,0.535,0.009,0.01
72-2,0.88,0.748,0.01,0.88,0.748,0.011,0.01
73-1,1.00,0.596,0.99,1.00,0.597,0.006,0.99
73-2,1.00,0.596,0.99,1.00,0.597,0.006,0.99
73-3,0.98,0.679,0.99,0.98,0.679,0.009,0.99
74-1,0.53,0.650,0.01,0.53,0.651,0.010,0.01
74-2,0.97,0.535,0.15,0.97,0.535,0.007,0.17
75-1,0.47,0.654,0.08,0.47,0.653,0.010,0.07
75-2,1.00,0.514,0.69,1.00,0.514,0.007,0.68
79-1,0.82,0.548,0.09,0.82,0.547,0.008,0.11
79-2,0.57,0.633,0.01,0.57,0.633,0.010,0.02
79-3,0.97,0.510,0.12,0.97,0.510,0.007,0.12
80-1,0.60,0.613,0.01,0.60,0.614,0.009,0.01
80-2,0.98,0.526,0.33,0.98,0.526,0.007,0.35
81-1,0.74,0.592,0.03,0.74,0.592,0.011,0.03
81-2,0.74,0.592,0.03,0.74,0.592,0.011,0.03
82-1,0.90,0.547,0.66,0.90,0.547,0.007,0.66
83-1,0.98,0.547,0.23,0.98,0.546,0.006,0.22
83-2,0.97,0.531,0.21,0.97,0.531,0.007,0.21
84-1,0.78,0.661,0.07,0.78,0.661,0.004,0.07
85-1,0.94,0.501,0.14,0.94,0.501,0.008,0.15
85-2,0.95,0.514,0.28,0.95,0.514,0.008,0.28
86-1,0.65,0.738,0.30,0.65,0.738,0.012,0.30
86-2,0.65,0.738,0.30,0.65,0.738,0.012,0.30
86-3,0.58,0.810,0.30,0.58,0.810,0.011,0.30
87-1,0.87,0.538,0.36,0.87,0.538,0.008,0.36
87-2,0.87,0.550,0.18,0.87,0.549,0.007,0.17
87-3,0.72,0.561,0.21,0.72,0.561,0.009,0.21
88-1,0.95,0.505,0.06,0.95,0.505,0.009,0.11
89-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-1,0.14,0.870,0.02,0.14,0.870,0.011,0.02
91-2,0.14,0.910,1.00,0.14,0.910,0.008,1.00
91-3,0.14,0.869,0.46,0.14,0.869,0.011,0.46
93-1,0.12,0.890,1.00,0.12,0.890,0.011,1.00
93-2,0.12,0.889,1.00,0.12,0.889,0.011,1.00
94-1,0.99,0.496,0.89,0.99,0.496,0.008,0.80
95-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
95-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
96-1,0.35,0.800,1.00,0.35,0.801,0.009,1.00
96-2,0.31,0.834,1.00,0.31,0.835,0.009,1.00
96-3,0.34,0.819,1.00,0.34,0.819,0.009,1.00
97-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
98-1,0.62,0.671,0.48,0.62,0.670,0.004,0.48
99-1,0.96,0.514,0.09,0.96,0.513,0.008,0.09
