ID-model,GO:0003674,GO:0008527,GO:0016879,GO:0016881,GO:0019787,GO:0004842,GO:0004674,GO:0016746,GO:0016747,GO:0004930,GO:0004672,GO:0016887,GO:0016874,GO:0000982,GO:0001077,GO:0016462,GO:0015267,GO:0022803,GO:0017111,GO:0016818,GO:0005216,GO:0022838,GO:0016817,GO:0016829,GO:0015075,GO:0016773,GO:0003700,GO:0001071,GO:0022857,GO:0038023,GO:0022891,GO:0042578,GO:0004888,GO:0016772,GO:0016301,GO:0001228,GO:0000981,GO:0003677,GO:0004872,GO:0016788,GO:0022892,GO:0016491,GO:0008509,GO:0004871,GO:0060089,GO:0016740,GO:0005198,GO:0016853,GO:0008233,GO:0043565,GO:0003823,GO:0005215,GO:0000977,GO:0001012,GO:0008324,GO:0022836,GO:0022839,GO:0070011,GO:0016787,GO:0000976,GO:0005261,GO:0003676,GO:0046873,GO:0022890,GO:0000987,GO:0001159,GO:0000978,GO:0000166,GO:1901265,GO:0001067,GO:0000975,GO:0003824,GO:0044212,GO:1901363,GO:0097159,GO:0008047,GO:0042803,GO:0046872,GO:0008092,GO:0030234,GO:0043168,GO:0036094,GO:0043169,GO:0043167,GO:0031267,GO:0017016,GO:0003723,GO:0051020,GO:0005543,GO:0005488,GO:0008289,GO:0015631,GO:0003729,GO:0005515,GO:0046983,GO:0003682,GO:0005102,GO:0042802,GO:0032403,GO:0019899,GO:0030674,GO:0046982,GO:0060090,GO:0031625,GO:0044389,GO:0043566,GO:0031490,GO:0019901,GO:0019900,GO:0019904
BLAST-S11,NaN,1.00,0.99,0.99,0.99,0.99,0.94,0.94,0.93,0.98,0.94,0.96,0.96,0.50,0.50,0.95,0.90,0.90,0.95,0.95,0.90,0.90,0.95,0.95,0.91,0.93,0.92,0.92,0.87,0.91,0.87,0.92,0.92,0.90,0.91,0.50,0.79,0.89,0.90,0.92,0.85,0.88,0.91,0.89,0.89,0.84,0.85,0.89,0.74,0.86,0.83,0.82,0.61,0.61,0.82,0.87,0.87,0.70,0.82,0.62,0.78,0.81,0.77,0.76,0.64,0.64,0.65,0.86,0.86,0.65,0.65,0.77,0.66,0.75,0.75,0.65,0.64,0.67,0.76,0.62,0.75,0.79,0.64,0.69,0.70,0.67,0.68,0.68,0.70,0.73,0.67,0.67,0.65,0.73,0.56,0.61,0.66,0.60,0.57,0.59,0.48,0.51,0.47,0.61,0.61,0.47,0.47,0.60,0.62,0.44
BLAST-S14,NaN,1.00,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.97,0.96,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.91,0.91,0.91,0.90,0.90,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.87,0.86,0.85,0.85,0.85,0.84,0.84,0.84,0.83,0.83,0.83,0.82,0.82,0.81,0.81,0.80,0.80,0.79,0.79,0.79,0.78,0.77,0.74,0.74,0.73,0.73,0.73,0.72,0.72,0.72,0.71,0.70,0.69,0.68,0.68,0.67,0.67,0.64,0.63,0.63,0.62,0.61,0.58,0.54,0.50,0.50,0.49,0.48,0.48,0.47,0.46,0.45,0.45,0.39
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,1.00,0.83,0.81,0.81,0.74,0.95,0.88,0.85,1.00,0.96,0.91,0.87,0.50,0.50,0.95,0.92,0.92,0.94,0.95,0.92,0.92,0.95,1.00,0.94,0.95,0.91,0.91,0.87,0.94,0.91,0.87,0.95,0.95,0.95,0.50,0.56,0.88,0.95,0.92,0.91,0.98,0.91,0.93,0.93,0.88,0.85,0.94,0.85,0.79,0.69,0.88,0.50,0.50,0.77,0.83,0.83,0.84,0.90,0.50,0.69,0.82,0.74,0.74,0.50,0.50,0.50,0.76,0.76,0.53,0.53,0.84,0.53,0.75,0.75,0.67,0.54,0.66,0.68,0.62,0.66,0.70,0.62,0.59,0.56,0.56,0.75,0.55,0.53,0.50,0.58,0.54,0.56,0.62,0.56,0.55,0.56,0.53,0.49,0.54,0.49,0.52,0.49,0.50,0.50,0.53,0.50,0.49,0.49,0.58
101-2,NaN,1.00,0.70,0.68,0.68,0.60,0.96,0.84,0.81,1.00,0.94,0.72,0.73,0.50,0.50,0.83,0.90,0.90,0.79,0.83,0.90,0.90,0.83,1.00,0.92,0.92,0.72,0.72,0.86,0.92,0.90,0.83,0.91,0.93,0.94,0.50,0.51,0.85,0.92,0.80,0.90,1.00,0.87,0.96,0.96,0.91,0.66,0.95,0.80,0.74,0.50,0.88,0.50,0.50,0.74,0.83,0.83,0.77,0.83,0.50,0.65,0.82,0.64,0.64,0.50,0.50,0.50,0.72,0.72,0.50,0.50,0.86,0.50,0.79,0.79,0.54,0.50,0.73,0.58,0.59,0.62,0.68,0.70,0.67,0.56,0.56,0.64,0.55,0.54,0.63,0.54,0.50,0.54,0.64,0.48,0.54,0.57,0.50,0.50,0.53,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.50,0.50,0.54
101-3,NaN,1.00,0.82,0.81,0.81,0.74,0.96,0.88,0.85,1.00,0.96,0.91,0.87,0.50,0.50,0.95,0.92,0.92,0.95,0.95,0.92,0.92,0.95,1.00,0.94,0.96,0.91,0.91,0.87,0.95,0.91,0.87,0.96,0.97,0.97,0.50,0.56,0.93,0.98,0.92,0.91,1.00,0.91,0.97,0.97,0.93,0.85,0.95,0.87,0.79,0.69,0.89,0.50,0.50,0.77,0.83,0.83,0.85,0.93,0.50,0.69,0.86,0.74,0.74,0.50,0.50,0.50,0.79,0.79,0.53,0.53,0.90,0.53,0.80,0.79,0.67,0.54,0.75,0.68,0.62,0.68,0.73,0.70,0.64,0.56,0.56,0.75,0.55,0.53,0.69,0.57,0.54,0.56,0.74,0.55,0.55,0.57,0.54,0.49,0.54,0.49,0.52,0.49,0.50,0.50,0.53,0.50,0.49,0.49,0.58
102-1,NaN,1.00,0.96,0.97,0.97,0.96,0.88,0.99,0.99,1.00,0.89,0.91,0.97,0.88,0.87,0.92,0.94,0.94,0.92,0.92,0.94,0.94,0.92,0.99,0.93,0.90,0.90,0.90,0.90,0.96,0.93,0.89,0.99,0.93,0.92,0.82,0.87,0.88,0.96,0.93,0.92,0.96,0.95,0.97,0.97,0.92,0.86,0.94,0.85,0.86,0.89,0.89,0.82,0.82,0.91,0.93,0.91,0.83,0.88,0.84,0.90,0.85,0.90,0.90,0.77,0.77,0.76,0.86,0.85,0.79,0.79,0.86,0.78,0.77,0.77,0.69,0.60,0.78,0.79,0.70,0.76,0.80,0.73,0.72,0.76,0.76,0.79,0.74,0.73,0.71,0.70,0.71,0.67,0.70,0.52,0.79,0.71,0.55,0.60,0.59,0.53,0.59,0.53,0.65,0.64,0.77,0.67,0.58,0.63,0.51
102-2,NaN,1.00,0.92,0.92,0.92,0.92,0.93,0.99,0.99,0.99,0.93,0.88,0.94,0.88,0.87,0.91,0.96,0.96,0.91,0.91,0.96,0.96,0.91,0.95,0.95,0.93,0.89,0.89,0.94,0.95,0.93,0.90,0.96,0.95,0.95,0.82,0.87,0.90,0.95,0.90,0.93,0.94,0.91,0.96,0.96,0.92,0.85,0.89,0.90,0.85,0.88,0.94,0.82,0.82,0.95,0.96,0.96,0.88,0.89,0.84,0.94,0.86,0.94,0.94,0.77,0.77,0.76,0.82,0.82,0.81,0.80,0.87,0.80,0.80,0.79,0.76,0.59,0.84,0.77,0.76,0.75,0.74,0.79,0.75,0.74,0.75,0.77,0.72,0.72,0.62,0.71,0.67,0.69,0.64,0.51,0.70,0.69,0.54,0.59,0.59,0.54,0.60,0.54,0.67,0.67,0.77,0.51,0.59,0.64,0.52
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.98,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00,NaN,1.00,NaN,NaN,1.00,NaN,0.95,NaN,NaN,1.00,1.00,NaN,NaN,0.65,NaN,0.97,0.95,1.00,NaN,NaN,NaN,0.88,NaN,1.00,NaN,NaN,NaN,1.00,NaN,NaN,NaN,NaN,NaN,NaN,0.93,NaN,NaN,0.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.71,0.71,0.93,0.71,0.62,0.62,0.50,NaN,0.95,NaN,0.48,NaN,NaN,0.95,0.76,NaN,NaN,0.95,NaN,NaN,0.49,NaN,NaN,NaN,0.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
