ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.449,0.42,0.99,0.450,0.010,0.43
BLAST-S14,0.96,0.421,0.42,0.96,0.421,0.011,0.42
Naive-S11,1.00,0.362,0.11,1.00,0.362,0.007,0.12
Naive-S14,1.00,0.362,0.17,1.00,0.362,0.007,0.17
101-1,0.94,0.487,0.37,0.94,0.487,0.009,0.37
101-2,0.89,0.562,0.05,0.89,0.562,0.010,0.07
101-3,0.94,0.516,0.09,0.94,0.519,0.010,0.15
102-1,0.99,0.529,0.55,0.99,0.531,0.010,0.53
102-2,0.94,0.535,0.50,0.94,0.536,0.010,0.50
102-3,0.03,0.579,0.87,0.03,0.592,0.052,0.83
103-1,0.10,0.540,0.34,0.10,0.544,0.027,0.29
103-2,0.11,0.637,0.34,0.11,0.637,0.030,0.35
103-3,0.59,0.539,0.17,0.59,0.539,0.014,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.418,0.92,0.98,0.419,0.011,0.91
105-2,0.95,0.438,0.96,0.95,0.440,0.011,0.97
105-3,0.97,0.428,1.00,0.97,0.429,0.011,1.00
106-1,0.77,0.424,0.03,0.77,0.423,0.013,0.04
106-2,0.43,0.244,0.77,0.43,0.245,0.017,0.77
106-3,0.31,0.516,0.03,0.31,0.515,0.019,0.04
107-1,1.00,0.415,0.73,1.00,0.418,0.010,0.74
107-2,1.00,0.415,0.03,1.00,0.415,0.011,0.03
107-3,0.12,0.453,0.05,0.12,0.461,0.031,0.05
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.97,0.535,0.20,0.97,0.535,0.009,0.20
110-2,0.94,0.469,0.29,0.94,0.470,0.010,0.29
110-3,1.00,0.331,0.26,1.00,0.331,0.010,0.25
111-1,0.95,0.521,0.22,0.95,0.521,0.010,0.21
111-2,0.99,0.324,0.27,0.99,0.325,0.010,0.28
111-3,0.13,0.439,0.01,0.13,0.438,0.027,0.01
112-1,1.00,0.480,0.39,1.00,0.482,0.010,0.42
112-2,1.00,0.484,0.34,1.00,0.484,0.010,0.37
112-3,1.00,0.446,0.32,1.00,0.447,0.010,0.34
113-1,1.00,0.455,0.34,1.00,0.455,0.010,0.34
113-2,0.83,0.215,0.42,0.83,0.217,0.010,0.48
113-3,0.66,0.448,0.28,0.66,0.451,0.012,0.32
114-1,1.00,0.531,0.81,1.00,0.532,0.010,0.80
115-1,1.00,0.499,0.34,1.00,0.501,0.010,0.33
116-1,0.64,0.499,0.04,0.64,0.499,0.014,0.21
116-2,0.62,0.501,0.04,0.62,0.502,0.015,0.18
117-1,1.00,0.511,0.11,1.00,0.512,0.009,0.11
117-2,0.24,0.564,1.00,0.24,0.563,0.025,1.00
119-1,0.96,0.512,0.78,0.96,0.512,0.011,0.79
120-1,1.00,0.528,0.94,1.00,0.530,0.010,0.94
120-2,1.00,0.376,0.49,1.00,0.378,0.009,0.50
120-3,0.77,0.344,0.44,0.77,0.345,0.012,0.46
121-1,0.53,0.528,0.44,0.53,0.528,0.015,0.50
121-2,0.08,0.610,0.44,0.08,0.615,0.042,0.48
121-3,0.73,0.571,0.01,0.73,0.571,0.011,0.01
122-1,0.84,0.572,0.71,0.84,0.572,0.011,0.71
124-1,1.00,0.354,0.31,1.00,0.355,0.010,0.32
124-2,1.00,0.295,0.17,1.00,0.296,0.008,0.19
124-3,1.00,0.307,0.23,1.00,0.308,0.008,0.25
125-1,0.96,0.541,0.81,0.96,0.542,0.010,0.80
125-2,0.92,0.458,0.30,0.92,0.461,0.011,0.28
125-3,0.99,0.500,0.62,0.99,0.502,0.011,0.60
126-1,0.24,0.473,0.25,0.24,0.473,0.024,0.27
127-1,0.93,0.523,0.45,0.93,0.524,0.011,0.46
127-2,0.91,0.552,0.14,0.91,0.552,0.012,0.14
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.61,0.398,0.10,0.61,0.401,0.015,0.11
129-1,0.98,0.506,0.49,0.98,0.508,0.010,0.48
129-2,0.28,0.521,0.51,0.28,0.524,0.018,0.50
129-3,0.98,0.507,0.49,0.98,0.508,0.010,0.48
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.76,0.513,0.10,0.76,0.514,0.013,0.08
131-2,0.78,0.519,0.08,0.78,0.521,0.013,0.06
131-3,0.96,0.424,0.15,0.96,0.427,0.012,0.11
132-1,1.00,0.500,0.50,1.00,0.501,0.010,0.49
132-2,1.00,0.464,0.46,1.00,0.465,0.010,0.45
65-1,0.98,0.338,0.22,0.98,0.340,0.008,0.22
65-2,0.97,0.345,0.22,0.97,0.347,0.008,0.23
65-3,0.98,0.346,0.24,0.98,0.347,0.008,0.24
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,0.47,0.494,0.34,0.47,0.498,0.014,0.38
69-2,1.00,0.488,0.44,1.00,0.490,0.010,0.41
70-1,1.00,0.547,0.20,1.00,0.548,0.009,0.18
70-2,1.00,0.327,0.10,1.00,0.327,0.008,0.10
70-3,1.00,0.324,0.09,1.00,0.325,0.007,0.09
72-1,0.99,0.558,0.01,0.99,0.558,0.009,0.01
72-2,0.88,0.473,0.01,0.88,0.472,0.011,0.01
73-1,1.00,0.374,0.99,1.00,0.375,0.011,0.99
73-2,1.00,0.372,0.99,1.00,0.373,0.011,0.99
73-3,0.98,0.379,0.99,0.98,0.379,0.010,0.98
74-1,0.53,0.475,0.09,0.53,0.477,0.014,0.09
74-2,0.97,0.486,0.15,0.97,0.487,0.010,0.17
75-1,0.47,0.518,0.70,0.47,0.519,0.015,0.63
75-2,1.00,0.517,0.70,1.00,0.517,0.010,0.70
79-1,0.82,0.536,0.22,0.82,0.538,0.011,0.21
79-2,0.57,0.543,0.25,0.57,0.545,0.013,0.21
79-3,0.97,0.541,0.16,0.97,0.542,0.009,0.15
80-1,0.60,0.504,0.09,0.60,0.505,0.013,0.09
80-2,0.98,0.485,0.18,0.98,0.488,0.010,0.24
81-1,0.74,0.513,0.04,0.74,0.513,0.014,0.05
81-2,0.74,0.513,0.04,0.74,0.513,0.014,0.05
82-1,0.90,0.439,0.65,0.90,0.441,0.012,0.61
83-1,0.98,0.475,0.21,0.98,0.476,0.010,0.22
83-2,0.97,0.498,0.21,0.97,0.498,0.010,0.21
84-1,0.78,0.250,0.12,0.78,0.252,0.011,0.13
85-1,0.94,0.588,0.20,0.94,0.588,0.009,0.20
85-2,0.95,0.554,0.33,0.95,0.557,0.010,0.34
86-1,0.65,0.540,0.30,0.65,0.540,0.013,0.30
86-2,0.65,0.540,0.30,0.65,0.540,0.013,0.30
86-3,0.58,0.524,0.30,0.58,0.524,0.014,0.30
87-1,0.87,0.514,0.17,0.87,0.514,0.011,0.20
87-2,0.87,0.504,0.13,0.87,0.504,0.010,0.13
87-3,0.72,0.549,0.21,0.72,0.550,0.012,0.22
88-1,0.95,0.483,0.06,0.95,0.485,0.013,0.11
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.14,0.180,0.03,0.14,0.181,0.018,0.04
91-2,0.14,0.180,1.00,0.14,0.179,0.018,1.00
91-3,0.14,0.041,0.48,0.14,0.046,0.013,0.48
93-1,0.12,0.304,1.00,0.12,0.304,0.034,1.00
93-2,0.12,0.198,1.00,0.12,0.198,0.029,1.00
94-1,0.99,0.518,0.63,0.99,0.519,0.011,0.70
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.35,0.096,1.00,0.35,0.096,0.010,1.00
96-2,0.31,0.130,1.00,0.31,0.130,0.013,1.00
96-3,0.34,0.110,1.00,0.34,0.110,0.011,1.00
97-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,0.62,0.235,0.50,0.62,0.235,0.013,0.50
99-1,0.96,0.485,0.09,0.96,0.485,0.012,0.09
