ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.593,0.41,0.99,0.593,0.006,0.41
BLAST-S14,0.96,0.578,0.42,0.96,0.578,0.007,0.42
Naive-S11,1.00,0.616,0.09,1.00,0.616,0.004,0.09
Naive-S14,1.00,0.611,0.13,1.00,0.611,0.004,0.13
101-1,0.94,0.574,0.38,0.94,0.572,0.006,0.38
101-2,0.89,0.506,0.10,0.89,0.506,0.008,0.10
101-3,0.94,0.508,0.24,0.94,0.507,0.008,0.19
102-1,0.99,0.525,0.49,0.99,0.525,0.008,0.50
102-2,0.94,0.529,0.59,0.94,0.528,0.008,0.57
102-3,0.03,0.486,0.87,0.03,0.463,0.043,0.83
103-1,0.10,0.472,0.21,0.10,0.471,0.018,0.21
103-2,0.11,0.359,0.36,0.11,0.359,0.026,0.35
103-3,0.59,0.454,0.17,0.59,0.455,0.011,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.558,0.92,0.98,0.558,0.007,0.92
105-2,0.95,0.545,0.99,0.95,0.544,0.007,0.99
105-3,0.97,0.554,1.00,0.97,0.555,0.007,1.00
106-1,0.77,0.546,0.03,0.77,0.547,0.008,0.04
106-2,0.43,0.617,0.67,0.43,0.617,0.010,0.67
106-3,0.31,0.482,0.03,0.31,0.483,0.014,0.04
107-1,1.00,0.576,0.78,1.00,0.575,0.006,0.78
107-2,1.00,0.540,0.03,1.00,0.541,0.007,0.03
107-3,0.12,0.512,0.06,0.12,0.511,0.020,0.06
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.97,0.614,0.20,0.97,0.614,0.005,0.20
110-2,0.94,0.549,0.50,0.94,0.548,0.008,0.50
110-3,1.00,0.641,1.00,1.00,0.641,0.005,0.96
111-1,0.95,0.603,0.28,0.95,0.603,0.005,0.25
111-2,0.99,0.640,0.84,0.99,0.639,0.005,0.77
111-3,0.13,0.579,0.09,0.13,0.579,0.018,0.06
112-1,1.00,0.536,0.40,1.00,0.536,0.007,0.41
112-2,1.00,0.538,0.42,1.00,0.538,0.007,0.42
112-3,1.00,0.545,0.40,1.00,0.545,0.007,0.40
113-1,1.00,0.549,0.40,1.00,0.548,0.007,0.39
113-2,0.83,0.654,0.99,0.83,0.654,0.006,0.99
113-3,0.66,0.587,0.52,0.66,0.587,0.008,0.52
114-1,1.00,0.501,0.88,1.00,0.501,0.008,0.91
115-1,1.00,0.515,0.34,1.00,0.514,0.007,0.34
116-1,0.64,0.484,0.01,0.64,0.484,0.010,0.10
116-2,0.62,0.482,0.01,0.62,0.482,0.011,0.03
117-1,1.00,0.544,0.11,1.00,0.544,0.008,0.11
117-2,0.24,0.452,1.00,0.24,0.452,0.021,1.00
119-1,0.96,0.521,0.77,0.96,0.521,0.008,0.77
120-1,1.00,0.506,0.97,1.00,0.506,0.008,0.97
120-2,1.00,0.586,0.53,1.00,0.585,0.005,0.52
120-3,0.77,0.587,0.44,0.77,0.587,0.007,0.44
121-1,0.53,0.460,0.60,0.53,0.460,0.011,0.55
121-2,0.08,0.398,0.44,0.08,0.396,0.038,0.39
121-3,0.73,0.485,0.02,0.73,0.485,0.009,0.02
122-1,0.84,0.487,0.71,0.84,0.487,0.009,0.71
124-1,1.00,0.603,0.27,1.00,0.603,0.005,0.27
124-2,1.00,0.612,0.18,1.00,0.612,0.005,0.18
124-3,1.00,0.626,0.23,1.00,0.626,0.004,0.23
125-1,0.96,0.494,0.93,0.96,0.493,0.008,0.92
125-2,0.92,0.532,0.33,0.92,0.532,0.007,0.33
125-3,0.99,0.550,0.62,0.99,0.549,0.008,0.62
126-1,0.24,0.561,0.25,0.24,0.562,0.018,0.25
127-1,0.93,0.496,0.52,0.93,0.495,0.008,0.51
127-2,0.91,0.465,0.14,0.91,0.465,0.009,0.14
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.61,0.595,0.26,0.61,0.592,0.009,0.24
129-1,0.98,0.518,0.44,0.98,0.517,0.008,0.44
129-2,0.28,0.549,0.43,0.28,0.547,0.013,0.43
129-3,0.98,0.517,0.44,0.98,0.517,0.008,0.44
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.76,0.466,0.10,0.76,0.466,0.009,0.12
131-2,0.78,0.462,0.09,0.78,0.463,0.009,0.09
131-3,0.96,0.528,0.13,0.96,0.527,0.008,0.12
132-1,1.00,0.534,0.48,1.00,0.534,0.007,0.48
132-2,1.00,0.546,0.46,1.00,0.546,0.007,0.46
65-1,0.98,0.626,0.23,0.98,0.626,0.005,0.23
65-2,0.97,0.623,0.23,0.97,0.623,0.005,0.23
65-3,0.98,0.624,0.24,0.98,0.624,0.005,0.24
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,0.47,0.499,0.70,0.47,0.499,0.011,0.66
69-2,1.00,0.525,0.43,1.00,0.524,0.007,0.39
70-1,1.00,0.540,0.07,1.00,0.540,0.006,0.07
70-2,1.00,0.590,0.11,1.00,0.590,0.004,0.11
70-3,1.00,0.610,0.10,1.00,0.610,0.004,0.10
72-1,0.99,0.530,0.01,0.99,0.530,0.009,0.01
72-2,0.88,0.715,0.01,0.88,0.715,0.011,0.01
73-1,1.00,0.596,0.99,1.00,0.597,0.006,0.99
73-2,1.00,0.596,0.99,1.00,0.597,0.006,0.99
73-3,0.98,0.685,0.99,0.98,0.685,0.009,0.99
74-1,0.53,0.533,0.11,0.53,0.532,0.010,0.12
74-2,0.97,0.532,0.19,0.97,0.531,0.007,0.19
75-1,0.47,0.489,0.70,0.47,0.489,0.011,0.70
75-2,1.00,0.514,0.69,1.00,0.514,0.007,0.68
79-1,0.82,0.492,0.18,0.82,0.491,0.008,0.18
79-2,0.57,0.484,0.16,0.57,0.484,0.010,0.18
79-3,0.97,0.502,0.13,0.97,0.502,0.008,0.13
80-1,0.60,0.511,0.16,0.60,0.509,0.009,0.13
80-2,0.98,0.523,0.40,0.98,0.523,0.007,0.36
81-1,0.74,0.495,0.03,0.74,0.495,0.010,0.03
81-2,0.74,0.495,0.03,0.74,0.495,0.010,0.03
82-1,0.90,0.542,0.67,0.90,0.542,0.008,0.67
83-1,0.98,0.544,0.23,0.98,0.543,0.006,0.23
83-2,0.97,0.526,0.21,0.97,0.526,0.007,0.21
84-1,0.78,0.637,0.09,0.78,0.636,0.005,0.09
85-1,0.94,0.487,0.15,0.94,0.486,0.008,0.16
85-2,0.95,0.502,0.29,0.95,0.502,0.008,0.29
86-1,0.65,0.608,0.30,0.65,0.608,0.014,0.30
86-2,0.65,0.608,0.30,0.65,0.608,0.014,0.30
86-3,0.58,0.678,0.30,0.58,0.679,0.015,0.30
87-1,0.87,0.520,0.38,0.87,0.519,0.009,0.39
87-2,0.87,0.526,0.19,0.87,0.526,0.008,0.19
87-3,0.72,0.505,0.28,0.72,0.503,0.010,0.30
