ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.369,0.42,0.99,0.370,0.011,0.42
BLAST-S14,0.96,0.357,0.42,0.96,0.359,0.013,0.43
Naive-S11,1.00,0.232,0.11,1.00,0.233,0.008,0.11
Naive-S14,1.00,0.232,0.17,1.00,0.233,0.008,0.16
101-1,0.94,0.414,0.37,0.94,0.415,0.011,0.35
101-2,0.89,0.476,0.10,0.89,0.476,0.012,0.10
101-3,0.94,0.445,0.09,0.94,0.447,0.012,0.13
102-1,0.99,0.432,0.55,0.99,0.435,0.012,0.47
102-2,0.94,0.438,0.46,0.94,0.438,0.012,0.47
102-3,0.03,0.530,0.87,0.03,0.548,0.064,0.83
103-1,0.10,0.519,0.33,0.10,0.523,0.029,0.29
103-2,0.11,0.652,0.36,0.11,0.652,0.033,0.36
103-3,0.59,0.504,0.17,0.59,0.504,0.016,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.385,0.92,0.98,0.385,0.012,0.92
105-2,0.95,0.402,0.98,0.95,0.404,0.012,0.97
105-3,0.97,0.394,1.00,0.97,0.394,0.012,1.00
106-1,0.77,0.369,0.03,0.77,0.368,0.014,0.04
106-2,0.43,0.207,0.77,0.43,0.209,0.018,0.81
106-3,0.31,0.467,0.03,0.31,0.467,0.022,0.04
107-1,1.00,0.367,0.79,1.00,0.370,0.012,0.77
107-2,1.00,0.387,0.03,1.00,0.387,0.013,0.03
107-3,0.12,0.451,0.05,0.12,0.460,0.031,0.05
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.97,0.462,0.07,0.97,0.463,0.008,0.11
110-2,0.94,0.382,0.29,0.94,0.382,0.011,0.30
110-3,1.00,0.267,0.23,1.00,0.267,0.010,0.20
111-1,0.95,0.450,0.12,0.95,0.451,0.009,0.14
111-2,0.99,0.256,0.23,0.99,0.256,0.011,0.23
111-3,0.13,0.387,0.01,0.13,0.385,0.032,0.02
112-1,1.00,0.390,0.40,1.00,0.391,0.012,0.42
112-2,1.00,0.386,0.40,1.00,0.389,0.012,0.42
112-3,1.00,0.371,0.40,1.00,0.371,0.012,0.40
113-1,1.00,0.371,0.34,1.00,0.371,0.012,0.34
113-2,0.83,0.146,0.66,0.83,0.149,0.009,0.52
113-3,0.66,0.378,0.37,0.66,0.381,0.014,0.34
114-1,1.00,0.467,0.96,1.00,0.469,0.012,0.92
115-1,1.00,0.437,0.34,1.00,0.438,0.012,0.36
116-1,0.64,0.461,0.10,0.64,0.462,0.016,0.23
116-2,0.62,0.470,0.10,0.62,0.470,0.017,0.23
117-1,1.00,0.450,0.11,1.00,0.452,0.011,0.11
117-2,0.24,0.500,1.00,0.24,0.499,0.029,1.00
119-1,0.96,0.447,0.78,0.96,0.449,0.012,0.81
120-1,1.00,0.469,0.97,1.00,0.470,0.012,0.96
120-2,1.00,0.299,0.56,1.00,0.300,0.011,0.58
120-3,0.77,0.301,0.49,0.77,0.303,0.013,0.52
121-1,0.53,0.500,0.44,0.53,0.499,0.017,0.49
121-2,0.08,0.555,0.44,0.08,0.561,0.051,0.52
121-3,0.73,0.499,0.01,0.73,0.500,0.013,0.01
122-1,0.84,0.491,0.71,0.84,0.491,0.013,0.71
124-1,1.00,0.258,0.34,1.00,0.260,0.010,0.30
124-2,1.00,0.217,0.16,1.00,0.218,0.009,0.16
124-3,1.00,0.222,0.19,1.00,0.223,0.008,0.20
125-1,0.96,0.475,0.96,0.96,0.477,0.012,0.92
125-2,0.92,0.417,0.31,0.92,0.420,0.012,0.31
125-3,0.99,0.421,0.62,0.99,0.423,0.012,0.59
