ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.473,0.46,0.99,0.476,0.015,0.45
BLAST-S14,0.98,0.451,0.46,0.98,0.454,0.017,0.46
Naive-S11,1.00,0.348,0.30,1.00,0.348,0.010,0.30
Naive-S14,1.00,0.323,0.17,1.00,0.323,0.008,0.17
101-1,0.94,0.484,0.37,0.94,0.484,0.012,0.37
101-2,0.92,0.561,0.18,0.92,0.563,0.013,0.16
101-3,0.94,0.533,0.12,0.94,0.533,0.013,0.14
102-1,0.99,0.555,0.61,0.99,0.557,0.014,0.60
102-2,0.94,0.537,0.49,0.94,0.541,0.014,0.57
102-3,0.04,0.056,0.01,0.04,0.056,0.013,0.04
103-1,0.12,0.123,0.11,0.12,0.124,0.015,0.11
103-2,0.14,0.147,0.11,0.14,0.148,0.018,0.15
103-3,0.54,0.419,0.17,0.54,0.418,0.017,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,0.99,0.463,0.92,0.99,0.463,0.014,0.92
105-2,0.97,0.492,0.99,0.97,0.493,0.014,0.99
105-3,0.97,0.471,1.00,0.97,0.471,0.014,1.00
106-1,0.81,0.394,0.07,0.81,0.394,0.016,0.07
106-2,0.49,0.188,0.74,0.49,0.189,0.016,0.75
106-3,0.30,0.275,0.07,0.30,0.274,0.019,0.07
107-1,1.00,0.431,0.79,1.00,0.435,0.013,0.79
107-2,1.00,0.474,0.04,1.00,0.473,0.015,0.04
107-3,0.16,0.146,0.03,0.16,0.147,0.016,0.03
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.98,0.477,0.15,0.98,0.479,0.014,0.17
110-2,0.95,0.459,0.29,0.95,0.462,0.013,0.26
110-3,0.99,0.283,0.23,0.99,0.283,0.013,0.23
111-1,0.93,0.454,0.15,0.93,0.455,0.014,0.19
111-2,0.98,0.274,0.23,0.98,0.274,0.013,0.24
111-3,0.08,0.076,0.02,0.08,0.076,0.014,0.02
112-1,1.00,0.487,0.39,1.00,0.487,0.014,0.39
112-2,1.00,0.486,0.38,1.00,0.487,0.013,0.37
112-3,0.99,0.473,0.39,0.99,0.474,0.014,0.38
113-1,0.99,0.475,0.34,0.99,0.477,0.013,0.34
113-2,0.81,0.197,0.37,0.81,0.199,0.011,0.34
113-3,0.59,0.365,0.31,0.59,0.368,0.015,0.34
114-1,1.00,0.538,0.92,1.00,0.542,0.014,0.82
115-1,1.00,0.539,0.39,1.00,0.541,0.014,0.40
116-1,0.83,0.483,0.12,0.83,0.482,0.016,0.14
116-2,0.78,0.436,0.12,0.78,0.435,0.017,0.15
117-1,1.00,0.519,0.11,1.00,0.519,0.012,0.11
117-2,0.33,0.312,1.00,0.33,0.311,0.021,1.00
119-1,0.96,0.554,0.75,0.96,0.555,0.014,0.77
120-1,1.00,0.544,0.97,1.00,0.545,0.014,0.96
120-2,1.00,0.377,0.45,1.00,0.378,0.012,0.44
120-3,0.77,0.263,0.46,0.77,0.262,0.013,0.46
121-1,0.61,0.449,0.51,0.61,0.448,0.017,0.51
121-2,0.05,0.056,0.27,0.05,0.056,0.014,0.41
121-3,0.67,0.489,0.01,0.67,0.489,0.015,0.01
122-1,0.82,0.503,0.71,0.82,0.503,0.015,0.72
124-1,1.00,0.341,0.34,1.00,0.343,0.013,0.33
124-2,1.00,0.267,0.29,1.00,0.269,0.012,0.27
124-3,1.00,0.313,0.34,1.00,0.315,0.014,0.35
125-1,0.98,0.537,0.69,0.98,0.541,0.014,0.81
125-2,0.92,0.471,0.29,0.92,0.472,0.014,0.30
125-3,0.99,0.491,0.60,0.99,0.493,0.015,0.58
126-1,0.92,0.484,0.25,0.92,0.484,0.016,0.28
127-1,0.95,0.561,0.54,0.95,0.562,0.015,0.56
127-2,0.94,0.563,0.19,0.94,0.564,0.016,0.18
127-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
128-1,0.67,0.356,0.14,0.67,0.361,0.015,0.20
