ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,8.026,0.63,0.99,7.992,0.299,0.63
BLAST-S14,0.98,7.858,0.63,0.98,7.844,0.297,0.63
Naive-S11,1.00,8.598,0.30,1.00,8.599,0.286,0.30
Naive-S14,1.00,8.664,0.43,1.00,8.664,0.286,0.42
101-1,0.94,8.183,0.45,0.94,8.154,0.292,0.46
101-2,0.92,6.668,0.22,0.92,6.668,0.294,0.24
101-3,0.94,6.987,0.76,0.94,6.959,0.270,0.72
102-1,0.99,6.906,0.70,0.99,6.888,0.281,0.70
102-2,0.94,7.374,0.83,0.94,7.346,0.286,0.83
102-3,0.04,8.995,0.03,0.04,8.996,0.289,0.16
103-1,0.12,8.686,0.18,0.12,8.685,0.293,0.17
103-2,0.14,8.531,0.18,0.14,8.530,0.296,0.20
103-3,0.54,7.035,0.17,0.54,7.042,0.269,0.17
104-1,0.00,9.286,1.00,0.00,9.287,0.290,1.00
104-2,0.00,9.286,1.00,0.00,9.287,0.290,1.00
104-3,0.00,9.286,1.00,0.00,9.287,0.290,1.00
105-1,0.99,8.825,0.93,0.99,8.831,0.273,0.93
105-2,0.97,10.277,1.00,0.97,10.287,0.627,1.00
105-3,0.97,14.598,1.00,0.97,14.600,0.892,1.00
106-1,0.81,8.019,0.90,0.81,7.997,0.279,0.83
106-2,0.49,8.487,0.90,0.49,8.461,0.277,0.86
106-3,0.30,7.989,0.07,0.30,7.990,0.288,0.08
107-1,1.00,12.865,1.00,1.00,12.874,0.806,1.00
107-2,1.00,7.461,0.09,1.00,7.450,0.288,0.08
107-3,0.16,8.624,0.05,0.16,8.622,0.287,0.05
108-1,0.00,9.286,1.00,0.00,9.287,0.290,1.00
109-1,0.00,9.286,1.00,0.00,9.287,0.290,1.00
110-1,0.98,8.413,0.90,0.98,8.399,0.300,0.90
110-2,0.95,7.256,0.72,0.95,7.240,0.285,0.73
110-3,0.99,11.796,1.00,0.99,11.804,0.333,1.00
111-1,0.93,8.371,0.90,0.93,8.360,0.300,0.90
111-2,0.98,11.179,1.00,0.98,11.187,0.323,1.00
111-3,0.08,9.062,0.02,0.08,9.068,0.291,0.04
112-1,1.00,7.133,0.57,1.00,7.116,0.284,0.59
112-2,1.00,7.108,0.61,1.00,7.084,0.283,0.60
112-3,0.99,7.208,0.57,0.99,7.194,0.281,0.57
113-1,0.99,7.170,0.57,0.99,7.161,0.282,0.57
113-2,0.81,11.742,1.00,0.81,11.750,0.326,1.00
113-3,0.59,8.556,0.90,0.59,8.544,0.299,0.89
114-1,1.00,7.031,1.00,1.00,7.038,0.279,1.00
115-1,1.00,7.098,0.66,1.00,7.056,0.268,0.69
116-1,0.83,6.994,0.56,0.83,6.945,0.263,0.55
116-2,0.78,6.903,0.12,0.78,6.904,0.274,0.25
117-1,1.00,7.082,0.15,1.00,7.073,0.286,0.14
117-2,0.33,7.882,1.00,0.33,7.889,0.309,1.00
119-1,0.96,6.937,0.89,0.96,6.927,0.292,0.90
120-1,1.00,7.182,1.00,1.00,7.191,0.290,1.00
120-2,1.00,8.273,0.79,1.00,8.260,0.270,0.80
120-3,0.77,8.491,0.72,0.77,8.475,0.279,0.71
121-1,0.61,6.840,0.51,0.61,6.847,0.258,0.53
121-2,0.05,9.073,0.27,0.05,9.074,0.297,0.41
121-3,0.67,6.742,0.10,0.67,6.730,0.264,0.09
122-1,0.82,7.203,0.99,0.82,7.196,0.268,0.97
124-1,1.00,8.543,0.39,1.00,8.545,0.291,0.39
124-2,1.00,8.751,0.31,1.00,8.749,0.288,0.32
124-3,1.00,8.675,0.39,1.00,8.676,0.289,0.39
125-1,0.98,7.029,1.00,0.98,7.036,0.279,1.00
125-2,0.92,7.756,0.55,0.92,7.703,0.281,0.57
125-3,0.99,8.627,0.90,0.99,8.609,0.288,0.88
126-1,0.92,6.947,0.60,0.92,6.921,0.285,0.50
127-1,0.95,6.371,0.72,0.95,6.364,0.292,0.72
127-2,0.94,6.173,0.21,0.94,6.158,0.282,0.22
