ID-model,GO:0003674,GO:0016409,GO:0016757,GO:0016829,GO:0016747,GO:0070011,GO:0016746,GO:0017111,GO:0016874,GO:0016491,GO:0004672,GO:0016788,GO:0016879,GO:0015075,GO:0004842,GO:0019787,GO:0016881,GO:0004871,GO:0060089,GO:0008233,GO:0016462,GO:0016818,GO:0016817,GO:0032555,GO:0032553,GO:0003677,GO:0000975,GO:0044212,GO:0001067,GO:0016787,GO:0003676,GO:0003700,GO:0016740,GO:0016301,GO:0017076,GO:0043565,GO:0000166,GO:1901265,GO:0038023,GO:0030695,GO:0000976,GO:0001071,GO:0097159,GO:0004872,GO:0000981,GO:1901363,GO:0003824,GO:0022857,GO:0036094,GO:0016773,GO:0022891,GO:0016772,GO:0043168,GO:0005215,GO:0008289,GO:0022892,GO:0000977,GO:0001012,GO:0060589,GO:0008092,GO:0008047,GO:0030234,GO:0017016,GO:0031267,GO:0051020,GO:0043167,GO:0032403,GO:0017137,GO:0005515,GO:0005102,GO:0005488,GO:0046872,GO:0042802,GO:0043169,GO:0019899,GO:0042803,GO:0046983,GO:0019900
BLAST-S11,NaN,1.00,0.99,0.96,0.96,0.96,0.96,0.96,0.94,0.93,0.92,0.89,0.92,0.92,0.93,0.93,0.93,0.90,0.90,0.91,0.92,0.92,0.92,0.90,0.89,0.84,0.65,0.65,0.65,0.87,0.83,0.87,0.85,0.85,0.85,0.79,0.83,0.83,0.81,0.88,0.71,0.83,0.78,0.80,0.68,0.78,0.79,0.77,0.79,0.81,0.77,0.76,0.79,0.76,0.76,0.75,0.67,0.67,0.77,0.80,0.75,0.74,0.60,0.59,0.59,0.61,0.66,0.63,0.62,0.61,0.63,0.50,0.44,0.48,0.51,0.50,0.47,0.49
BLAST-S14,NaN,1.00,0.99,0.99,0.96,0.96,0.96,0.94,0.94,0.94,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.90,0.90,0.90,0.90,0.89,0.89,0.88,0.88,0.88,0.88,0.87,0.87,0.86,0.86,0.85,0.85,0.84,0.84,0.84,0.84,0.83,0.83,0.82,0.82,0.82,0.82,0.81,0.81,0.80,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.74,0.74,0.74,0.73,0.71,0.70,0.67,0.66,0.66,0.64,0.63,0.62,0.60,0.60,0.60,0.60,0.59,0.57,0.50,0.48,0.48,0.44
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,1.00,0.99,0.93,0.96,0.99,0.96,0.91,0.86,0.90,0.95,0.92,0.71,0.88,0.68,0.68,0.68,0.86,0.86,0.96,0.87,0.87,0.87,0.87,0.86,0.89,0.50,0.50,0.50,0.89,0.88,0.86,0.93,0.88,0.83,0.79,0.74,0.74,0.93,0.85,0.50,0.83,0.77,0.87,0.50,0.77,0.84,0.87,0.72,0.95,0.89,0.90,0.76,0.85,0.75,0.85,0.50,0.50,0.77,0.65,0.77,0.72,0.54,0.54,0.54,0.60,0.52,0.50,0.53,0.46,0.47,0.63,0.53,0.62,0.50,0.56,0.54,0.50
101-2,NaN,1.00,1.00,0.93,0.97,0.96,0.97,0.85,0.75,0.93,0.91,0.86,0.63,0.88,0.55,0.60,0.60,0.90,0.90,0.95,0.81,0.81,0.81,0.79,0.79,0.85,0.50,0.50,0.50,0.89,0.87,0.84,0.95,0.86,0.75,0.76,0.78,0.78,0.82,0.77,0.50,0.81,0.83,0.78,0.50,0.83,0.87,0.88,0.73,0.91,0.89,0.89,0.62,0.86,0.64,0.86,0.50,0.50,0.71,0.50,0.71,0.73,0.54,0.54,0.54,0.57,0.50,0.50,0.63,0.49,0.68,0.64,0.50,0.62,0.51,0.49,0.49,0.50
101-3,NaN,1.00,1.00,0.93,0.96,0.99,0.96,0.92,0.86,0.92,0.95,0.92,0.71,0.88,0.68,0.68,0.68,0.93,0.93,0.97,0.87,0.87,0.87,0.91,0.91,0.93,0.50,0.50,0.50,0.92,0.94,0.87,0.96,0.89,0.87,0.80,0.79,0.79,0.95,0.86,0.50,0.84,0.86,0.93,0.50,0.86,0.87,0.88,0.77,0.97,0.90,0.93,0.80,0.86,0.75,0.86,0.50,0.50,0.78,0.65,0.78,0.73,0.54,0.54,0.54,0.65,0.52,0.50,0.66,0.46,0.62,0.64,0.53,0.62,0.50,0.56,0.54,0.50
102-1,NaN,1.00,1.00,1.00,0.96,0.98,0.96,0.99,0.90,0.93,0.93,0.94,0.87,0.87,0.86,0.86,0.86,0.95,0.95,0.98,0.96,0.96,0.96,0.97,0.97,0.92,0.83,0.83,0.83,0.94,0.93,0.87,0.97,0.85,0.92,0.85,0.90,0.91,0.95,0.97,0.76,0.83,0.88,0.95,0.76,0.87,0.86,0.94,0.86,0.95,0.92,0.93,0.87,0.97,0.82,0.92,0.65,0.65,0.89,0.85,0.80,0.83,0.76,0.75,0.75,0.73,0.64,0.76,0.66,0.53,0.62,0.70,0.52,0.67,0.52,0.50,0.44,0.54
102-2,NaN,1.00,1.00,1.00,0.97,0.98,0.97,0.99,0.94,0.94,0.93,0.98,0.92,0.93,0.91,0.91,0.91,0.94,0.94,0.96,0.92,0.92,0.92,0.91,0.91,0.91,0.83,0.83,0.82,0.92,0.91,0.84,0.96,0.86,0.87,0.87,0.87,0.86,0.95,0.97,0.78,0.80,0.86,0.95,0.79,0.86,0.86,0.96,0.83,0.95,0.95,0.91,0.85,0.94,0.84,0.95,0.66,0.66,0.89,0.87,0.80,0.84,0.82,0.81,0.81,0.72,0.67,0.82,0.65,0.58,0.61,0.70,0.55,0.67,0.54,0.53,0.47,0.54
102-3,NaN,NaN,0.86,1.00,1.00,NaN,1.00,NaN,1.00,1.00,NaN,1.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00,NaN,NaN,NaN,0.92,1.00,NaN,0.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.92,NaN,NaN,0.92,0.42,1.00,NaN,1.00,1.00,1.00,0.93,1.00,NaN,1.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.61,NaN,NaN,0.19,NaN,0.38,0.65,0.79,0.58,NaN,NaN,NaN,NaN
