ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.476,0.46,0.99,0.480,0.015,0.45
BLAST-S14,0.98,0.456,0.46,0.98,0.459,0.017,0.46
Naive-S11,1.00,0.348,0.30,1.00,0.348,0.010,0.30
Naive-S14,1.00,0.323,0.17,1.00,0.323,0.008,0.17
101-1,0.94,0.496,0.37,0.94,0.496,0.012,0.37
101-2,0.92,0.588,0.18,0.92,0.589,0.013,0.17
101-3,0.94,0.548,0.12,0.94,0.549,0.013,0.16
102-1,0.99,0.558,0.61,0.99,0.560,0.014,0.60
102-2,0.94,0.553,0.66,0.94,0.558,0.014,0.59
102-3,0.04,0.606,0.40,0.04,0.608,0.056,0.45
103-1,0.12,0.536,0.18,0.12,0.543,0.035,0.27
103-2,0.14,0.589,0.55,0.14,0.596,0.038,0.54
103-3,0.54,0.588,0.17,0.54,0.587,0.018,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.99,0.465,0.92,0.99,0.465,0.014,0.92
105-2,0.97,0.500,0.99,0.97,0.501,0.014,0.99
105-3,0.97,0.476,1.00,0.97,0.476,0.014,1.00
106-1,0.81,0.439,0.07,0.81,0.438,0.017,0.07
106-2,0.49,0.289,0.80,0.49,0.290,0.022,0.79
106-3,0.30,0.577,0.07,0.30,0.577,0.024,0.07
107-1,1.00,0.431,0.79,1.00,0.435,0.013,0.79
107-2,1.00,0.474,0.04,1.00,0.473,0.015,0.04
107-3,0.16,0.432,0.05,0.16,0.439,0.039,0.05
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.98,0.482,0.15,0.98,0.484,0.014,0.17
110-2,0.95,0.472,0.29,0.95,0.474,0.013,0.27
110-3,0.99,0.284,0.23,0.99,0.284,0.013,0.23
111-1,0.93,0.468,0.15,0.93,0.470,0.014,0.21
111-2,0.98,0.276,0.23,0.98,0.276,0.013,0.24
111-3,0.08,0.499,0.02,0.08,0.496,0.043,0.02
