ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,8.003,0.63,0.99,7.970,0.302,0.63
BLAST-S14,0.98,7.857,0.63,0.98,7.843,0.301,0.63
Naive-S11,1.00,8.598,0.30,1.00,8.599,0.286,0.30
Naive-S14,1.00,8.664,0.43,1.00,8.664,0.286,0.42
101-1,0.94,8.218,0.46,0.94,8.185,0.305,0.46
101-2,0.92,6.549,0.22,0.92,6.548,0.308,0.24
101-3,0.94,6.986,0.76,0.94,6.960,0.281,0.76
102-1,0.99,6.883,0.70,0.99,6.865,0.281,0.70
102-2,0.94,7.320,0.83,0.94,7.291,0.292,0.83
102-3,0.04,6.743,0.84,0.04,6.667,0.802,0.84
103-1,0.12,6.769,0.55,0.12,6.637,0.603,0.46
103-2,0.14,5.388,0.78,0.14,5.345,0.595,0.77
103-3,0.54,6.381,0.33,0.54,6.373,0.287,0.31
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.99,8.879,0.93,0.99,8.885,0.276,0.93
105-2,0.97,10.527,1.00,0.97,10.538,0.651,1.00
105-3,0.97,14.939,1.00,0.97,14.942,0.914,1.00
106-1,0.81,8.022,0.90,0.81,8.016,0.319,0.90
106-2,0.49,7.879,0.90,0.49,7.848,0.345,0.93
106-3,0.30,7.256,0.31,0.30,7.204,0.553,0.28
107-1,1.00,12.865,1.00,1.00,12.874,0.806,1.00
107-2,1.00,7.461,0.09,1.00,7.450,0.288,0.08
107-3,0.16,8.165,0.11,0.16,8.051,0.612,0.13
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.98,8.441,0.90,0.98,8.426,0.305,0.90
110-2,0.95,7.191,0.72,0.95,7.170,0.291,0.74
110-3,0.99,11.862,1.00,0.99,11.870,0.335,1.00
111-1,0.93,8.211,0.90,0.93,8.197,0.303,0.91
111-2,0.98,11.271,1.00,0.98,11.278,0.327,1.00
111-3,0.08,7.963,0.99,0.08,7.829,0.661,0.88
112-1,1.00,7.137,0.57,1.00,7.120,0.284,0.59
112-2,1.00,7.112,0.61,1.00,7.088,0.284,0.60
112-3,0.99,7.199,0.57,0.99,7.186,0.283,0.57
113-1,0.99,7.161,0.57,0.99,7.153,0.283,0.57
113-2,0.81,13.213,1.00,0.81,13.221,0.364,1.00
