ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.586,0.57,1.00,0.588,0.021,0.54
BLAST-S14,0.99,0.540,0.57,0.99,0.543,0.023,0.55
Naive-S11,1.00,0.365,0.30,1.00,0.365,0.015,0.30
Naive-S14,1.00,0.337,0.17,1.00,0.338,0.012,0.17
101-1,0.99,0.489,0.38,0.99,0.490,0.017,0.38
101-2,0.97,0.579,0.20,0.97,0.582,0.018,0.20
101-3,0.99,0.548,0.12,0.99,0.551,0.019,0.21
102-1,0.99,0.579,0.61,0.99,0.580,0.021,0.59
102-2,0.97,0.559,0.70,0.97,0.563,0.020,0.65
102-3,0.01,0.020,0.01,0.01,0.020,0.013,0.02
103-1,0.02,0.022,0.01,0.02,0.023,0.012,0.08
103-2,0.02,0.031,0.02,0.02,0.031,0.015,0.31
103-3,0.54,0.422,0.17,0.54,0.422,0.026,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,0.99,0.454,0.92,0.99,0.456,0.020,0.91
105-2,0.98,0.496,0.97,0.98,0.501,0.020,0.98
105-3,0.99,0.473,1.00,0.99,0.473,0.020,1.00
106-1,0.85,0.407,0.07,0.85,0.407,0.023,0.07
106-2,0.54,0.213,0.80,0.54,0.214,0.022,0.79
106-3,0.33,0.287,0.07,0.33,0.285,0.028,0.08
107-1,1.00,0.430,0.78,1.00,0.433,0.018,0.82
107-2,1.00,0.472,0.04,1.00,0.472,0.023,0.04
107-3,0.02,0.029,0.01,0.02,0.029,0.013,0.03
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.99,0.507,0.15,0.99,0.509,0.018,0.15
110-2,0.97,0.492,0.42,0.97,0.497,0.019,0.38
110-3,0.98,0.307,0.20,0.98,0.310,0.019,0.20
111-1,0.94,0.481,0.15,0.94,0.483,0.019,0.19
111-2,0.97,0.306,0.24,0.97,0.309,0.018,0.24
111-3,0.13,0.120,0.02,0.13,0.120,0.024,0.02
112-1,1.00,0.536,0.39,1.00,0.538,0.019,0.41
112-2,1.00,0.538,0.38,1.00,0.541,0.019,0.41
112-3,1.00,0.517,0.39,1.00,0.518,0.019,0.38
113-1,1.00,0.521,0.38,1.00,0.523,0.018,0.38
113-2,0.77,0.208,0.45,0.77,0.210,0.015,0.43
113-3,0.63,0.391,0.30,0.63,0.394,0.020,0.31
114-1,1.00,0.545,0.69,1.00,0.549,0.020,0.80
115-1,1.00,0.557,0.42,1.00,0.559,0.019,0.42
116-1,0.85,0.491,0.12,0.85,0.491,0.023,0.17
116-2,0.79,0.448,0.12,0.79,0.448,0.026,0.19
117-1,1.00,0.546,0.12,1.00,0.550,0.019,0.12
117-2,0.38,0.354,1.00,0.38,0.353,0.030,1.00
119-1,0.98,0.585,0.78,0.98,0.589,0.019,0.81
120-1,1.00,0.551,0.98,1.00,0.552,0.020,0.96
120-2,1.00,0.391,0.49,1.00,0.394,0.019,0.47
120-3,0.78,0.268,0.46,0.78,0.269,0.018,0.48
121-1,0.65,0.458,0.51,0.65,0.457,0.024,0.54
121-2,0.04,0.048,0.72,0.04,0.047,0.019,0.74
121-3,0.68,0.499,0.01,0.68,0.498,0.023,0.01
122-1,0.88,0.539,0.79,0.89,0.541,0.021,0.77
124-1,1.00,0.317,0.31,1.00,0.320,0.020,0.33
124-2,1.00,0.280,0.29,1.00,0.282,0.017,0.27
124-3,1.00,0.291,0.34,1.00,0.294,0.020,0.34
125-1,0.98,0.545,0.69,0.98,0.549,0.020,0.80
125-2,0.95,0.460,0.29,0.95,0.464,0.020,0.32
125-3,1.00,0.567,0.62,1.00,0.568,0.020,0.62
126-1,0.97,0.524,0.38,0.97,0.527,0.022,0.33
127-1,0.98,0.580,0.55,0.98,0.581,0.022,0.56
127-2,0.97,0.618,0.21,0.97,0.621,0.022,0.20
127-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
128-1,0.66,0.378,0.14,0.66,0.382,0.021,0.21
129-1,0.99,0.630,0.54,0.99,0.632,0.019,0.54
129-2,0.30,0.284,0.46,0.30,0.287,0.026,0.43
129-3,0.99,0.630,0.54,0.99,0.632,0.019,0.54
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.90,0.516,0.09,0.90,0.519,0.023,0.13
131-2,0.87,0.512,0.05,0.87,0.513,0.022,0.07
131-3,0.98,0.489,0.23,0.98,0.493,0.023,0.18
132-1,1.00,0.548,0.57,1.00,0.550,0.020,0.54
132-2,1.00,0.526,0.48,1.00,0.528,0.020,0.49
65-1,0.92,0.457,0.15,0.92,0.457,0.018,0.15
65-2,0.87,0.445,0.12,0.87,0.447,0.018,0.13
65-3,0.92,0.449,0.15,0.92,0.451,0.018,0.15
68-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
68-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
69-1,0.16,0.173,0.11,0.16,0.176,0.026,0.22
69-2,1.00,0.546,0.68,1.00,0.548,0.020,0.67
70-1,1.00,0.623,0.24,1.00,0.624,0.015,0.27
70-2,1.00,0.327,0.10,1.00,0.327,0.014,0.10
70-3,1.00,0.360,0.09,1.00,0.363,0.015,0.11
72-1,0.99,0.617,0.01,0.99,0.616,0.018,0.01
72-2,0.91,0.423,0.01,0.91,0.423,0.024,0.01
73-1,0.99,0.442,0.99,0.99,0.445,0.023,0.99
73-2,1.00,0.447,0.99,1.00,0.449,0.023,0.99
73-3,0.99,0.398,1.00,0.99,0.398,0.020,0.98
74-1,0.52,0.385,0.11,0.52,0.388,0.025,0.10
74-2,0.99,0.533,0.19,0.99,0.536,0.020,0.21
75-1,0.16,0.181,0.39,0.16,0.182,0.026,0.32
75-2,1.00,0.574,0.68,1.00,0.575,0.019,0.68
79-1,0.94,0.545,0.10,0.94,0.548,0.020,0.14
79-2,0.73,0.472,0.10,0.73,0.477,0.023,0.15
79-3,0.97,0.567,0.10,0.97,0.568,0.019,0.11
80-1,0.55,0.390,0.11,0.55,0.393,0.024,0.12
80-2,0.99,0.529,0.19,0.99,0.532,0.019,0.27
81-1,0.86,0.517,0.01,0.86,0.517,0.024,0.07
81-2,0.86,0.517,0.01,0.86,0.517,0.024,0.06
82-1,0.96,0.442,0.66,0.96,0.443,0.021,0.65
83-1,0.98,0.490,0.27,0.98,0.493,0.017,0.28
83-2,0.98,0.500,0.27,0.98,0.504,0.017,0.28
84-1,0.84,0.233,0.12,0.84,0.239,0.021,0.12
85-1,0.96,0.615,0.40,0.96,0.616,0.020,0.38
85-2,0.97,0.591,0.40,0.97,0.592,0.019,0.44
86-1,0.85,0.526,0.46,0.85,0.529,0.023,0.39
86-2,0.85,0.526,0.46,0.85,0.529,0.023,0.39
86-3,0.84,0.518,0.30,0.84,0.517,0.025,0.30
87-1,0.92,0.501,0.46,0.92,0.508,0.022,0.41
87-2,0.92,0.461,0.22,0.92,0.465,0.020,0.20
87-3,0.80,0.503,0.28,0.80,0.505,0.020,0.32
88-1,0.97,0.503,0.04,0.97,0.505,0.025,0.23
89-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-1,0.15,0.071,0.03,0.15,0.070,0.015,0.03
91-2,0.15,0.071,1.00,0.15,0.070,0.015,1.00
91-3,0.15,0.014,0.51,0.15,0.015,0.003,0.52
93-1,0.03,0.035,1.00,0.03,0.034,0.016,0.99
93-2,0.03,0.034,1.00,0.03,0.032,0.012,0.99
94-1,1.00,0.546,0.97,1.00,0.547,0.021,0.79
95-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
95-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
96-1,0.40,0.078,1.00,0.40,0.078,0.012,1.00
96-2,0.35,0.093,1.00,0.35,0.092,0.014,1.00
96-3,0.36,0.082,1.00,0.36,0.082,0.012,1.00
97-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
98-1,0.59,0.118,0.48,0.59,0.121,0.015,0.48
99-1,0.98,0.556,0.11,0.98,0.559,0.023,0.10
