ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,7.488,0.73,1.00,7.458,0.435,0.74
BLAST-S14,0.99,7.375,0.73,0.99,7.330,0.426,0.72
Naive-S11,1.00,8.723,0.30,1.00,8.726,0.403,0.29
Naive-S14,1.00,8.797,0.43,1.00,8.791,0.398,0.38
101-1,0.99,8.003,0.48,0.99,7.968,0.430,0.47
101-2,0.97,6.891,0.29,0.97,6.876,0.423,0.30
101-3,0.99,7.283,0.97,0.99,7.229,0.393,0.83
102-1,0.99,7.079,0.70,0.99,7.012,0.398,0.69
102-2,0.97,7.322,0.81,0.97,7.304,0.413,0.81
102-3,0.01,9.317,0.03,0.01,9.324,0.416,0.16
103-1,0.02,9.302,0.06,0.02,9.307,0.413,0.17
103-2,0.02,9.237,0.85,0.02,9.241,0.412,0.54
103-3,0.54,7.325,0.17,0.54,7.324,0.372,0.19
104-1,0.00,9.422,1.00,0.00,9.429,0.414,1.00
104-2,0.00,9.422,1.00,0.00,9.429,0.414,1.00
104-3,0.00,9.422,1.00,0.00,9.429,0.414,1.00
105-1,0.99,9.048,0.93,0.99,9.058,0.389,0.93
105-2,0.98,12.410,1.00,0.98,12.421,1.203,1.00
105-3,0.99,17.212,1.00,0.99,17.203,1.523,1.00
106-1,0.85,8.108,0.90,0.85,8.070,0.388,0.86
106-2,0.54,8.511,0.90,0.54,8.480,0.383,0.91
106-3,0.33,8.123,0.10,0.33,8.130,0.415,0.09
107-1,1.00,15.531,1.00,1.00,15.540,1.234,1.00
107-2,1.00,7.598,0.05,1.00,7.558,0.397,0.06
107-3,0.02,9.266,0.03,0.02,9.265,0.411,0.07
108-1,0.00,9.422,1.00,0.00,9.429,0.414,1.00
109-1,0.00,9.422,1.00,0.00,9.429,0.414,1.00
110-1,0.99,8.478,0.99,0.99,8.456,0.429,0.95
110-2,0.97,7.040,0.79,0.97,7.016,0.385,0.77
110-3,0.98,12.056,1.00,0.98,12.070,0.526,1.00
111-1,0.94,8.427,0.99,0.94,8.406,0.429,0.94
111-2,0.97,11.132,1.00,0.97,11.143,0.492,1.00
111-3,0.13,9.081,0.02,0.13,9.093,0.415,0.11
112-1,1.00,6.884,0.56,1.00,6.840,0.372,0.58
112-2,1.00,6.823,0.57,1.00,6.784,0.371,0.59
112-3,1.00,6.969,0.56,1.00,6.936,0.379,0.55
113-1,1.00,6.925,0.56,1.00,6.891,0.377,0.55
113-2,0.77,12.026,1.00,0.77,12.039,0.511,1.00
113-3,0.63,8.657,0.88,0.63,8.603,0.435,0.91
114-1,1.00,8.035,1.00,1.00,8.045,0.459,1.00
115-1,1.00,7.408,0.72,1.00,7.338,0.401,0.69
116-1,0.85,7.239,0.33,0.85,7.164,0.376,0.51
116-2,0.79,7.060,0.12,0.79,7.046,0.386,0.33
117-1,1.00,7.266,0.15,1.00,7.247,0.464,0.15
117-2,0.38,8.050,1.00,0.38,8.072,0.457,1.00
119-1,0.98,6.643,0.98,0.98,6.599,0.410,0.98
120-1,1.00,8.424,1.00,1.00,8.433,0.498,1.00
120-2,1.00,8.309,0.79,1.00,8.296,0.384,0.80
120-3,0.78,8.363,0.68,0.78,8.349,0.394,0.69
121-1,0.65,7.009,0.51,0.65,7.020,0.362,0.54
121-2,0.04,9.262,0.72,0.04,9.269,0.422,0.74
121-3,0.68,6.927,0.05,0.68,6.900,0.377,0.08
122-1,0.88,7.276,1.00,0.89,7.281,0.392,0.99
124-1,1.00,8.905,0.40,1.00,8.897,0.406,0.41
124-2,1.00,8.900,0.30,1.00,8.903,0.406,0.30
124-3,1.00,9.031,0.38,1.00,9.026,0.406,0.39
125-1,0.98,8.026,1.00,0.98,8.036,0.458,1.00
125-2,0.95,8.219,0.63,0.95,8.161,0.402,0.69
125-3,1.00,8.586,0.89,1.00,8.568,0.399,0.91
126-1,0.97,7.052,0.60,0.97,7.024,0.402,0.53
127-1,0.98,6.486,0.72,0.98,6.477,0.413,0.71
127-2,0.97,5.766,0.23,0.97,5.760,0.398,0.24
127-3,0.00,9.422,1.00,0.00,9.429,0.414,1.00
128-1,0.66,12.214,0.97,0.66,12.262,1.285,0.98
129-1,0.99,6.328,0.56,0.99,6.289,0.416,0.57
129-2,0.30,8.262,0.46,0.30,8.260,0.393,0.46
129-3,0.99,6.303,0.56,0.99,6.285,0.416,0.57
130-1,0.00,9.422,1.00,0.00,9.429,0.414,1.00
130-2,0.00,9.422,1.00,0.00,9.429,0.414,1.00
130-3,0.00,9.422,1.00,0.00,9.429,0.414,1.00
131-1,0.90,6.642,0.46,0.90,6.651,0.397,0.49
131-2,0.87,6.817,0.28,0.87,6.816,0.391,0.33
131-3,0.98,7.025,0.29,0.98,6.995,0.394,0.30
132-1,1.00,7.058,0.59,1.00,7.021,0.370,0.60
132-2,1.00,7.093,0.57,1.00,7.090,0.383,0.58
65-1,0.92,7.718,0.24,0.92,7.708,0.413,0.24
65-2,0.87,7.704,0.24,0.87,7.703,0.415,0.24
65-3,0.92,7.735,0.25,0.92,7.715,0.411,0.25
68-1,0.00,9.422,1.00,0.00,9.429,0.414,1.00
68-2,0.00,9.422,1.00,0.00,9.429,0.414,1.00
69-1,0.16,8.782,0.51,0.16,8.781,0.426,0.49
69-2,1.00,7.091,0.96,1.00,7.052,0.386,0.93
70-1,1.00,6.535,0.30,1.00,6.491,0.393,0.29
70-2,1.00,7.924,0.15,1.00,7.932,0.415,0.15
70-3,1.00,7.989,0.16,1.00,7.978,0.384,0.18
72-1,0.99,7.790,0.36,0.99,7.750,0.767,0.30
72-2,0.91,8.296,0.01,0.91,8.360,0.572,0.01
73-1,0.99,14.291,1.00,0.99,14.316,1.756,1.00
73-2,1.00,12.674,1.00,1.00,12.694,1.402,1.00
73-3,0.99,40.549,1.00,0.99,40.528,2.755,1.00
74-1,0.52,7.581,0.28,0.52,7.562,0.384,0.25
74-2,0.99,7.471,1.00,0.99,7.453,0.396,0.93
75-1,0.16,8.693,0.70,0.16,8.703,0.430,0.70
75-2,1.00,7.064,0.96,1.00,7.030,0.388,0.94
79-1,0.94,7.711,0.61,0.94,7.574,0.592,0.58
79-2,0.73,6.892,0.25,0.73,6.882,0.386,0.26
79-3,0.97,7.131,0.77,0.97,7.089,0.410,0.72
80-1,0.55,7.488,0.29,0.55,7.487,0.372,0.37
80-2,0.99,7.469,1.00,0.99,7.455,0.397,0.95
81-1,0.86,7.100,0.56,0.86,7.065,0.412,0.59
81-2,0.86,7.100,0.56,0.86,7.065,0.412,0.59
82-1,0.96,7.584,0.86,0.96,7.575,0.436,0.87
83-1,0.98,8.339,0.96,0.98,8.342,0.366,0.95
83-2,0.98,8.023,0.94,0.98,8.024,0.361,0.93
84-1,0.84,8.479,0.21,0.84,8.476,0.390,0.22
85-1,0.96,6.406,0.72,0.96,6.390,0.408,0.67
85-2,0.97,6.970,0.87,0.97,6.954,0.414,0.86
86-1,0.85,7.076,0.46,0.85,7.065,0.410,0.48
86-2,0.85,7.076,0.46,0.85,7.065,0.410,0.48
86-3,0.84,7.107,0.30,0.84,7.111,0.411,0.33
87-1,0.92,7.163,0.49,0.92,7.146,0.431,0.49
87-2,0.92,7.504,0.26,0.92,7.500,0.412,0.26
87-3,0.80,7.507,0.62,0.80,7.432,0.436,0.66
88-1,0.97,7.810,0.87,0.97,7.779,0.398,0.85
89-1,0.00,9.422,1.00,0.00,9.429,0.414,1.00
89-2,0.00,9.422,1.00,0.00,9.429,0.414,1.00
89-3,0.00,9.422,1.00,0.00,9.429,0.414,1.00
91-1,0.15,9.422,1.00,0.15,9.407,0.415,0.57
91-2,0.15,9.519,1.00,0.15,9.538,0.437,1.00
91-3,0.15,9.422,1.00,0.15,9.428,0.414,0.91
93-1,0.03,9.933,1.00,0.03,10.155,1.021,1.00
93-2,0.03,11.929,1.00,0.03,12.410,2.859,1.00
94-1,1.00,8.027,0.99,1.00,8.035,0.445,0.99
95-1,0.00,9.422,1.00,0.00,9.429,0.414,1.00
95-2,0.00,9.422,1.00,0.00,9.429,0.414,1.00
96-1,0.40,12.854,1.00,0.40,12.882,0.831,1.00
96-2,0.35,10.571,1.00,0.35,10.592,0.531,1.00
96-3,0.36,10.502,1.00,0.36,10.527,0.512,1.00
97-1,0.00,9.422,1.00,0.00,9.429,0.414,1.00
97-2,0.00,9.422,1.00,0.00,9.429,0.414,1.00
97-3,0.00,9.422,1.00,0.00,9.429,0.414,1.00
