ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.500,0.57,1.00,0.504,0.023,0.54
BLAST-S14,0.99,0.481,0.54,0.99,0.484,0.026,0.55
Naive-S11,1.00,0.204,0.09,1.00,0.204,0.011,0.09
Naive-S14,1.00,0.204,0.13,1.00,0.205,0.012,0.14
101-1,0.99,0.409,0.38,0.99,0.409,0.019,0.38
101-2,0.97,0.484,0.20,0.97,0.486,0.022,0.15
101-3,0.99,0.467,0.39,0.99,0.473,0.023,0.31
102-1,0.99,0.492,0.60,0.99,0.496,0.024,0.57
102-2,0.97,0.471,0.70,0.97,0.477,0.024,0.63
102-3,0.01,0.020,0.01,0.01,0.020,0.013,0.02
103-1,0.02,0.020,0.02,0.02,0.020,0.011,0.10
103-2,0.02,0.028,0.06,0.02,0.028,0.014,0.30
103-3,0.54,0.397,0.17,0.54,0.397,0.027,0.17
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,0.99,0.434,0.92,0.99,0.434,0.022,0.92
105-2,0.98,0.472,0.98,0.98,0.475,0.022,0.99
105-3,0.99,0.450,1.00,0.99,0.450,0.022,1.00
106-1,0.85,0.356,0.07,0.85,0.356,0.025,0.07
106-2,0.54,0.176,0.76,0.54,0.177,0.024,0.78
106-3,0.33,0.257,0.07,0.33,0.256,0.029,0.08
107-1,1.00,0.388,0.79,1.00,0.390,0.021,0.85
107-2,1.00,0.443,0.04,1.00,0.443,0.025,0.04
107-3,0.02,0.029,0.01,0.02,0.029,0.014,0.03
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,0.99,0.445,0.08,0.99,0.446,0.016,0.09
110-2,0.97,0.431,0.63,0.97,0.436,0.024,0.53
110-3,0.98,0.247,0.02,0.98,0.249,0.021,0.07
111-1,0.94,0.420,0.08,0.94,0.422,0.019,0.14
111-2,0.97,0.230,0.24,0.97,0.234,0.018,0.18
111-3,0.13,0.104,0.02,0.13,0.103,0.023,0.02
112-1,1.00,0.463,0.48,1.00,0.465,0.024,0.49
112-2,1.00,0.465,0.48,1.00,0.468,0.024,0.49
112-3,1.00,0.444,0.39,1.00,0.448,0.023,0.44
