ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.499,0.53,1.00,0.498,0.018,0.53
BLAST-S14,0.99,0.488,0.54,0.99,0.486,0.019,0.55
Naive-S11,1.00,0.631,0.09,1.00,0.630,0.005,0.08
Naive-S14,1.00,0.629,0.13,1.00,0.629,0.005,0.13
101-1,0.99,0.569,0.38,0.99,0.569,0.011,0.38
101-2,0.97,0.506,0.10,0.97,0.506,0.014,0.10
101-3,0.99,0.489,0.16,0.99,0.488,0.016,0.22
102-1,0.99,0.473,0.53,0.99,0.472,0.017,0.54
102-2,0.97,0.482,0.66,0.97,0.480,0.017,0.65
102-3,0.01,0.312,0.11,0.01,0.329,0.027,0.24
103-1,0.02,0.462,0.19,0.02,0.463,0.117,0.24
103-2,0.02,0.340,0.85,0.02,0.335,0.114,0.87
103-3,0.54,0.435,0.17,0.54,0.435,0.021,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.99,0.539,0.92,0.99,0.540,0.014,0.92
105-2,0.98,0.508,1.00,0.98,0.506,0.014,0.99
105-3,0.99,0.534,1.00,0.99,0.535,0.015,1.00
106-1,0.85,0.526,0.07,0.85,0.526,0.016,0.08
106-2,0.54,0.598,0.73,0.54,0.598,0.017,0.71
106-3,0.33,0.451,0.07,0.33,0.452,0.028,0.08
107-1,1.00,0.571,1.00,1.00,0.570,0.010,0.90
107-2,1.00,0.511,0.03,1.00,0.508,0.015,0.03
107-3,0.02,0.478,0.09,0.02,0.470,0.157,0.09
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.99,0.620,0.15,0.99,0.620,0.010,0.17
110-2,0.97,0.511,0.44,0.97,0.509,0.015,0.46
110-3,0.98,0.657,0.62,0.98,0.657,0.006,0.64
111-1,0.94,0.605,0.29,0.94,0.603,0.011,0.25
111-2,0.97,0.649,0.59,0.97,0.648,0.008,0.58
111-3,0.13,0.555,0.14,0.13,0.555,0.035,0.14
112-1,1.00,0.493,0.40,1.00,0.492,0.015,0.41
112-2,1.00,0.492,0.40,1.00,0.492,0.015,0.41
112-3,1.00,0.498,0.39,1.00,0.498,0.015,0.40
113-1,1.00,0.499,0.40,1.00,0.499,0.014,0.40
113-2,0.77,0.667,1.00,0.77,0.667,0.008,0.99
113-3,0.63,0.570,0.46,0.63,0.570,0.016,0.47
114-1,1.00,0.472,0.96,1.00,0.471,0.015,0.98
115-1,1.00,0.476,0.42,1.00,0.475,0.015,0.42
116-1,0.85,0.468,0.12,0.85,0.469,0.017,0.17
116-2,0.79,0.485,0.12,0.79,0.485,0.020,0.16
117-1,1.00,0.505,0.11,1.00,0.505,0.015,0.11
117-2,0.38,0.406,1.00,0.38,0.407,0.029,1.00
119-1,0.98,0.467,0.85,0.98,0.466,0.017,0.85
120-1,1.00,0.476,1.00,1.00,0.474,0.015,0.99
120-2,1.00,0.580,0.55,1.00,0.579,0.010,0.53
120-3,0.78,0.614,0.44,0.78,0.614,0.012,0.44
121-1,0.65,0.440,0.51,0.65,0.441,0.018,0.54
121-2,0.04,0.485,0.72,0.04,0.501,0.123,0.74
121-3,0.68,0.441,0.04,0.68,0.440,0.019,0.04
122-1,0.88,0.475,0.73,0.89,0.473,0.016,0.76
124-1,1.00,0.643,0.28,1.00,0.643,0.008,0.27
124-2,1.00,0.646,0.14,1.00,0.645,0.006,0.14
124-3,1.00,0.652,0.25,1.00,0.650,0.007,0.26
125-1,0.98,0.469,0.98,0.98,0.467,0.015,0.98
125-2,0.95,0.520,0.36,0.95,0.517,0.014,0.37
125-3,1.00,0.505,0.62,1.00,0.505,0.016,0.62
126-1,0.97,0.498,0.25,0.97,0.499,0.017,0.25
127-1,0.98,0.447,0.57,0.98,0.446,0.018,0.55
127-2,0.97,0.426,0.15,0.97,0.423,0.019,0.17
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.66,0.558,0.48,0.66,0.558,0.018,0.48
129-1,0.99,0.470,0.46,0.99,0.469,0.017,0.47
129-2,0.30,0.495,0.46,0.30,0.494,0.029,0.45
129-3,0.99,0.470,0.45,0.99,0.470,0.016,0.46
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.90,0.447,0.07,0.90,0.445,0.017,0.14
131-2,0.87,0.449,0.06,0.87,0.446,0.017,0.12
131-3,0.98,0.493,0.12,0.98,0.491,0.016,0.13
132-1,1.00,0.495,0.48,1.00,0.493,0.015,0.48
132-2,1.00,0.500,0.45,1.00,0.499,0.015,0.47
65-1,0.92,0.578,0.12,0.92,0.576,0.012,0.13
65-2,0.87,0.574,0.12,0.87,0.573,0.012,0.13
