ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,7.488,0.73,1.00,7.458,0.435,0.74
BLAST-S14,0.99,7.386,0.73,0.99,7.341,0.428,0.72
Naive-S11,1.00,8.723,0.30,1.00,8.726,0.403,0.29
Naive-S14,1.00,8.797,0.43,1.00,8.791,0.398,0.38
101-1,0.99,8.045,0.48,0.99,8.010,0.433,0.47
101-2,0.97,6.955,0.29,0.97,6.936,0.435,0.30
101-3,0.99,7.320,0.97,0.99,7.266,0.396,0.83
102-1,0.99,7.104,0.70,0.99,7.036,0.399,0.69
102-2,0.97,7.268,0.81,0.97,7.246,0.406,0.81
102-3,0.01,4.029,0.84,0.01,3.917,0.208,0.71
103-1,0.02,11.087,0.81,0.02,10.697,3.915,0.66
103-2,0.02,8.028,0.92,0.02,7.453,3.260,0.90
103-3,0.54,6.618,0.33,0.54,6.631,0.463,0.33
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.99,9.082,0.93,0.99,9.092,0.389,0.93
105-2,0.98,12.575,1.00,0.98,12.587,1.223,1.00
105-3,0.99,17.383,1.00,0.99,17.375,1.536,1.00
106-1,0.85,8.159,0.90,0.85,8.134,0.414,0.89
106-2,0.54,8.145,0.99,0.54,8.113,0.471,0.97
106-3,0.33,7.171,0.29,0.33,7.155,0.667,0.30
107-1,1.00,15.531,1.00,1.00,15.540,1.234,1.00
107-2,1.00,7.598,0.05,1.00,7.558,0.397,0.06
107-3,0.02,11.464,0.13,0.02,11.437,3.827,0.41
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.99,8.509,0.99,0.99,8.488,0.433,0.95
110-2,0.97,6.929,0.79,0.97,6.908,0.377,0.77
110-3,0.98,12.183,1.00,0.98,12.197,0.531,1.00
111-1,0.94,8.192,0.99,0.94,8.177,0.414,0.96
111-2,0.97,11.281,1.00,0.97,11.292,0.503,1.00
111-3,0.13,7.292,0.75,0.13,7.280,0.669,0.77
112-1,1.00,6.884,0.56,1.00,6.840,0.372,0.58
112-2,1.00,6.823,0.57,1.00,6.784,0.371,0.59
112-3,1.00,6.969,0.56,1.00,6.936,0.379,0.55
113-1,1.00,6.925,0.56,1.00,6.891,0.377,0.55
113-2,0.77,13.915,1.00,0.77,13.926,0.598,1.00
113-3,0.63,7.611,0.99,0.63,7.596,0.415,0.97
114-1,1.00,8.035,1.00,1.00,8.045,0.459,1.00
115-1,1.00,7.408,0.72,1.00,7.338,0.401,0.69
116-1,0.85,6.971,0.74,0.85,6.942,0.392,0.66
116-2,0.79,6.562,0.51,0.79,6.550,0.420,0.46
117-1,1.00,7.266,0.15,1.00,7.247,0.464,0.15
117-2,0.38,8.618,1.00,0.38,8.632,1.241,1.00
119-1,0.98,6.553,0.98,0.98,6.514,0.398,0.98
120-1,1.00,8.424,1.00,1.00,8.433,0.498,1.00
120-2,1.00,8.309,0.79,1.00,8.296,0.384,0.80
120-3,0.78,8.155,0.72,0.78,8.134,0.390,0.73
121-1,0.65,7.164,0.51,0.65,7.173,0.438,0.54
121-2,0.04,4.327,0.72,0.04,4.271,0.998,0.78
121-3,0.68,6.510,0.18,0.68,6.495,0.460,0.26
122-1,0.88,7.356,1.00,0.89,7.363,0.417,1.00
124-1,1.00,8.905,0.40,1.00,8.897,0.406,0.41
124-2,1.00,8.900,0.30,1.00,8.903,0.406,0.30
124-3,1.00,9.031,0.38,1.00,9.026,0.406,0.39
125-1,0.98,8.029,1.00,0.98,8.038,0.461,1.00
125-2,0.95,8.115,0.63,0.95,8.027,0.372,0.71
125-3,1.00,8.586,0.89,1.00,8.568,0.399,0.91
126-1,0.97,6.977,0.60,0.97,6.946,0.407,0.56
127-1,0.98,6.396,0.72,0.98,6.388,0.405,0.72
127-2,0.97,5.685,0.23,0.97,5.675,0.391,0.24
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.66,15.750,1.00,0.66,15.782,2.173,0.99
129-1,0.99,6.348,0.56,0.99,6.308,0.418,0.57
129-2,0.30,8.708,0.51,0.30,8.631,0.991,0.51
129-3,0.99,6.323,0.56,0.99,6.305,0.418,0.57
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.90,6.620,0.46,0.90,6.627,0.407,0.50
131-2,0.87,6.785,0.28,0.87,6.773,0.387,0.37
131-3,0.98,7.099,0.29,0.98,7.068,0.398,0.30
132-1,1.00,7.058,0.59,1.00,7.021,0.370,0.60
132-2,1.00,7.093,0.57,1.00,7.090,0.383,0.58
65-1,0.92,7.648,0.24,0.92,7.633,0.437,0.24
65-2,0.87,7.504,0.24,0.87,7.500,0.441,0.24
65-3,0.92,7.659,0.26,0.92,7.637,0.436,0.25
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,0.16,5.796,0.97,0.16,5.751,0.772,0.89
69-2,1.00,7.091,0.96,1.00,7.052,0.386,0.93
70-1,1.00,6.535,0.30,1.00,6.491,0.393,0.29
70-2,1.00,7.924,0.15,1.00,7.932,0.415,0.15
70-3,1.00,7.989,0.16,1.00,7.978,0.384,0.18
72-1,0.99,7.807,0.36,0.99,7.766,0.777,0.30
72-2,0.91,8.318,0.01,0.91,8.392,0.655,0.01
