ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.593,0.42,1.00,0.592,0.006,0.43
BLAST-S14,0.97,0.585,0.42,0.97,0.585,0.007,0.42
Naive-S11,1.00,0.614,0.09,1.00,0.614,0.004,0.09
Naive-S14,1.00,0.609,0.13,1.00,0.609,0.004,0.13
101-1,0.94,0.582,0.37,0.94,0.582,0.006,0.37
101-2,0.89,0.554,0.10,0.89,0.554,0.009,0.09
101-3,0.94,0.535,0.13,0.94,0.535,0.008,0.12
102-1,0.99,0.531,0.49,0.99,0.531,0.009,0.49
102-2,0.94,0.539,0.51,0.94,0.538,0.008,0.50
102-3,0.02,0.985,0.01,0.02,0.985,0.005,0.03
103-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-3,0.55,0.648,0.17,0.55,0.648,0.013,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,0.98,0.565,0.92,0.98,0.566,0.007,0.92
105-2,0.95,0.555,0.98,0.95,0.555,0.007,0.98
105-3,0.97,0.562,1.00,0.97,0.563,0.007,1.00
106-1,0.75,0.624,0.03,0.75,0.624,0.009,0.03
106-2,0.40,0.795,0.60,0.40,0.795,0.010,0.60
106-3,0.29,0.812,0.03,0.29,0.812,0.012,0.04
107-1,1.00,0.581,0.78,1.00,0.581,0.007,0.78
107-2,1.00,0.549,0.03,1.00,0.549,0.008,0.03
107-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.97,0.634,0.19,0.97,0.634,0.006,0.18
110-2,0.94,0.574,0.50,0.94,0.573,0.007,0.44
110-3,1.00,0.646,0.87,1.00,0.646,0.005,0.87
111-1,0.94,0.622,0.19,0.94,0.622,0.005,0.19
111-2,0.98,0.643,0.59,0.98,0.642,0.005,0.60
111-3,0.15,0.921,0.01,0.15,0.921,0.009,0.01
112-1,1.00,0.545,0.40,1.00,0.545,0.007,0.40
112-2,1.00,0.548,0.40,1.00,0.547,0.007,0.41
112-3,1.00,0.554,0.40,1.00,0.554,0.007,0.40
113-1,1.00,0.557,0.40,1.00,0.557,0.007,0.39
113-2,0.80,0.657,0.66,0.80,0.657,0.005,0.69
113-3,0.63,0.640,0.19,0.63,0.640,0.006,0.18
114-1,1.00,0.513,0.88,1.00,0.513,0.008,0.86
115-1,1.00,0.526,0.32,1.00,0.526,0.007,0.33
116-1,0.61,0.655,0.01,0.61,0.656,0.012,0.03
116-2,0.60,0.674,0.01,0.60,0.674,0.013,0.03
117-1,1.00,0.548,0.11,1.00,0.548,0.008,0.11
117-2,0.23,0.835,1.00,0.23,0.835,0.013,1.00
119-1,0.96,0.537,0.69,0.96,0.537,0.008,0.71
120-1,1.00,0.518,0.97,1.00,0.517,0.008,0.96
120-2,1.00,0.579,0.53,1.00,0.578,0.006,0.54
120-3,0.76,0.659,0.44,0.76,0.659,0.009,0.44
121-1,0.49,0.691,0.23,0.49,0.692,0.013,0.33
121-2,0.09,0.935,0.23,0.09,0.935,0.009,0.27
121-3,0.70,0.600,0.01,0.70,0.601,0.011,0.01
122-1,0.85,0.545,0.69,0.85,0.545,0.009,0.70
124-1,1.00,0.601,0.28,1.00,0.601,0.005,0.28
124-2,1.00,0.615,0.16,1.00,0.615,0.005,0.16
124-3,1.00,0.626,0.27,1.00,0.625,0.005,0.26
125-1,0.96,0.514,0.88,0.96,0.513,0.008,0.86
125-2,0.91,0.550,0.31,0.91,0.550,0.007,0.31
125-3,0.99,0.560,0.62,0.99,0.560,0.008,0.61
126-1,0.26,0.874,0.25,0.26,0.874,0.010,0.25
127-1,0.93,0.516,0.46,0.93,0.515,0.009,0.46
127-2,0.92,0.498,0.13,0.92,0.498,0.009,0.13
127-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
128-1,0.59,0.648,0.01,0.59,0.648,0.006,0.02
129-1,0.98,0.522,0.43,0.98,0.521,0.008,0.43
129-2,0.32,0.749,0.14,0.32,0.749,0.010,0.18
