ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,8.118,0.84,1.00,8.088,0.230,0.79
BLAST-S14,0.97,8.088,0.68,0.97,8.060,0.235,0.72
Naive-S11,1.00,8.061,0.11,1.00,8.062,0.218,0.11
Naive-S14,1.00,8.061,0.17,1.00,8.062,0.218,0.17
101-1,0.94,8.056,0.45,0.94,8.047,0.239,0.46
101-2,0.89,7.300,0.25,0.89,7.277,0.258,0.28
101-3,0.94,7.371,0.69,0.94,7.341,0.234,0.83
102-1,0.99,7.400,0.77,0.99,7.398,0.240,0.77
102-2,0.94,7.687,0.83,0.94,7.680,0.254,0.83
102-3,0.02,6.123,0.87,0.02,6.082,1.154,0.86
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.55,6.990,0.33,0.55,6.999,0.325,0.33
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,8.531,0.94,0.98,8.528,0.241,0.94
105-2,0.95,13.492,1.00,0.95,13.491,0.774,1.00
105-3,0.97,17.089,1.00,0.97,17.089,0.917,1.00
106-1,0.75,8.172,0.99,0.75,8.162,0.290,0.96
106-2,0.40,8.437,0.99,0.40,8.433,0.366,0.99
106-3,0.29,8.844,0.23,0.29,8.757,0.559,0.30
107-1,1.00,15.324,1.00,1.00,15.324,0.722,1.00
107-2,1.00,7.799,0.08,1.00,7.773,0.228,0.08
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.97,8.356,0.97,0.97,8.349,0.244,0.97
110-2,0.94,7.560,0.89,0.94,7.542,0.247,0.85
110-3,1.00,11.024,1.00,1.00,11.028,0.265,1.00
111-1,0.94,8.158,0.98,0.94,8.152,0.243,0.97
111-2,0.98,10.277,1.00,0.98,10.280,0.257,1.00
111-3,0.15,9.027,0.67,0.15,9.005,0.836,0.73
112-1,1.00,7.472,0.73,1.00,7.450,0.235,0.70
112-2,1.00,7.455,0.72,1.00,7.428,0.235,0.69
112-3,1.00,7.561,0.61,1.00,7.551,0.233,0.62
113-1,1.00,7.565,0.63,1.00,7.545,0.231,0.63
113-2,0.80,12.091,1.00,0.80,12.094,0.264,1.00
113-3,0.63,7.871,0.95,0.63,7.858,0.277,0.96
114-1,1.00,7.693,1.00,1.00,7.701,0.254,1.00
115-1,1.00,7.353,0.66,1.00,7.337,0.222,0.67
116-1,0.61,7.666,0.79,0.61,7.622,0.289,0.80
116-2,0.60,7.374,0.34,0.60,7.352,0.335,0.43
117-1,1.00,7.099,0.13,1.00,7.102,0.228,0.13
117-2,0.23,9.461,1.00,0.23,9.470,0.696,1.00
119-1,0.96,7.450,0.98,0.96,7.448,0.229,0.98
120-1,1.00,8.292,1.00,1.00,8.299,0.303,1.00
120-2,1.00,7.737,0.79,1.00,7.732,0.222,0.80
120-3,0.76,7.353,0.68,0.76,7.345,0.240,0.68
121-1,0.49,8.443,0.60,0.49,8.452,0.357,0.59
121-2,0.09,5.406,0.85,0.09,5.391,0.777,0.77
121-3,0.70,7.107,0.11,0.70,7.076,0.252,0.25
122-1,0.85,7.514,0.99,0.85,7.512,0.242,0.99
124-1,1.00,8.177,0.40,1.00,8.176,0.236,0.40
124-2,1.00,8.107,0.34,1.00,8.107,0.237,0.34
124-3,1.00,8.193,0.40,1.00,8.191,0.236,0.41
125-1,0.96,7.801,1.00,0.96,7.810,0.263,1.00
125-2,0.91,8.231,0.85,0.91,8.214,0.240,0.86
125-3,0.99,8.418,0.94,0.99,8.412,0.251,0.92
126-1,0.26,8.422,0.67,0.26,8.355,0.499,0.58
127-1,0.93,6.847,0.65,0.93,6.817,0.248,0.67
127-2,0.92,6.534,0.23,0.92,6.524,0.246,0.23
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.59,11.638,1.00,0.59,11.657,0.833,1.00
129-1,0.98,6.897,0.54,0.98,6.892,0.235,0.54
129-2,0.32,8.436,0.52,0.32,8.425,0.505,0.52
129-3,0.98,6.882,0.54,0.98,6.879,0.235,0.54
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.75,7.456,0.77,0.75,7.413,0.267,0.73
131-2,0.77,7.484,0.46,0.77,7.472,0.269,0.53
131-3,0.97,7.441,0.48,0.97,7.428,0.228,0.44
132-1,1.00,7.479,0.66,1.00,7.453,0.239,0.66
132-2,1.00,7.485,0.60,1.00,7.478,0.235,0.61
65-1,0.98,8.374,0.49,0.98,8.368,0.232,0.48
65-2,0.97,8.386,0.42,0.97,8.374,0.229,0.41
65-3,0.98,8.357,0.44,0.98,8.354,0.228,0.44
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,0.39,5.643,0.99,0.39,5.609,0.237,0.99
69-2,1.00,7.260,0.96,1.00,7.247,0.231,0.97
70-1,1.00,6.756,0.21,1.00,6.752,0.230,0.23
70-2,1.00,7.825,0.15,1.00,7.812,0.231,0.16
70-3,1.00,7.942,0.20,1.00,7.934,0.225,0.21
72-1,0.99,7.785,0.46,0.99,7.745,0.224,0.37
72-2,0.91,7.410,0.01,0.91,7.414,0.249,0.01
73-1,1.00,13.790,1.00,1.00,13.805,0.913,1.00
73-2,1.00,13.297,1.00,1.00,13.311,0.861,1.00
73-3,0.99,40.180,1.00,0.99,40.182,1.431,1.00
74-1,0.52,7.203,0.36,0.52,7.172,0.279,0.35
74-2,0.98,7.323,0.80,0.98,7.308,0.222,0.82
75-1,0.39,5.653,1.00,0.39,5.618,0.236,0.99
75-2,1.00,7.254,0.96,1.00,7.241,0.231,0.97
79-1,0.85,8.041,0.75,0.85,7.963,0.299,0.70
79-2,0.59,7.322,0.31,0.59,7.307,0.334,0.33
79-3,0.97,7.258,0.85,0.97,7.261,0.245,0.85
80-1,0.59,6.992,0.49,0.59,6.962,0.263,0.57
80-2,0.99,7.373,0.80,0.99,7.360,0.226,0.81
81-1,0.72,7.541,0.55,0.72,7.517,0.281,0.57
81-2,0.72,7.541,0.55,0.72,7.519,0.281,0.57
82-1,0.90,7.824,0.88,0.90,7.805,0.254,0.88
83-1,0.97,7.770,0.91,0.97,7.768,0.241,0.89
83-2,0.97,7.520,0.81,0.97,7.517,0.238,0.84
84-1,0.75,8.461,0.33,0.75,8.446,0.258,0.30
85-1,0.95,7.056,0.62,0.95,7.020,0.242,0.59
85-2,0.96,7.607,0.87,0.96,7.574,0.262,0.84
86-1,0.70,7.033,0.31,0.70,7.019,0.279,0.33
86-2,0.70,7.033,0.31,0.70,7.019,0.279,0.33
86-3,0.63,7.155,0.30,0.63,7.153,0.302,0.31
87-1,0.87,7.601,0.50,0.87,7.595,0.257,0.50
87-2,0.86,8.042,0.26,0.86,7.999,0.253,0.25
87-3,0.69,7.923,0.75,0.69,7.902,0.283,0.75
88-1,0.94,7.593,0.90,0.94,7.593,0.238,0.90
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.16,10.382,1.00,0.16,10.386,0.860,1.00
91-2,0.16,22.847,1.00,0.16,22.882,1.924,1.00
91-3,0.16,10.382,1.00,0.16,10.386,0.860,1.00
93-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
94-1,0.99,8.333,1.00,0.99,8.342,0.260,1.00
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.39,23.283,1.00,0.39,23.272,0.762,1.00
96-2,0.36,16.497,1.00,0.36,16.513,0.590,1.00
