ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.375,0.43,1.00,0.376,0.011,0.43
BLAST-S14,0.97,0.350,0.42,0.97,0.352,0.013,0.43
Naive-S11,1.00,0.238,0.11,1.00,0.238,0.009,0.11
Naive-S14,1.00,0.238,0.17,1.00,0.238,0.009,0.17
101-1,0.94,0.399,0.37,0.94,0.399,0.012,0.35
101-2,0.89,0.451,0.10,0.89,0.450,0.013,0.10
101-3,0.94,0.421,0.09,0.94,0.422,0.013,0.10
102-1,0.99,0.421,0.42,0.99,0.424,0.013,0.45
102-2,0.94,0.428,0.46,0.94,0.428,0.013,0.46
102-3,0.02,0.386,0.45,0.02,0.428,0.101,0.60
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.55,0.469,0.17,0.55,0.469,0.018,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.368,0.92,0.98,0.368,0.013,0.92
105-2,0.95,0.387,0.96,0.95,0.389,0.013,0.97
105-3,0.97,0.377,1.00,0.97,0.377,0.013,1.00
106-1,0.75,0.354,0.03,0.75,0.353,0.015,0.04
106-2,0.40,0.172,0.77,0.40,0.174,0.018,0.77
106-3,0.29,0.435,0.03,0.29,0.434,0.024,0.05
107-1,1.00,0.354,0.78,1.00,0.356,0.013,0.78
107-2,1.00,0.371,0.03,1.00,0.371,0.014,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.97,0.459,0.07,0.97,0.460,0.008,0.06
110-2,0.94,0.370,0.29,0.94,0.370,0.012,0.30
110-3,1.00,0.278,0.06,1.00,0.280,0.012,0.10
111-1,0.94,0.448,0.07,0.94,0.449,0.009,0.09
111-2,0.98,0.265,0.23,0.98,0.265,0.011,0.18
111-3,0.15,0.387,0.01,0.15,0.385,0.032,0.02
112-1,1.00,0.377,0.40,1.00,0.378,0.013,0.41
112-2,1.00,0.372,0.40,1.00,0.375,0.013,0.42
112-3,1.00,0.360,0.40,1.00,0.360,0.013,0.40
113-1,1.00,0.353,0.34,1.00,0.356,0.012,0.36
113-2,0.80,0.147,0.30,0.80,0.151,0.010,0.40
113-3,0.63,0.363,0.28,0.63,0.367,0.015,0.29
114-1,1.00,0.446,0.93,1.00,0.448,0.013,0.90
115-1,1.00,0.415,0.34,1.00,0.416,0.012,0.34
116-1,0.61,0.427,0.10,0.61,0.427,0.017,0.20
116-2,0.60,0.453,0.10,0.60,0.454,0.018,0.22
117-1,1.00,0.444,0.11,1.00,0.445,0.011,0.11
117-2,0.23,0.460,1.00,0.23,0.460,0.031,1.00
119-1,0.96,0.432,0.77,0.96,0.434,0.013,0.81
120-1,1.00,0.452,0.93,1.00,0.453,0.013,0.94
120-2,1.00,0.313,0.59,1.00,0.314,0.012,0.59
120-3,0.76,0.313,0.49,0.76,0.314,0.014,0.52
121-1,0.49,0.458,0.44,0.49,0.458,0.019,0.48
121-2,0.09,0.582,0.44,0.09,0.586,0.051,0.48
121-3,0.70,0.473,0.01,0.70,0.473,0.014,0.01
122-1,0.85,0.470,0.69,0.85,0.470,0.013,0.71
124-1,1.00,0.269,0.34,1.00,0.269,0.011,0.33
