ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,7.855,0.63,0.99,7.806,0.335,0.66
BLAST-S14,0.98,7.705,0.63,0.98,7.680,0.331,0.64
Naive-S11,1.00,8.540,0.30,1.00,8.534,0.324,0.30
Naive-S14,1.00,8.610,0.43,1.00,8.602,0.323,0.41
101-1,0.95,8.080,0.46,0.95,8.061,0.330,0.46
101-2,0.92,6.732,0.27,0.92,6.728,0.337,0.27
101-3,0.95,7.103,0.88,0.95,7.083,0.306,0.88
102-1,1.00,6.866,0.70,1.00,6.824,0.315,0.69
102-2,0.95,7.184,0.81,0.95,7.144,0.322,0.81
102-3,0.02,9.073,0.03,0.02,9.068,0.331,0.09
103-1,0.00,9.200,1.00,0.00,9.194,0.327,1.00
103-2,0.00,9.200,1.00,0.00,9.194,0.327,1.00
103-3,0.49,7.174,0.17,0.49,7.173,0.306,0.17
104-1,0.00,9.200,1.00,0.00,9.194,0.327,1.00
104-2,0.00,9.200,1.00,0.00,9.194,0.327,1.00
104-3,0.00,9.200,1.00,0.00,9.194,0.327,1.00
105-1,0.99,8.869,0.93,0.99,8.868,0.310,0.93
105-2,0.97,10.188,1.00,0.97,10.203,0.691,1.00
105-3,0.97,14.461,1.00,0.97,14.476,0.966,1.00
106-1,0.80,7.950,0.90,0.80,7.935,0.321,0.88
106-2,0.49,8.474,0.90,0.49,8.457,0.317,0.89
106-3,0.26,8.223,0.07,0.26,8.218,0.325,0.08
107-1,1.00,13.525,1.00,1.00,13.530,0.884,1.00
107-2,1.00,7.303,0.06,1.00,7.271,0.320,0.06
107-3,0.00,9.200,1.00,0.00,9.194,0.327,1.00
108-1,0.00,9.200,1.00,0.00,9.194,0.327,1.00
109-1,0.00,9.200,1.00,0.00,9.194,0.327,1.00
110-1,0.99,8.350,0.88,0.99,8.327,0.338,0.88
110-2,0.95,7.236,0.78,0.95,7.209,0.323,0.76
110-3,0.99,11.498,1.00,0.99,11.504,0.373,1.00
111-1,0.93,8.304,0.88,0.93,8.278,0.339,0.88
111-2,0.98,10.783,1.00,0.98,10.788,0.359,1.00
111-3,0.09,8.952,0.02,0.09,8.952,0.327,0.07
112-1,1.00,7.049,0.57,1.00,7.017,0.320,0.59
112-2,1.00,7.013,0.61,1.00,6.986,0.320,0.61
112-3,0.99,7.106,0.57,0.99,7.086,0.319,0.58
113-1,0.99,7.075,0.57,0.99,7.057,0.319,0.58
113-2,0.77,11.397,1.00,0.77,11.404,0.363,1.00
113-3,0.54,8.487,0.88,0.54,8.460,0.336,0.87
114-1,1.00,7.156,1.00,1.00,7.161,0.311,1.00
115-1,1.00,7.279,0.66,1.00,7.235,0.305,0.69
116-1,0.82,7.119,0.73,0.82,7.074,0.299,0.56
116-2,0.76,7.011,0.12,0.77,7.000,0.309,0.25
117-1,1.00,6.996,0.15,1.00,6.980,0.323,0.15
117-2,0.34,7.768,1.00,0.34,7.770,0.349,1.00
119-1,0.96,6.864,0.89,0.96,6.845,0.322,0.90
120-1,1.00,7.317,1.00,1.00,7.322,0.321,1.00
120-2,1.00,8.081,0.79,1.00,8.061,0.301,0.80
120-3,0.76,8.270,0.68,0.77,8.245,0.311,0.66
121-1,0.57,6.908,0.51,0.57,6.907,0.294,0.54
121-2,0.04,9.037,0.27,0.04,9.031,0.333,0.45
121-3,0.64,6.818,0.04,0.64,6.796,0.299,0.06
122-1,0.84,7.219,0.99,0.84,7.206,0.301,0.97
124-1,1.00,8.424,0.39,1.00,8.418,0.330,0.39
124-2,1.00,8.597,0.31,1.00,8.585,0.323,0.31
124-3,1.00,8.599,0.39,1.00,8.589,0.327,0.39
125-1,0.97,7.154,1.00,0.97,7.159,0.310,1.00
125-2,0.92,7.865,0.63,0.92,7.820,0.310,0.61
125-3,0.99,8.526,0.90,0.99,8.501,0.324,0.89
126-1,0.98,6.752,0.60,0.98,6.729,0.318,0.52
127-1,0.96,6.324,0.72,0.96,6.302,0.330,0.71
127-2,0.95,5.972,0.21,0.95,5.952,0.321,0.22
127-3,0.00,9.200,1.00,0.00,9.194,0.327,1.00
128-1,0.65,10.720,0.97,0.65,10.754,0.736,0.97
129-1,0.99,6.269,0.55,0.99,6.238,0.328,0.55
129-2,0.26,8.271,0.46,0.26,8.260,0.321,0.46
129-3,0.99,6.256,0.56,0.99,6.230,0.330,0.55
130-1,0.00,9.200,1.00,0.00,9.194,0.327,1.00
130-2,0.00,9.200,1.00,0.00,9.194,0.327,1.00
130-3,0.00,9.200,1.00,0.00,9.194,0.327,1.00
131-1,0.81,6.615,0.45,0.81,6.611,0.304,0.46
131-2,0.80,6.735,0.28,0.80,6.714,0.302,0.29
131-3,0.98,7.045,0.29,0.98,7.012,0.315,0.32
132-1,1.00,7.184,0.57,1.00,7.147,0.316,0.60
132-2,0.99,7.190,0.57,0.99,7.179,0.317,0.58
65-1,0.91,7.641,0.24,0.91,7.613,0.332,0.23
65-2,0.86,7.621,0.24,0.86,7.602,0.333,0.23
65-3,0.90,7.621,0.24,0.90,7.604,0.333,0.24
68-1,0.00,9.200,1.00,0.00,9.194,0.327,1.00
68-2,0.00,9.200,1.00,0.00,9.194,0.327,1.00
69-1,0.18,8.506,0.18,0.18,8.486,0.339,0.27
69-2,1.00,7.036,1.00,1.00,7.020,0.322,0.99
70-1,1.00,6.518,0.30,1.00,6.488,0.320,0.28
70-2,1.00,7.875,0.15,1.00,7.869,0.324,0.15
70-3,1.00,7.687,0.16,1.00,7.681,0.314,0.16
72-1,0.99,7.034,0.01,0.99,7.022,0.461,0.07
72-2,0.92,7.850,0.01,0.91,7.863,0.358,0.01
73-1,1.00,13.447,1.00,1.00,13.463,1.243,1.00
73-2,1.00,12.567,1.00,1.00,12.584,1.092,1.00
73-3,0.99,39.097,1.00,0.99,39.071,1.962,1.00
74-1,0.51,7.513,0.25,0.51,7.492,0.317,0.23
74-2,0.99,7.255,0.99,0.99,7.220,0.311,0.94
75-1,0.18,8.401,0.50,0.18,8.395,0.343,0.50
75-2,1.00,7.012,1.00,1.00,6.997,0.323,0.99
79-1,0.92,7.380,0.54,0.92,7.246,0.440,0.52
79-2,0.58,7.079,0.23,0.58,7.062,0.320,0.23
79-3,0.98,7.007,0.77,0.98,6.965,0.333,0.70
80-1,0.56,7.290,0.25,0.56,7.268,0.310,0.33
80-2,0.99,7.245,0.99,0.99,7.211,0.312,0.94
81-1,0.78,7.175,0.56,0.78,7.134,0.318,0.47
81-2,0.78,7.194,0.56,0.78,7.141,0.318,0.47
82-1,0.92,7.467,0.86,0.91,7.455,0.339,0.86
83-1,0.98,7.972,0.78,0.98,7.947,0.293,0.77
83-2,0.98,7.791,0.78,0.98,7.755,0.293,0.70
84-1,0.81,8.388,0.20,0.81,8.376,0.318,0.20
85-1,0.97,6.257,0.63,0.97,6.239,0.322,0.61
85-2,0.99,6.941,0.87,0.99,6.908,0.324,0.83
86-1,0.92,7.231,0.46,0.92,7.210,0.332,0.49
86-2,0.92,7.231,0.46,0.92,7.210,0.332,0.49
86-3,0.90,7.330,0.36,0.90,7.305,0.330,0.36
87-1,0.86,7.052,0.49,0.86,6.997,0.336,0.48
87-2,0.86,7.471,0.24,0.86,7.459,0.315,0.24
87-3,0.69,7.517,0.62,0.69,7.495,0.335,0.61
88-1,0.95,7.456,0.88,0.95,7.426,0.325,0.82
89-1,0.00,9.200,1.00,0.00,9.194,0.327,1.00
89-2,0.00,9.200,1.00,0.00,9.194,0.327,1.00
89-3,0.00,9.200,1.00,0.00,9.194,0.327,1.00
91-1,0.12,9.194,0.05,0.12,9.170,0.327,0.41
91-2,0.12,9.211,1.00,0.12,9.211,0.330,1.00
91-3,0.12,9.200,1.00,0.12,9.194,0.327,0.91
93-1,0.00,9.200,1.00,0.00,9.194,0.327,1.00
93-2,0.00,9.200,1.00,0.00,9.194,0.327,1.00
94-1,0.99,7.545,1.00,0.99,7.545,0.313,1.00
95-1,0.00,9.200,1.00,0.00,9.194,0.327,1.00
95-2,0.00,9.200,1.00,0.00,9.194,0.327,1.00
96-1,0.46,13.432,1.00,0.46,13.446,0.637,1.00
96-2,0.41,10.704,1.00,0.41,10.713,0.428,1.00
96-3,0.40,11.109,1.00,0.40,11.119,0.467,1.00
97-1,0.00,9.200,1.00,0.00,9.194,0.327,1.00
97-2,0.00,9.200,1.00,0.00,9.194,0.327,1.00
97-3,0.00,9.200,1.00,0.00,9.194,0.327,1.00
98-1,0.55,9.058,0.53,0.55,9.045,0.329,0.54
99-1,0.97,6.390,0.16,0.97,6.376,0.343,0.16
