ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.551,0.46,0.99,0.548,0.011,0.44
BLAST-S14,0.98,0.545,0.46,0.98,0.543,0.012,0.44
Naive-S11,1.00,0.629,0.09,1.00,0.629,0.004,0.09
Naive-S14,1.00,0.627,0.13,1.00,0.627,0.004,0.13
101-1,0.95,0.567,0.38,0.95,0.568,0.009,0.38
101-2,0.92,0.493,0.10,0.92,0.493,0.011,0.10
101-3,0.95,0.492,0.16,0.95,0.492,0.011,0.16
102-1,1.00,0.482,0.53,1.00,0.481,0.012,0.52
102-2,0.95,0.481,0.63,0.95,0.479,0.013,0.61
102-3,0.02,0.463,0.48,0.02,0.437,0.092,0.63
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.49,0.426,0.17,0.49,0.426,0.015,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.99,0.527,0.92,0.99,0.527,0.010,0.92
105-2,0.97,0.506,0.99,0.97,0.504,0.010,0.99
105-3,0.97,0.521,1.00,0.97,0.522,0.010,1.00
106-1,0.80,0.539,0.07,0.80,0.539,0.011,0.07
106-2,0.49,0.620,0.62,0.49,0.619,0.012,0.65
106-3,0.26,0.466,0.07,0.26,0.467,0.021,0.07
107-1,1.00,0.573,0.79,1.00,0.571,0.009,0.78
107-2,1.00,0.511,0.03,1.00,0.510,0.011,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.99,0.633,0.15,0.99,0.633,0.009,0.15
110-2,0.95,0.520,0.45,0.95,0.519,0.012,0.45
110-3,0.99,0.654,0.61,0.99,0.654,0.006,0.62
111-1,0.93,0.618,0.15,0.93,0.617,0.008,0.19
111-2,0.98,0.651,0.59,0.98,0.650,0.006,0.57
111-3,0.09,0.576,0.20,0.09,0.574,0.029,0.20
112-1,1.00,0.509,0.39,1.00,0.509,0.011,0.39
112-2,1.00,0.510,0.40,1.00,0.510,0.011,0.40
112-3,0.99,0.513,0.39,0.99,0.513,0.011,0.39
113-1,0.99,0.515,0.40,0.99,0.514,0.011,0.39
113-2,0.77,0.656,1.00,0.77,0.657,0.008,0.99
113-3,0.54,0.567,0.56,0.54,0.564,0.014,0.58
114-1,1.00,0.477,0.96,1.00,0.477,0.012,0.95
115-1,1.00,0.489,0.42,1.00,0.487,0.011,0.40
116-1,0.82,0.471,0.12,0.82,0.471,0.013,0.11
116-2,0.76,0.490,0.12,0.77,0.490,0.015,0.11
117-1,1.00,0.527,0.11,1.00,0.527,0.011,0.11
117-2,0.34,0.377,1.00,0.34,0.378,0.023,1.00
119-1,0.96,0.482,0.69,0.96,0.479,0.013,0.76
120-1,1.00,0.480,0.96,1.00,0.479,0.011,0.97
120-2,1.00,0.575,0.52,1.00,0.575,0.008,0.53
120-3,0.76,0.606,0.44,0.77,0.606,0.010,0.44
121-1,0.57,0.429,0.51,0.57,0.429,0.014,0.54
121-2,0.04,0.437,0.27,0.04,0.440,0.079,0.42
121-3,0.64,0.438,0.04,0.64,0.437,0.013,0.03
122-1,0.84,0.482,0.70,0.84,0.481,0.012,0.72
124-1,1.00,0.629,0.28,1.00,0.628,0.006,0.27
124-2,1.00,0.643,0.14,1.00,0.643,0.005,0.15
124-3,1.00,0.642,0.23,1.00,0.642,0.005,0.24
125-1,0.97,0.471,0.96,0.97,0.471,0.012,0.96
125-2,0.92,0.512,0.29,0.92,0.509,0.010,0.32
125-3,0.99,0.538,0.60,0.99,0.538,0.012,0.60
126-1,0.98,0.499,0.25,0.98,0.499,0.013,0.25
127-1,0.96,0.452,0.51,0.96,0.449,0.013,0.54
127-2,0.95,0.442,0.15,0.95,0.441,0.014,0.16
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.65,0.566,0.44,0.65,0.567,0.013,0.43
129-1,0.99,0.470,0.46,0.99,0.469,0.012,0.46
129-2,0.26,0.504,0.46,0.26,0.503,0.024,0.45
129-3,0.99,0.470,0.46,0.99,0.470,0.012,0.45
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.81,0.443,0.07,0.81,0.442,0.013,0.14
131-2,0.80,0.442,0.07,0.80,0.441,0.013,0.09
131-3,0.98,0.502,0.14,0.98,0.501,0.011,0.13
132-1,1.00,0.508,0.46,1.00,0.507,0.011,0.46
132-2,0.99,0.511,0.45,0.99,0.511,0.011,0.45
65-1,0.91,0.560,0.12,0.91,0.558,0.010,0.13
65-2,0.86,0.557,0.12,0.86,0.555,0.011,0.13
65-3,0.90,0.560,0.13,0.90,0.560,0.010,0.13
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,0.18,0.423,0.62,0.18,0.417,0.030,0.70
69-2,1.00,0.504,0.29,1.00,0.503,0.011,0.34
70-1,1.00,0.501,0.09,1.00,0.500,0.011,0.10
70-2,1.00,0.584,0.10,1.00,0.584,0.006,0.10
70-3,1.00,0.578,0.10,1.00,0.578,0.009,0.10
72-1,0.99,0.503,0.01,0.99,0.503,0.015,0.01
72-2,0.92,0.711,0.01,0.91,0.710,0.017,0.01
73-1,1.00,0.557,0.99,1.00,0.557,0.010,0.99
73-2,1.00,0.556,0.99,1.00,0.556,0.010,0.99
73-3,0.99,0.678,1.00,0.99,0.679,0.013,0.99
74-1,0.51,0.488,0.12,0.51,0.487,0.017,0.12
74-2,0.99,0.507,0.21,0.99,0.506,0.011,0.22
75-1,0.18,0.423,0.78,0.18,0.414,0.028,0.78
75-2,1.00,0.483,0.68,1.00,0.483,0.011,0.67
79-1,0.92,0.465,0.14,0.92,0.463,0.012,0.15
79-2,0.58,0.444,0.22,0.58,0.443,0.016,0.20
79-3,0.98,0.470,0.12,0.98,0.470,0.011,0.12
80-1,0.56,0.476,0.11,0.56,0.474,0.016,0.16
80-2,0.99,0.504,0.40,0.99,0.504,0.010,0.37
81-1,0.78,0.480,0.01,0.78,0.480,0.014,0.03
81-2,0.78,0.480,0.01,0.78,0.480,0.014,0.03
82-1,0.92,0.533,0.76,0.91,0.531,0.011,0.75
83-1,0.98,0.532,0.25,0.98,0.531,0.009,0.26
83-2,0.98,0.525,0.25,0.98,0.525,0.009,0.25
84-1,0.81,0.648,0.07,0.81,0.648,0.006,0.07
85-1,0.97,0.448,0.29,0.97,0.447,0.013,0.31
85-2,0.99,0.468,0.40,0.99,0.468,0.012,0.43
86-1,0.92,0.547,0.30,0.92,0.547,0.014,0.30
86-2,0.92,0.547,0.30,0.92,0.547,0.014,0.30
86-3,0.90,0.608,0.30,0.90,0.608,0.018,0.30
87-1,0.86,0.476,0.45,0.86,0.475,0.015,0.45
87-2,0.86,0.523,0.19,0.86,0.522,0.010,0.19
87-3,0.69,0.477,0.37,0.69,0.476,0.014,0.38
88-1,0.95,0.467,0.06,0.95,0.466,0.014,0.08
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.12,0.670,0.04,0.12,0.670,0.009,0.04
91-2,0.12,0.673,1.00,0.12,0.674,0.011,1.00
