ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,7.823,0.63,0.99,7.771,0.338,0.66
BLAST-S14,0.98,7.732,0.63,0.98,7.706,0.336,0.64
Naive-S11,1.00,8.540,0.30,1.00,8.534,0.324,0.30
Naive-S14,1.00,8.610,0.43,1.00,8.602,0.323,0.41
101-1,0.95,8.139,0.46,0.95,8.117,0.343,0.47
101-2,0.92,6.637,0.27,0.92,6.634,0.353,0.27
101-3,0.95,7.134,0.88,0.95,7.111,0.318,0.90
102-1,1.00,6.866,0.70,1.00,6.824,0.315,0.69
102-2,0.95,7.180,0.81,0.95,7.137,0.327,0.81
102-3,0.02,5.807,0.84,0.02,5.474,1.149,0.81
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.49,6.341,0.33,0.49,6.334,0.336,0.32
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.99,8.906,0.93,0.99,8.904,0.312,0.93
105-2,0.97,10.433,1.00,0.97,10.450,0.719,1.00
105-3,0.97,14.786,1.00,0.97,14.801,0.991,1.00
106-1,0.80,7.964,0.90,0.80,7.951,0.366,0.90
106-2,0.49,7.855,0.90,0.49,7.812,0.379,0.94
106-3,0.26,7.841,0.29,0.26,7.767,0.693,0.27
107-1,1.00,13.525,1.00,1.00,13.530,0.884,1.00
107-2,1.00,7.303,0.06,1.00,7.271,0.320,0.06
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.99,8.367,0.88,0.99,8.344,0.342,0.88
110-2,0.95,7.212,0.78,0.95,7.187,0.332,0.76
110-3,0.99,11.572,1.00,0.99,11.579,0.376,1.00
111-1,0.93,8.088,0.88,0.93,8.059,0.343,0.89
111-2,0.98,10.881,1.00,0.98,10.886,0.364,1.00
111-3,0.09,7.963,0.99,0.09,7.830,0.658,0.87
112-1,1.00,7.054,0.57,1.00,7.022,0.321,0.59
112-2,1.00,7.018,0.61,1.00,6.990,0.321,0.61
112-3,0.99,7.095,0.57,0.99,7.075,0.322,0.58
113-1,0.99,7.064,0.57,0.99,7.046,0.322,0.58
113-2,0.77,13.085,1.00,0.77,13.093,0.420,1.00
113-3,0.54,7.218,0.90,0.54,7.188,0.331,0.92
114-1,1.00,7.156,1.00,1.00,7.161,0.311,1.00
115-1,1.00,7.279,0.66,1.00,7.235,0.305,0.69
116-1,0.82,6.912,0.73,0.82,6.900,0.315,0.71
116-2,0.76,6.629,0.51,0.77,6.598,0.334,0.44
117-1,1.00,6.996,0.15,1.00,6.980,0.323,0.15
117-2,0.34,7.068,1.00,0.34,7.090,0.814,1.00
119-1,0.96,6.844,0.89,0.96,6.815,0.325,0.90
120-1,1.00,7.317,1.00,1.00,7.322,0.321,1.00
120-2,1.00,8.081,0.79,1.00,8.061,0.301,0.80
120-3,0.76,8.019,0.78,0.77,7.996,0.329,0.74
121-1,0.57,6.881,0.51,0.57,6.886,0.334,0.55
121-2,0.04,5.018,0.72,0.04,5.028,1.229,0.72
121-3,0.64,6.270,0.11,0.64,6.253,0.323,0.14
122-1,0.84,7.252,0.99,0.84,7.245,0.327,0.99
124-1,1.00,8.424,0.39,1.00,8.418,0.330,0.39
124-2,1.00,8.597,0.31,1.00,8.585,0.323,0.31
124-3,1.00,8.599,0.39,1.00,8.589,0.327,0.39
125-1,0.97,7.158,1.00,0.97,7.164,0.312,1.00
125-2,0.92,7.747,0.63,0.92,7.714,0.299,0.64
125-3,0.99,8.543,0.90,0.99,8.518,0.326,0.89
126-1,0.98,6.797,0.60,0.98,6.774,0.322,0.53
127-1,0.96,6.165,0.72,0.96,6.146,0.332,0.71
