ID-model,GO:0003674,GO:0016874,GO:0070011,GO:0008233,GO:0016491,GO:0000975,GO:0044212,GO:0001067,GO:0003677,GO:0016787,GO:0016788,GO:0003676,GO:0097159,GO:1901363,GO:0016740,GO:0003824,GO:0016772,GO:0022857,GO:0005215,GO:0030234,GO:0043565,GO:0016773,GO:0022891,GO:0022892,GO:0043168,GO:0005102,GO:0043167,GO:0046872,GO:0042802,GO:0043169,GO:0019899,GO:0005515,GO:0005488
BLAST-S11,NaN,0.97,0.94,0.88,0.90,0.56,0.56,0.56,0.75,0.84,0.84,0.72,0.73,0.73,0.75,0.73,0.75,0.63,0.66,0.75,0.64,0.75,0.66,0.66,0.75,0.57,0.63,0.57,0.41,0.55,0.57,0.51,0.55
BLAST-S14,NaN,0.98,0.94,0.88,0.86,0.86,0.86,0.86,0.83,0.83,0.82,0.81,0.80,0.79,0.78,0.77,0.77,0.76,0.74,0.74,0.74,0.72,0.71,0.71,0.70,0.60,0.60,0.59,0.57,0.57,0.57,0.56,0.56
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.94,0.98,0.95,0.85,0.50,0.50,0.50,0.89,0.88,0.89,0.85,0.77,0.77,0.91,0.84,0.96,0.89,0.89,0.71,0.63,0.98,0.88,0.89,0.71,0.48,0.60,0.65,0.50,0.63,0.49,0.47,0.48
101-2,NaN,0.80,0.94,0.93,0.89,0.50,0.50,0.50,0.85,0.89,0.86,0.86,0.84,0.84,0.95,0.87,0.96,0.90,0.91,0.72,0.59,0.95,0.89,0.90,0.64,0.49,0.60,0.64,0.49,0.62,0.49,0.56,0.60
101-3,NaN,0.94,0.98,0.96,0.88,0.50,0.50,0.50,0.93,0.90,0.89,0.92,0.86,0.87,0.96,0.87,1.00,0.91,0.91,0.72,0.63,1.00,0.90,0.91,0.74,0.48,0.63,0.63,0.50,0.60,0.49,0.57,0.61
102-1,NaN,0.93,0.98,0.98,0.89,0.81,0.81,0.81,0.89,0.88,0.79,0.89,0.85,0.85,0.96,0.83,0.98,0.94,0.98,0.90,0.74,0.98,0.93,0.94,0.84,0.58,0.71,0.66,0.45,0.62,0.61,0.64,0.56
102-2,NaN,0.88,0.93,0.89,0.87,0.79,0.79,0.79,0.86,0.83,0.82,0.84,0.80,0.80,0.95,0.81,0.98,0.94,0.94,0.90,0.75,0.98,0.94,0.94,0.82,0.58,0.71,0.67,0.46,0.64,0.61,0.57,0.52
102-3,NaN,0.55,0.50,0.50,0.53,0.50,0.50,0.50,0.51,0.50,0.53,0.51,0.51,0.51,0.57,0.53,0.61,0.62,0.62,0.50,0.50,0.63,0.64,0.62,0.53,0.50,0.53,0.54,0.52,0.53,0.49,0.47,0.47
103-1,NaN,0.55,0.48,0.61,0.59,0.50,0.50,0.50,0.47,0.54,0.41,0.47,0.50,0.50,0.54,0.59,0.63,0.68,0.67,0.49,0.46,0.67,0.67,0.65,0.53,0.50,0.59,0.66,0.50,0.63,0.50,0.51,0.46
103-2,NaN,0.55,0.48,0.61,0.63,0.50,0.50,0.50,0.47,0.54,0.41,0.47,0.50,0.50,0.54,0.59,0.63,0.69,0.67,0.49,0.46,0.67,0.67,0.65,0.53,0.50,0.61,0.69,0.50,0.67,0.50,0.50,0.46
103-3,NaN,0.80,0.99,0.93,0.71,0.50,0.50,0.50,0.89,0.81,0.76,0.89,0.83,0.83,0.75,0.77,0.84,0.74,0.83,0.61,0.59,0.73,0.77,0.75,0.66,0.50,0.58,0.61,0.50,0.59,0.50,0.51,0.54
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.99,0.98,0.93,0.93,0.80,0.80,0.80,0.91,0.86,0.86,0.88,0.77,0.77,0.90,0.82,0.90,0.93,0.96,0.85,0.77,0.84,0.92,0.92,0.72,0.59,0.66,0.75,0.32,0.70,0.63,0.57,0.53
105-2,NaN,1.00,0.99,0.95,0.91,0.88,0.88,0.88,0.92,0.90,0.88,0.90,0.83,0.84,0.92,0.87,0.94,0.94,0.98,0.85,0.86,0.88,0.93,0.94,0.79,0.56,0.72,0.76,0.37,0.71,0.63,0.61,0.53
105-3,NaN,0.99,0.99,0.92,0.93,0.77,0.77,0.77,0.94,0.86,0.85,0.92,0.80,0.80,0.90,0.83,0.90,0.92,0.97,0.93,0.81,0.89,0.92,0.92,0.74,0.46,0.72,0.79,0.40,0.76,0.54,0.56,0.51
106-1,NaN,0.65,0.80,0.73,0.71,0.50,0.50,0.50,0.70,0.75,0.61,0.70,0.69,0.69,0.73,0.73,0.73,0.78,0.79,0.65,0.55,0.77,0.81,0.83,0.74,0.50,0.71,0.78,0.50,0.73,0.50,0.55,0.53
106-2,NaN,0.55,0.50,0.50,0.54,0.50,0.50,0.50,0.50,0.57,0.54,0.50,0.54,0.54,0.50,0.56,0.50,0.54,0.54,0.50,0.50,0.50,0.54,0.54,0.68,0.50,0.74,0.77,0.50,0.72,0.50,0.51,0.44
106-3,NaN,0.60,0.75,0.73,0.64,0.50,0.50,0.50,0.55,0.71,0.54,0.54,0.55,0.55,0.63,0.66,0.65,0.58,0.61,0.50,0.50,0.68,0.59,0.62,0.63,0.50,0.64,0.69,0.50,0.67,0.50,0.50,0.50
107-1,NaN,0.99,0.99,0.92,0.97,0.77,0.77,0.77,0.89,0.89,0.91,0.85,0.76,0.76,0.90,0.83,0.93,0.95,0.97,0.83,0.70,0.88,0.95,0.95,0.70,0.52,0.63,0.76,0.45,0.71,0.59,0.58,0.48
107-2,NaN,0.98,0.99,0.92,0.97,0.85,0.85,0.85,0.89,0.90,0.94,0.88,0.83,0.83,0.91,0.86,0.93,0.97,0.97,0.80,0.79,0.92,0.97,0.97,0.79,0.43,0.75,0.83,0.43,0.78,0.57,0.61,0.51
107-3,NaN,0.61,0.52,0.65,0.72,0.49,0.49,0.49,0.50,0.62,0.57,0.48,0.52,0.52,0.52,0.61,0.60,0.77,0.74,0.48,0.52,0.65,0.75,0.73,0.62,0.48,0.68,0.75,0.53,0.72,0.49,0.50,0.44
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.68,0.58,0.66,0.73,0.79,0.79,0.79,0.80,0.66,0.74,0.78,0.74,0.73,0.63,0.62,0.73,0.67,0.64,0.60,0.67,0.70,0.64,0.62,0.66,0.62,0.63,0.64,0.53,0.60,0.39,0.47,0.52
110-2,NaN,0.99,0.94,0.92,0.78,0.63,0.59,0.62,0.71,0.89,0.89,0.69,0.71,0.70,0.86,0.82,0.80,0.83,0.88,0.86,0.56,0.73,0.81,0.82,0.85,0.62,0.71,0.62,0.53,0.65,0.61,0.63,0.62
110-3,NaN,0.67,0.69,0.75,0.73,0.47,0.47,0.47,0.50,0.62,0.50,0.49,0.49,0.49,0.63,0.60,0.56,0.76,0.75,0.71,0.49,0.57,0.77,0.77,0.46,0.62,0.64,0.75,0.63,0.73,0.70,0.72,0.67
111-1,NaN,0.68,0.58,0.66,0.73,0.79,0.79,0.79,0.79,0.65,0.74,0.77,0.72,0.71,0.65,0.62,0.73,0.67,0.64,0.60,0.65,0.70,0.64,0.62,0.65,0.62,0.62,0.64,0.53,0.60,0.39,0.45,0.49
111-2,NaN,0.67,0.69,0.75,0.73,0.49,0.49,0.49,0.51,0.62,0.50,0.51,0.50,0.50,0.63,0.61,0.56,0.76,0.75,0.72,0.52,0.57,0.77,0.77,0.46,0.62,0.64,0.75,0.63,0.73,0.69,0.70,0.65
111-3,NaN,0.50,0.50,0.50,0.50,0.52,0.52,0.52,0.51,0.49,0.50,0.51,0.50,0.50,0.54,0.50,0.50,0.50,0.50,0.50,0.54,0.50,0.50,0.50,0.50,0.49,0.50,0.50,0.50,0.50,0.49,0.51,0.52
112-1,NaN,0.98,0.97,0.99,0.88,0.82,0.80,0.81,0.84,0.94,0.93,0.81,0.79,0.78,0.92,0.87,0.91,0.94,0.96,0.86,0.70,0.87,0.94,0.94,0.83,0.79,0.73,0.75,0.60,0.72,0.58,0.69,0.67
112-2,NaN,0.99,0.98,0.99,0.88,0.82,0.80,0.81,0.84,0.94,0.93,0.81,0.79,0.78,0.92,0.87,0.91,0.95,0.96,0.86,0.70,0.88,0.95,0.95,0.83,0.79,0.72,0.75,0.59,0.72,0.58,0.68,0.67
112-3,NaN,0.98,0.97,0.99,0.88,0.82,0.80,0.81,0.83,0.94,0.93,0.79,0.77,0.77,0.92,0.87,0.91,0.94,0.96,0.86,0.70,0.87,0.94,0.94,0.83,0.79,0.72,0.75,0.60,0.72,0.58,0.66,0.64
113-1,NaN,0.99,0.98,0.99,0.88,0.82,0.80,0.81,0.83,0.94,0.93,0.79,0.78,0.77,0.92,0.87,0.91,0.95,0.96,0.86,0.70,0.88,0.95,0.94,0.83,0.79,0.72,0.75,0.59,0.72,0.58,0.65,0.64
113-2,NaN,0.67,0.69,0.75,0.72,0.47,0.47,0.47,0.50,0.62,0.50,0.49,0.49,0.49,0.61,0.60,0.56,0.70,0.67,0.71,0.49,0.57,0.71,0.69,0.45,0.62,0.63,0.75,0.63,0.73,0.70,0.71,0.62
113-3,NaN,0.68,0.58,0.66,0.73,0.79,0.79,0.79,0.79,0.65,0.74,0.77,0.72,0.71,0.65,0.62,0.73,0.67,0.63,0.60,0.65,0.70,0.64,0.62,0.60,0.62,0.59,0.64,0.53,0.60,0.39,0.42,0.47
114-1,NaN,0.94,0.99,0.99,0.99,0.82,0.82,0.82,0.95,0.93,0.98,0.92,0.86,0.86,0.96,0.91,1.00,0.99,0.99,0.82,0.73,1.00,1.00,0.99,0.82,0.64,0.70,0.80,0.53,0.78,0.51,0.67,0.58
115-1,NaN,0.99,0.98,0.98,0.91,0.70,0.70,0.70,0.95,0.95,0.96,0.94,0.88,0.88,0.93,0.89,0.96,0.99,0.99,0.92,0.82,0.91,0.99,0.99,0.78,0.61,0.78,0.86,0.50,0.84,0.72,0.77,0.72
116-1,NaN,0.80,0.74,0.76,0.81,0.50,0.50,0.50,0.90,0.88,0.84,0.89,0.85,0.85,0.91,0.87,0.88,0.91,0.92,0.69,0.59,0.82,0.86,0.87,0.78,0.50,0.68,0.68,0.50,0.65,0.49,0.54,0.62
116-2,NaN,0.70,0.65,0.67,0.78,0.50,0.50,0.50,0.89,0.82,0.84,0.88,0.82,0.82,0.80,0.80,0.81,0.75,0.80,0.65,0.60,0.82,0.77,0.79,0.71,0.50,0.64,0.63,0.50,0.62,0.50,0.53,0.59
117-1,NaN,0.94,0.99,0.99,0.98,0.89,0.89,0.89,0.91,0.90,0.86,0.88,0.81,0.81,0.89,0.91,0.91,0.92,0.89,0.85,0.81,0.94,0.93,0.91,0.76,0.65,0.62,0.56,0.36,0.58,0.58,0.55,0.50
