ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.97,8.475,0.52,0.97,8.415,0.440,0.52
BLAST-S14,0.96,8.336,0.52,0.96,8.299,0.447,0.53
Naive-S11,1.00,8.495,0.30,1.00,8.500,0.398,0.30
Naive-S14,1.00,8.554,0.43,1.00,8.558,0.396,0.42
101-1,0.90,8.264,0.44,0.90,8.242,0.394,0.44
101-2,0.87,6.483,0.22,0.87,6.475,0.403,0.23
101-3,0.90,6.620,0.75,0.90,6.625,0.368,0.72
102-1,0.99,6.762,0.70,0.99,6.733,0.394,0.71
102-2,0.90,7.293,0.88,0.90,7.248,0.395,0.85
102-3,0.06,8.738,0.42,0.06,8.747,0.397,0.43
103-1,0.21,8.202,0.18,0.21,8.206,0.403,0.18
103-2,0.23,7.992,0.20,0.23,7.990,0.410,0.24
103-3,0.53,6.814,0.17,0.54,6.828,0.387,0.17
104-1,0.00,9.173,1.00,0.00,9.179,0.400,1.00
104-2,0.00,9.173,1.00,0.00,9.179,0.400,1.00
104-3,0.00,9.173,1.00,0.00,9.179,0.400,1.00
105-1,0.98,8.645,0.93,0.98,8.661,0.383,0.93
105-2,0.95,8.630,1.00,0.95,8.652,0.602,1.00
105-3,0.96,12.487,1.00,0.96,12.505,1.033,1.00
106-1,0.78,7.920,0.13,0.78,7.803,0.370,0.53
106-2,0.45,8.415,0.84,0.45,8.405,0.393,0.83
106-3,0.27,7.883,0.07,0.27,7.893,0.399,0.08
107-1,1.00,10.822,1.00,1.00,10.872,1.040,1.00
107-2,1.00,7.198,0.09,1.00,7.189,0.399,0.10
107-3,0.27,8.268,0.05,0.27,8.246,0.388,0.07
108-1,0.00,9.173,1.00,0.00,9.179,0.400,1.00
109-1,0.00,9.173,1.00,0.00,9.179,0.400,1.00
110-1,0.97,8.301,0.90,0.97,8.303,0.415,0.89
110-2,0.93,7.417,0.68,0.93,7.383,0.411,0.71
110-3,1.00,11.581,1.00,1.00,11.588,0.420,1.00
111-1,0.92,8.271,0.90,0.92,8.275,0.415,0.90
111-2,0.99,11.220,1.00,0.99,11.225,0.417,1.00
111-3,0.03,9.060,0.02,0.03,9.067,0.401,0.14
112-1,1.00,7.333,0.57,1.00,7.317,0.414,0.60
112-2,1.00,7.319,0.59,1.00,7.296,0.414,0.61
112-3,0.99,7.384,0.57,0.99,7.371,0.407,0.58
113-1,0.99,7.366,0.57,0.99,7.347,0.408,0.59
113-2,0.83,11.506,1.00,0.83,11.513,0.412,1.00
113-3,0.56,8.471,0.90,0.56,8.474,0.412,0.89
114-1,1.00,6.297,0.99,1.00,6.290,0.358,0.99
115-1,1.00,6.782,0.66,1.00,6.750,0.359,0.70
116-1,0.82,6.753,0.56,0.82,6.706,0.362,0.58
116-2,0.77,6.773,0.15,0.77,6.773,0.387,0.30
117-1,1.00,7.002,0.15,1.00,6.979,0.391,0.14
117-2,0.28,7.830,1.00,0.28,7.838,0.431,1.00
119-1,0.94,6.425,0.87,0.94,6.434,0.395,0.87
120-1,1.00,6.304,1.00,1.00,6.320,0.360,1.00
120-2,1.00,8.255,0.81,1.00,8.232,0.380,0.80
120-3,0.77,8.586,0.76,0.77,8.561,0.391,0.70
121-1,0.57,6.710,0.51,0.57,6.721,0.374,0.55
121-2,0.05,8.917,0.27,0.05,8.921,0.412,0.41
121-3,0.67,6.553,0.10,0.67,6.550,0.370,0.12
122-1,0.77,6.990,0.78,0.77,6.974,0.376,0.77
124-1,1.00,8.241,0.39,1.00,8.248,0.407,0.39
124-2,1.00,8.586,0.34,1.00,8.592,0.404,0.34
124-3,1.00,8.378,0.39,1.00,8.384,0.404,0.39
125-1,0.98,6.299,0.99,0.98,6.291,0.358,0.99
125-2,0.90,7.227,0.51,0.90,7.174,0.390,0.52
125-3,0.99,8.603,0.75,0.99,8.485,0.439,0.78
126-1,0.89,6.871,0.38,0.89,6.847,0.400,0.46
127-1,0.93,6.241,0.74,0.93,6.224,0.407,0.74
127-2,0.91,6.452,0.21,0.91,6.447,0.400,0.22
127-3,0.00,9.173,1.00,0.00,9.179,0.400,1.00
128-1,0.67,9.594,0.95,0.67,9.625,0.679,0.93
129-1,0.97,6.574,0.54,0.97,6.570,0.399,0.54
129-2,0.15,8.698,0.40,0.15,8.685,0.399,0.42
129-3,0.97,6.586,0.54,0.97,6.574,0.401,0.54
130-1,0.00,9.173,1.00,0.00,9.179,0.400,1.00
130-2,0.00,9.173,1.00,0.00,9.179,0.400,1.00
130-3,0.00,9.173,1.00,0.00,9.179,0.400,1.00
131-1,0.72,6.547,0.39,0.72,6.541,0.368,0.43
131-2,0.75,6.448,0.14,0.75,6.453,0.370,0.17
131-3,0.96,6.810,0.40,0.96,6.769,0.387,0.44
132-1,1.00,7.385,0.63,1.00,7.358,0.412,0.60
132-2,0.99,7.399,0.57,0.99,7.373,0.406,0.58
65-1,0.90,7.919,0.26,0.90,7.911,0.413,0.26
65-2,0.85,7.922,0.26,0.85,7.910,0.411,0.26
65-3,0.90,7.949,0.27,0.90,7.926,0.410,0.27
68-1,0.00,9.173,1.00,0.00,9.179,0.400,1.00
68-2,0.00,9.173,1.00,0.00,9.179,0.400,1.00
69-1,0.43,7.492,0.68,0.43,7.483,0.405,0.64
69-2,1.00,6.893,1.00,1.00,6.877,0.401,0.97
70-1,1.00,6.941,0.21,1.00,6.911,0.404,0.25
70-2,1.00,9.172,0.56,1.00,8.774,0.649,0.52
70-3,1.00,7.826,0.16,1.00,7.827,0.400,0.17
72-1,1.00,6.399,0.01,1.00,6.411,0.368,0.01
72-2,0.90,7.872,0.01,0.90,7.881,0.423,0.01
73-1,1.00,11.267,1.00,1.00,11.306,1.238,1.00
73-2,1.00,11.075,1.00,1.00,11.115,1.226,1.00
73-3,0.98,31.037,1.00,0.98,31.025,2.188,1.00
74-1,0.56,7.381,0.25,0.56,7.365,0.397,0.27
74-2,0.97,6.840,0.83,0.97,6.823,0.372,0.83
75-1,0.43,7.181,0.70,0.43,7.197,0.391,0.70
75-2,1.00,6.881,1.00,1.00,6.864,0.400,0.97
79-1,0.90,6.845,0.43,0.90,6.718,0.421,0.39
79-2,0.42,7.327,0.18,0.42,7.317,0.401,0.19
79-3,0.97,6.675,0.50,0.97,6.645,0.394,0.48
80-1,0.63,6.999,0.40,0.63,6.970,0.388,0.50
80-2,0.98,6.829,0.83,0.98,6.812,0.370,0.85
81-1,0.73,7.238,0.37,0.73,7.211,0.455,0.35
