ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.418,0.37,0.97,0.420,0.020,0.38
BLAST-S14,0.96,0.412,0.37,0.96,0.415,0.023,0.38
Naive-S11,1.00,0.334,0.30,1.00,0.334,0.014,0.30
Naive-S14,1.00,0.310,0.17,1.00,0.311,0.011,0.17
101-1,0.90,0.510,0.22,0.90,0.511,0.018,0.25
101-2,0.87,0.587,0.18,0.87,0.590,0.017,0.15
101-3,0.90,0.546,0.12,0.90,0.548,0.018,0.17
102-1,0.99,0.539,0.62,0.99,0.544,0.019,0.58
102-2,0.90,0.554,0.49,0.90,0.556,0.018,0.54
102-3,0.06,0.566,0.42,0.06,0.567,0.061,0.52
103-1,0.21,0.545,0.20,0.21,0.553,0.035,0.27
103-2,0.23,0.586,0.55,0.23,0.594,0.040,0.51
103-3,0.53,0.591,0.17,0.54,0.591,0.024,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.472,0.92,0.98,0.471,0.019,0.92
105-2,0.95,0.503,0.99,0.95,0.504,0.020,0.99
105-3,0.96,0.484,0.99,0.96,0.484,0.020,0.99
106-1,0.78,0.435,0.08,0.78,0.434,0.024,0.09
106-2,0.45,0.278,0.81,0.45,0.284,0.036,0.81
106-3,0.27,0.599,0.07,0.27,0.598,0.030,0.08
107-1,1.00,0.439,0.72,1.00,0.442,0.019,0.75
107-2,1.00,0.475,0.04,1.00,0.475,0.020,0.04
107-3,0.27,0.436,0.05,0.27,0.441,0.040,0.05
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.97,0.464,0.22,0.97,0.464,0.020,0.21
110-2,0.93,0.454,0.23,0.93,0.458,0.019,0.23
110-3,1.00,0.264,0.23,1.00,0.264,0.018,0.23
111-1,0.92,0.449,0.22,0.92,0.451,0.021,0.22
111-2,0.99,0.249,0.23,0.99,0.250,0.017,0.26
111-3,0.03,0.358,0.02,0.03,0.365,0.084,0.15
112-1,1.00,0.446,0.34,1.00,0.449,0.019,0.35
112-2,1.00,0.453,0.34,1.00,0.455,0.018,0.32
112-3,0.99,0.442,0.34,0.99,0.444,0.019,0.34
