ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.576,0.37,0.97,0.577,0.013,0.37
BLAST-S14,0.96,0.571,0.37,0.96,0.569,0.013,0.38
Naive-S11,1.00,0.628,0.09,1.00,0.628,0.005,0.09
Naive-S14,1.00,0.627,0.13,1.00,0.627,0.005,0.13
101-1,0.90,0.546,0.37,0.90,0.544,0.014,0.36
101-2,0.87,0.462,0.10,0.87,0.460,0.015,0.11
101-3,0.90,0.472,0.12,0.90,0.470,0.015,0.17
102-1,0.99,0.497,0.53,0.99,0.494,0.015,0.51
102-2,0.90,0.484,0.63,0.90,0.482,0.016,0.61
102-3,0.06,0.485,0.72,0.06,0.461,0.055,0.71
103-1,0.21,0.438,0.20,0.21,0.438,0.027,0.20
103-2,0.23,0.413,0.50,0.23,0.406,0.034,0.41
103-3,0.53,0.403,0.17,0.54,0.404,0.019,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.520,0.92,0.98,0.521,0.013,0.92
105-2,0.95,0.490,0.99,0.95,0.490,0.014,0.99
105-3,0.96,0.514,1.00,0.96,0.512,0.014,1.00
106-1,0.78,0.525,0.08,0.78,0.525,0.016,0.10
106-2,0.45,0.608,0.61,0.45,0.607,0.017,0.63
106-3,0.27,0.427,0.07,0.27,0.428,0.029,0.09
107-1,1.00,0.554,0.75,1.00,0.550,0.012,0.75
107-2,1.00,0.505,0.04,1.00,0.505,0.014,0.04
107-3,0.27,0.519,0.08,0.27,0.512,0.029,0.07
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.97,0.611,0.22,0.97,0.612,0.013,0.21
110-2,0.93,0.529,0.40,0.93,0.527,0.015,0.38
110-3,1.00,0.653,0.92,1.00,0.652,0.008,0.80
111-1,0.92,0.604,0.22,0.92,0.605,0.012,0.23
111-2,0.99,0.652,0.64,0.99,0.651,0.008,0.74
111-3,0.03,0.622,0.33,0.03,0.624,0.046,0.37
112-1,1.00,0.521,0.38,1.00,0.519,0.014,0.37
112-2,1.00,0.521,0.34,1.00,0.519,0.014,0.36
112-3,0.99,0.522,0.38,0.99,0.520,0.014,0.37
113-1,0.99,0.522,0.34,0.99,0.521,0.013,0.35
113-2,0.83,0.654,1.00,0.83,0.654,0.010,0.99
113-3,0.56,0.554,0.66,0.56,0.552,0.019,0.63
114-1,1.00,0.463,0.91,1.00,0.462,0.016,0.90
115-1,1.00,0.473,0.39,1.00,0.472,0.015,0.42
116-1,0.82,0.450,0.15,0.82,0.451,0.017,0.15
116-2,0.77,0.475,0.04,0.77,0.476,0.018,0.10
117-1,1.00,0.570,0.10,1.00,0.565,0.013,0.10
117-2,0.28,0.352,1.00,0.28,0.352,0.033,1.00
119-1,0.94,0.487,0.69,0.94,0.486,0.016,0.70
120-1,1.00,0.469,0.97,1.00,0.468,0.016,0.96
120-2,1.00,0.587,0.53,1.00,0.586,0.009,0.51
120-3,0.77,0.608,0.44,0.77,0.608,0.012,0.44
121-1,0.57,0.405,0.51,0.57,0.406,0.020,0.54
121-2,0.05,0.343,0.27,0.05,0.343,0.090,0.40
121-3,0.67,0.418,0.03,0.67,0.415,0.017,0.05
122-1,0.77,0.477,0.70,0.77,0.477,0.018,0.71
124-1,1.00,0.615,0.24,1.00,0.614,0.007,0.24
124-2,1.00,0.641,0.16,1.00,0.641,0.006,0.16
124-3,1.00,0.625,0.21,1.00,0.624,0.007,0.22
125-1,0.98,0.457,0.91,0.98,0.456,0.016,0.91
125-2,0.90,0.489,0.29,0.90,0.487,0.015,0.30
125-3,0.99,0.555,0.45,0.99,0.555,0.013,0.46
126-1,0.89,0.507,0.25,0.89,0.507,0.018,0.25
127-1,0.93,0.453,0.64,0.93,0.450,0.017,0.60
127-2,0.91,0.466,0.15,0.91,0.464,0.017,0.16
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.67,0.573,0.31,0.67,0.572,0.016,0.29
129-1,0.97,0.486,0.46,0.97,0.486,0.015,0.45
129-2,0.15,0.522,0.46,0.15,0.518,0.040,0.44
129-3,0.97,0.486,0.46,0.97,0.486,0.015,0.45
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.72,0.420,0.32,0.72,0.420,0.017,0.27
131-2,0.75,0.415,0.14,0.75,0.414,0.018,0.12
131-3,0.96,0.486,0.14,0.96,0.486,0.015,0.15
132-1,1.00,0.525,0.44,1.00,0.525,0.013,0.44
