ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.371,0.37,0.97,0.374,0.021,0.38
BLAST-S14,0.96,0.362,0.38,0.96,0.371,0.024,0.41
Naive-S11,1.00,0.207,0.09,1.00,0.208,0.011,0.09
Naive-S14,1.00,0.207,0.16,1.00,0.208,0.011,0.15
101-1,0.90,0.465,0.22,0.90,0.466,0.021,0.23
101-2,0.87,0.537,0.18,0.87,0.540,0.022,0.15
101-3,0.90,0.497,0.12,0.90,0.500,0.022,0.23
102-1,0.99,0.484,0.61,0.99,0.488,0.022,0.58
102-2,0.90,0.489,0.49,0.90,0.495,0.022,0.57
102-3,0.06,0.589,0.40,0.06,0.587,0.075,0.44
103-1,0.21,0.546,0.20,0.21,0.550,0.041,0.23
103-2,0.23,0.583,0.55,0.23,0.589,0.047,0.54
103-3,0.53,0.597,0.17,0.54,0.596,0.027,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.98,0.461,0.92,0.98,0.461,0.021,0.92
105-2,0.95,0.486,0.99,0.95,0.487,0.022,0.99
105-3,0.96,0.467,0.99,0.96,0.470,0.021,0.99
106-1,0.78,0.398,0.08,0.78,0.398,0.026,0.09
106-2,0.45,0.250,0.90,0.45,0.260,0.040,0.87
106-3,0.27,0.580,0.07,0.27,0.579,0.038,0.08
107-1,1.00,0.408,0.80,1.00,0.418,0.021,0.79
107-2,1.00,0.454,0.04,1.00,0.454,0.023,0.04
107-3,0.27,0.429,0.05,0.27,0.437,0.042,0.05
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.97,0.413,0.23,0.97,0.413,0.019,0.21
110-2,0.93,0.416,0.27,0.93,0.421,0.021,0.33
110-3,1.00,0.215,0.23,1.00,0.216,0.017,0.19
111-1,0.92,0.405,0.23,0.92,0.404,0.020,0.22
111-2,0.99,0.199,0.29,0.99,0.200,0.017,0.25
111-3,0.03,0.261,0.02,0.03,0.260,0.099,0.07
112-1,1.00,0.409,0.39,1.00,0.412,0.022,0.38
112-2,1.00,0.413,0.34,1.00,0.416,0.022,0.36
112-3,0.99,0.407,0.39,0.99,0.409,0.022,0.37
113-1,0.99,0.409,0.34,0.99,0.412,0.022,0.35
113-2,0.83,0.148,0.29,0.83,0.151,0.017,0.38
113-3,0.56,0.392,0.42,0.56,0.397,0.030,0.46
114-1,1.00,0.523,0.92,1.00,0.527,0.022,0.95
115-1,1.00,0.491,0.38,1.00,0.493,0.022,0.37
116-1,0.82,0.509,0.15,0.82,0.509,0.025,0.23
116-2,0.77,0.471,0.15,0.77,0.473,0.027,0.31
117-1,1.00,0.456,0.11,1.00,0.456,0.020,0.11
117-2,0.28,0.616,1.00,0.28,0.617,0.046,1.00
119-1,0.94,0.515,0.76,0.94,0.518,0.023,0.79
120-1,1.00,0.525,0.97,1.00,0.527,0.022,0.97
120-2,1.00,0.301,0.45,1.00,0.303,0.018,0.47
120-3,0.77,0.261,0.46,0.77,0.261,0.021,0.46
121-1,0.57,0.597,0.51,0.57,0.596,0.026,0.52
121-2,0.05,0.618,0.61,0.05,0.636,0.113,0.50
121-3,0.67,0.583,0.03,0.67,0.587,0.024,0.04
122-1,0.77,0.506,0.71,0.77,0.506,0.025,0.72
