ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.543,0.35,0.97,0.541,0.021,0.35
BLAST-S14,0.96,0.532,0.37,0.95,0.528,0.020,0.37
Naive-S11,1.00,0.628,0.09,1.00,0.627,0.008,0.08
Naive-S14,1.00,0.626,0.13,1.00,0.625,0.008,0.13
101-1,0.93,0.504,0.37,0.93,0.503,0.018,0.36
101-2,0.90,0.421,0.15,0.90,0.419,0.026,0.14
101-3,0.93,0.401,0.30,0.93,0.399,0.025,0.29
102-1,0.99,0.501,0.63,0.99,0.492,0.021,0.54
102-2,0.90,0.508,0.72,0.90,0.505,0.021,0.71
102-3,0.13,0.875,0.12,0.13,0.876,0.032,0.17
103-1,0.79,0.536,0.12,0.79,0.536,0.020,0.13
103-2,0.90,0.402,0.34,0.90,0.399,0.027,0.30
103-3,0.85,0.404,0.17,0.85,0.406,0.025,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,0.97,0.518,0.92,0.97,0.519,0.018,0.92
105-2,0.94,0.481,1.00,0.94,0.483,0.020,1.00
105-3,0.97,0.521,1.00,0.97,0.522,0.021,1.00
106-1,0.89,0.525,0.10,0.89,0.526,0.020,0.13
106-2,0.63,0.638,0.62,0.63,0.639,0.027,0.64
106-3,0.46,0.676,0.07,0.46,0.677,0.039,0.07
107-1,1.00,0.522,0.76,1.00,0.519,0.017,0.76
107-2,1.00,0.486,0.08,1.00,0.485,0.020,0.07
107-3,0.99,0.514,0.06,0.99,0.512,0.019,0.06
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.97,0.454,0.63,0.97,0.455,0.027,0.65
110-2,0.93,0.495,0.42,0.93,0.491,0.026,0.41
110-3,1.00,0.622,1.00,1.00,0.623,0.015,1.00
