ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.443,0.33,0.97,0.448,0.032,0.34
BLAST-S14,0.96,0.471,0.37,0.95,0.476,0.031,0.37
Naive-S11,1.00,0.296,0.30,1.00,0.299,0.020,0.23
Naive-S14,1.00,0.288,0.16,1.00,0.289,0.018,0.17
101-1,0.93,0.518,0.36,0.93,0.523,0.025,0.32
101-2,0.90,0.640,0.22,0.90,0.647,0.027,0.18
101-3,0.93,0.611,0.24,0.93,0.616,0.031,0.31
102-1,0.99,0.566,0.64,0.99,0.573,0.026,0.55
102-2,0.90,0.555,0.70,0.90,0.561,0.029,0.69
102-3,0.13,0.626,0.87,0.13,0.664,0.048,0.84
103-1,0.79,0.540,0.34,0.79,0.545,0.027,0.29
103-2,0.90,0.637,0.34,0.90,0.638,0.030,0.35
103-3,0.85,0.647,0.17,0.85,0.647,0.030,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.97,0.499,0.92,0.97,0.499,0.028,0.91
105-2,0.94,0.533,1.00,0.94,0.533,0.029,1.00
105-3,0.97,0.504,1.00,0.97,0.504,0.029,1.00
106-1,0.89,0.427,0.10,0.89,0.426,0.035,0.13
106-2,0.63,0.402,0.99,0.63,0.401,0.055,0.97
106-3,0.46,0.602,0.07,0.46,0.603,0.044,0.09
107-1,1.00,0.481,0.73,1.00,0.483,0.027,0.74
107-2,1.00,0.495,0.05,1.00,0.499,0.029,0.06
107-3,0.99,0.453,0.05,0.99,0.462,0.030,0.05
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.97,0.575,0.63,0.97,0.577,0.033,0.67
110-2,0.93,0.534,0.84,0.93,0.540,0.037,0.68
110-3,1.00,0.283,1.00,1.00,0.284,0.029,0.98
111-1,0.97,0.575,0.63,0.97,0.577,0.033,0.67
111-2,1.00,0.283,1.00,1.00,0.284,0.029,0.98
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.551,0.68,1.00,0.557,0.034,0.57
112-2,1.00,0.551,0.34,1.00,0.562,0.032,0.50
112-3,1.00,0.508,0.32,1.00,0.512,0.031,0.32
113-1,1.00,0.530,0.32,1.00,0.530,0.031,0.32
113-2,1.00,0.179,0.66,1.00,0.188,0.021,0.75
113-3,0.90,0.528,0.63,0.90,0.530,0.037,0.60
114-1,1.00,0.597,1.00,1.00,0.602,0.026,0.97
115-1,1.00,0.584,0.39,1.00,0.586,0.028,0.44
116-1,0.89,0.628,0.36,0.89,0.628,0.030,0.40
116-2,0.78,0.563,0.42,0.78,0.563,0.043,0.45
117-1,1.00,0.503,0.12,1.00,0.512,0.027,0.12
117-2,0.30,0.703,1.00,0.30,0.702,0.061,1.00
119-1,0.99,0.567,0.87,0.99,0.574,0.028,0.82
120-1,1.00,0.595,1.00,1.00,0.599,0.026,0.99
120-2,0.99,0.257,0.30,0.99,0.261,0.021,0.36
120-3,0.85,0.269,0.44,0.85,0.274,0.021,0.52
121-1,0.84,0.639,0.60,0.84,0.638,0.030,0.60
