ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.335,0.32,0.99,0.343,0.037,0.34
BLAST-S14,0.94,0.360,0.37,0.94,0.366,0.042,0.38
Naive-S11,1.00,0.245,0.05,1.00,0.246,0.016,0.06
Naive-S14,1.00,0.226,0.12,1.00,0.228,0.017,0.11
101-1,0.91,0.486,0.37,0.91,0.487,0.037,0.27
101-2,0.90,0.520,0.10,0.90,0.524,0.040,0.15
101-3,0.91,0.551,0.30,0.91,0.555,0.040,0.42
102-1,0.94,0.485,0.67,0.94,0.495,0.038,0.58
102-2,0.85,0.430,0.67,0.85,0.443,0.038,0.61
102-3,0.13,0.169,0.03,0.13,0.165,0.044,0.30
103-1,0.76,0.466,0.19,0.76,0.467,0.039,0.21
103-2,0.84,0.531,0.55,0.84,0.536,0.043,0.51
103-3,0.78,0.534,0.17,0.78,0.532,0.044,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,0.97,0.439,0.75,0.97,0.453,0.037,0.75
105-2,0.97,0.499,0.99,0.97,0.500,0.041,0.99
105-3,0.97,0.477,0.99,0.97,0.475,0.040,0.99
106-1,0.85,0.447,0.13,0.85,0.446,0.045,0.14
106-2,0.50,0.269,0.81,0.50,0.270,0.049,0.82
106-3,0.50,0.430,0.09,0.50,0.428,0.049,0.11
107-1,1.00,0.483,0.74,1.00,0.494,0.040,0.82
107-2,1.00,0.452,0.04,1.00,0.453,0.039,0.05
107-3,0.99,0.423,0.05,0.99,0.431,0.041,0.05
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.93,0.366,0.44,0.93,0.377,0.039,0.38
110-2,0.94,0.441,0.22,0.94,0.447,0.037,0.24
110-3,1.00,0.147,0.64,1.00,0.152,0.020,0.61
111-1,0.93,0.366,0.44,0.93,0.377,0.039,0.38
111-2,1.00,0.147,0.64,1.00,0.152,0.020,0.61
111-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
112-1,1.00,0.440,0.37,1.00,0.451,0.037,0.34
112-2,1.00,0.442,0.28,1.00,0.457,0.036,0.31
112-3,1.00,0.436,0.28,1.00,0.448,0.037,0.32
113-1,1.00,0.442,0.29,1.00,0.454,0.037,0.30
113-2,0.99,0.133,0.30,0.99,0.141,0.018,0.46
113-3,0.85,0.352,0.44,0.85,0.362,0.038,0.39
114-1,1.00,0.588,0.99,1.00,0.590,0.042,0.99
115-1,1.00,0.575,0.49,1.00,0.582,0.041,0.51
116-1,0.88,0.540,0.40,0.88,0.540,0.044,0.52
116-2,0.84,0.466,0.61,0.84,0.466,0.047,0.56
117-1,1.00,0.443,0.09,1.00,0.447,0.033,0.08
117-2,0.28,0.262,1.00,0.28,0.259,0.053,1.00
119-1,0.96,0.501,0.76,0.96,0.502,0.039,0.75
120-1,1.00,0.598,1.00,1.00,0.599,0.041,1.00
120-2,1.00,0.242,0.32,1.00,0.243,0.027,0.30
120-3,0.81,0.181,0.46,0.81,0.180,0.026,0.47
121-1,0.81,0.526,0.51,0.81,0.524,0.044,0.52
121-2,0.07,0.096,0.61,0.07,0.095,0.045,0.64
121-3,0.84,0.553,0.50,0.84,0.558,0.043,0.35
122-1,0.74,0.459,0.72,0.74,0.460,0.047,0.81
124-1,1.00,0.244,0.19,1.00,0.253,0.024,0.18
124-2,1.00,0.190,0.07,1.00,0.192,0.021,0.08
124-3,1.00,0.242,0.18,1.00,0.247,0.025,0.20
125-1,1.00,0.588,0.99,1.00,0.590,0.042,0.99
125-2,0.96,0.505,0.33,0.96,0.520,0.040,0.36
125-3,0.99,0.443,0.37,0.99,0.444,0.038,0.40
126-1,0.62,0.304,0.55,0.62,0.304,0.046,0.54
