ID-model,GO:0003674,GO:0016787,GO:0042802,GO:0003824,GO:0043167,GO:0005515,GO:0005488
BLAST-S11,NaN,0.72,0.51,0.60,0.66,0.47,0.47
BLAST-S14,NaN,0.74,0.73,0.69,0.64,0.61,0.50
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.80,0.51,0.62,0.68,0.47,0.59
101-2,NaN,0.82,0.49,0.75,0.67,0.51,0.62
101-3,NaN,0.82,0.51,0.73,0.74,0.49,0.68
102-1,NaN,0.90,0.63,0.69,0.78,0.49,0.55
102-2,NaN,0.84,0.60,0.67,0.70,0.42,0.41
102-3,NaN,NaN,0.75,0.42,0.58,0.12,0.40
103-1,NaN,0.94,0.50,0.77,0.74,0.58,0.69
103-2,NaN,0.96,0.50,0.80,0.61,0.56,0.65
103-3,NaN,0.92,0.50,0.78,0.71,0.50,0.63
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.75,0.52,0.56,0.68,0.52,0.61
105-2,NaN,0.83,0.55,0.66,0.76,0.58,0.63
105-3,NaN,0.79,0.48,0.58,0.74,0.60,0.63
106-1,NaN,0.75,0.50,0.68,0.76,0.50,0.62
106-2,NaN,0.60,0.50,0.60,0.60,0.50,0.45
106-3,NaN,0.98,0.50,0.89,0.77,0.50,0.52
107-1,NaN,0.79,0.51,0.67,0.70,0.61,0.51
107-2,NaN,0.80,0.47,0.65,0.78,0.58,0.59
107-3,NaN,0.82,0.50,0.63,0.72,0.59,0.56
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.69,0.65,0.52,0.68,0.60,0.60
110-2,NaN,0.80,0.56,0.73,0.69,0.66,0.59
110-3,NaN,0.64,0.60,0.58,0.66,0.70,0.59
111-1,NaN,0.69,0.65,0.52,0.68,0.60,0.60
111-2,NaN,0.64,0.60,0.58,0.66,0.70,0.59
111-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112-1,NaN,0.90,0.64,0.78,0.72,0.67,0.64
112-2,NaN,0.90,0.65,0.78,0.73,0.65,0.62
112-3,NaN,0.90,0.64,0.75,0.71,0.61,0.60
113-1,NaN,0.90,0.65,0.75,0.73,0.59,0.58
113-2,NaN,0.63,0.60,0.59,0.63,0.67,0.57
113-3,NaN,0.73,0.63,0.49,0.64,0.53,0.55
114-1,NaN,0.86,0.50,0.76,0.83,0.70,0.72
115-1,NaN,0.94,0.52,0.76,0.89,0.60,0.74
116-1,NaN,0.82,0.50,0.80,0.82,0.53,0.67
116-2,NaN,0.73,0.50,0.77,0.75,0.50,0.62
117-1,NaN,0.77,0.44,0.75,0.65,0.50,0.44
117-2,NaN,0.84,0.50,0.68,0.53,0.50,0.52
119-1,NaN,0.89,0.48,0.79,0.74,0.44,0.57
120-1,NaN,0.89,0.64,0.78,0.83,0.70,0.71
120-2,NaN,0.55,0.49,0.56,0.68,0.46,0.60
120-3,NaN,0.40,0.50,0.47,0.46,0.50,0.49
121-1,NaN,0.90,0.50,0.76,0.79,0.49,0.72
121-2,NaN,1.00,NaN,1.00,1.00,NaN,0.75
121-3,NaN,0.95,0.50,0.77,0.76,0.54,0.74
122-1,NaN,0.92,0.47,0.75,0.59,0.58,0.67
124-1,NaN,0.57,0.54,0.24,0.22,0.49,0.50
