ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.342,0.32,0.99,0.353,0.035,0.35
BLAST-S14,0.94,0.377,0.37,0.94,0.382,0.041,0.38
Naive-S11,1.00,0.317,0.30,1.00,0.320,0.022,0.23
Naive-S14,1.00,0.299,0.16,1.00,0.300,0.018,0.16
101-1,0.91,0.502,0.37,0.91,0.504,0.036,0.30
101-2,0.90,0.556,0.18,0.90,0.558,0.035,0.18
101-3,0.91,0.582,0.30,0.91,0.589,0.037,0.44
102-1,0.94,0.530,0.67,0.94,0.533,0.035,0.64
102-2,0.85,0.489,0.79,0.85,0.499,0.035,0.68
102-3,0.13,0.591,0.40,0.13,0.588,0.068,0.58
103-1,0.76,0.536,0.18,0.76,0.543,0.035,0.26
103-2,0.84,0.589,0.55,0.84,0.596,0.038,0.54
103-3,0.78,0.596,0.17,0.78,0.595,0.041,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.97,0.440,0.92,0.97,0.452,0.035,0.73
105-2,0.97,0.500,0.99,0.97,0.502,0.037,0.99
105-3,0.97,0.469,0.99,0.97,0.468,0.038,0.99
106-1,0.85,0.499,0.13,0.85,0.498,0.044,0.14
106-2,0.50,0.450,0.81,0.50,0.452,0.062,0.82
106-3,0.50,0.622,0.09,0.50,0.622,0.050,0.12
107-1,1.00,0.483,0.74,1.00,0.492,0.036,0.81
107-2,1.00,0.457,0.04,1.00,0.458,0.036,0.05
107-3,0.99,0.432,0.05,0.99,0.438,0.039,0.05
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.93,0.414,0.44,0.93,0.420,0.038,0.41
110-2,0.94,0.476,0.16,0.94,0.482,0.034,0.18
110-3,1.00,0.184,0.67,1.00,0.193,0.020,0.51
111-1,0.93,0.414,0.44,0.93,0.420,0.038,0.41
111-2,1.00,0.184,0.67,1.00,0.193,0.020,0.51
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.466,0.22,1.00,0.472,0.032,0.28
112-2,1.00,0.472,0.22,1.00,0.480,0.032,0.25
112-3,1.00,0.461,0.22,1.00,0.465,0.033,0.26
113-1,1.00,0.468,0.20,1.00,0.474,0.032,0.24
113-2,0.99,0.178,0.36,0.99,0.184,0.020,0.36
113-3,0.85,0.413,0.44,0.85,0.417,0.039,0.42
114-1,1.00,0.590,0.99,1.00,0.590,0.038,0.99
115-1,1.00,0.580,0.49,1.00,0.584,0.037,0.49
116-1,0.88,0.569,0.61,0.88,0.571,0.041,0.52
116-2,0.84,0.515,0.49,0.84,0.516,0.046,0.55
117-1,1.00,0.451,0.09,1.00,0.457,0.030,0.08
117-2,0.28,0.566,1.00,0.28,0.561,0.082,1.00
119-1,0.96,0.534,0.76,0.96,0.534,0.035,0.76
120-1,1.00,0.595,1.00,1.00,0.596,0.037,1.00
120-2,1.00,0.279,0.32,1.00,0.279,0.027,0.33
120-3,0.81,0.245,0.46,0.81,0.245,0.027,0.49
121-1,0.81,0.583,0.51,0.81,0.582,0.041,0.52
121-2,0.07,0.661,0.61,0.07,0.659,0.192,0.64
121-3,0.84,0.608,0.50,0.84,0.614,0.039,0.32
122-1,0.74,0.563,0.90,0.74,0.563,0.045,0.88
124-1,1.00,0.288,0.17,1.00,0.293,0.022,0.21
124-2,1.00,0.197,0.14,1.00,0.201,0.014,0.15
124-3,1.00,0.287,0.17,1.00,0.293,0.023,0.23
125-1,1.00,0.590,0.99,1.00,0.590,0.038,0.99
125-2,0.96,0.510,0.43,0.96,0.526,0.037,0.38
125-3,0.99,0.463,0.37,0.99,0.465,0.035,0.41
126-1,0.62,0.430,0.55,0.62,0.433,0.051,0.57
127-1,0.90,0.584,0.69,0.90,0.585,0.035,0.69
127-2,0.88,0.520,0.18,0.88,0.526,0.037,0.18
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.75,0.438,0.01,0.75,0.443,0.045,0.04
129-1,0.96,0.448,0.54,0.96,0.455,0.039,0.52
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.96,0.448,0.54,0.96,0.455,0.039,0.52
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.74,0.597,0.53,0.73,0.597,0.044,0.57
131-2,0.82,0.588,0.10,0.82,0.591,0.043,0.52
131-3,0.93,0.540,0.32,0.93,0.547,0.039,0.30
132-1,1.00,0.494,0.39,1.00,0.496,0.031,0.38
132-2,1.00,0.491,0.39,1.00,0.492,0.032,0.38
65-1,0.94,0.354,0.10,0.94,0.363,0.031,0.14
65-2,0.87,0.364,0.10,0.87,0.377,0.031,0.14
65-3,0.94,0.370,0.09,0.94,0.383,0.031,0.11
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,0.535,0.63,1.00,0.537,0.035,0.61
69-2,1.00,0.536,0.66,1.00,0.542,0.035,0.54
70-1,1.00,0.436,0.11,1.00,0.440,0.029,0.13
70-2,1.00,0.274,0.10,1.00,0.281,0.018,0.11
70-3,1.00,0.299,0.08,1.00,0.301,0.020,0.09
72-1,1.00,0.506,0.01,1.00,0.505,0.034,0.01
72-2,0.84,0.314,0.01,0.84,0.313,0.044,0.01
73-1,1.00,0.443,0.99,1.00,0.455,0.035,0.93
73-2,1.00,0.454,0.99,1.00,0.462,0.036,0.97
73-3,0.97,0.457,0.85,0.97,0.458,0.032,0.88
74-1,0.71,0.532,0.29,0.71,0.534,0.046,0.35
74-2,0.94,0.568,0.67,0.94,0.569,0.040,0.69
75-1,1.00,0.569,0.70,1.00,0.568,0.037,0.70
75-2,1.00,0.584,0.70,1.00,0.583,0.036,0.70
79-1,0.88,0.520,0.19,0.88,0.520,0.038,0.18
79-2,0.46,0.622,0.20,0.46,0.627,0.043,0.20
79-3,0.96,0.533,0.20,0.96,0.539,0.037,0.31
80-1,0.78,0.528,0.70,0.78,0.528,0.045,0.61
80-2,0.96,0.582,0.70,0.96,0.582,0.039,0.70
81-1,0.85,0.586,0.07,0.85,0.587,0.038,0.33
81-2,0.85,0.586,0.07,0.85,0.587,0.038,0.33
82-1,0.75,0.510,0.67,0.75,0.516,0.043,0.68
83-1,0.99,0.450,0.34,0.99,0.455,0.032,0.33
83-2,0.99,0.492,0.30,0.99,0.498,0.032,0.26
84-1,0.90,0.373,0.26,0.90,0.379,0.027,0.27
85-1,0.87,0.529,0.56,0.87,0.536,0.042,0.45
85-2,0.87,0.529,0.56,0.87,0.536,0.042,0.45
86-1,0.99,0.371,0.56,0.99,0.377,0.039,0.64
86-2,0.99,0.371,0.56,0.99,0.377,0.039,0.64
86-3,0.97,0.384,0.31,0.97,0.389,0.041,0.36
87-1,0.87,0.567,0.19,0.87,0.570,0.040,0.27
87-2,0.87,0.584,0.19,0.87,0.590,0.041,0.20
87-3,0.85,0.598,0.12,0.85,0.601,0.039,0.27
88-1,0.97,0.491,0.03,0.97,0.496,0.043,0.35
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.94,0.235,1.00,0.94,0.234,0.034,1.00
93-2,0.97,0.146,1.00,0.97,0.146,0.018,1.00
94-1,1.00,0.572,1.00,1.00,0.571,0.037,1.00
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,0.93,0.308,0.51,0.93,0.312,0.037,0.50
99-1,0.84,0.474,0.14,0.84,0.476,0.045,0.13
