ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,8.469,0.46,0.99,8.385,0.644,0.47
BLAST-S14,0.94,7.860,0.50,0.94,7.860,0.623,0.51
Naive-S11,1.00,8.906,0.30,1.00,8.903,0.571,0.28
Naive-S14,1.00,8.947,0.43,1.00,8.940,0.567,0.40
101-1,0.91,8.008,0.43,0.91,7.953,0.646,0.44
101-2,0.90,6.278,0.40,0.90,6.222,0.542,0.34
101-3,0.91,5.759,0.75,0.91,5.730,0.528,0.70
102-1,0.94,6.702,0.77,0.94,6.693,0.538,0.77
102-2,0.85,7.658,0.89,0.85,7.581,0.577,0.90
102-3,0.13,7.263,0.86,0.13,7.222,1.155,0.85
103-1,0.76,6.769,0.55,0.76,6.644,0.593,0.46
103-2,0.84,5.388,0.78,0.84,5.347,0.587,0.77
103-3,0.78,6.559,0.33,0.78,6.294,0.595,0.26
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.97,8.743,0.93,0.97,8.770,0.576,0.93
105-2,0.97,11.037,1.00,0.97,11.103,1.545,1.00
105-3,0.97,15.750,1.00,0.97,15.822,2.355,1.00
106-1,0.85,7.864,0.40,0.85,7.625,0.633,0.61
106-2,0.50,7.910,0.84,0.50,7.666,0.823,0.90
106-3,0.50,5.633,0.32,0.50,5.377,0.789,0.31
107-1,1.00,9.551,1.00,1.00,9.687,1.912,0.99
107-2,1.00,7.595,0.16,1.00,7.473,0.599,0.15
107-3,0.99,8.165,0.11,0.99,8.047,0.598,0.13
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.93,9.019,0.98,0.93,8.970,0.632,0.96
110-2,0.94,6.916,0.68,0.94,6.862,0.551,0.64
110-3,1.00,13.413,1.00,1.00,13.434,0.642,1.00
111-1,0.93,9.019,0.98,0.93,8.970,0.632,0.96
111-2,1.00,13.413,1.00,1.00,13.434,0.642,1.00
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,7.425,0.54,1.00,7.365,0.565,0.59
112-2,1.00,7.493,0.59,1.00,7.370,0.566,0.59
112-3,1.00,7.486,0.54,1.00,7.474,0.565,0.55
113-1,1.00,7.593,0.55,1.00,7.486,0.569,0.54
113-2,0.99,13.733,1.00,0.99,13.752,0.677,1.00
113-3,0.85,9.318,0.98,0.85,9.246,0.694,0.96
114-1,1.00,6.490,1.00,1.00,6.510,0.675,1.00
115-1,1.00,6.272,0.86,1.00,6.102,0.533,0.77
116-1,0.88,6.045,0.86,0.88,5.865,0.557,0.74
116-2,0.84,5.888,0.61,0.84,5.891,0.618,0.58
117-1,1.00,7.532,0.13,1.00,7.442,0.552,0.13
117-2,0.28,6.816,1.00,0.28,6.999,1.563,1.00
119-1,0.96,7.032,0.92,0.96,6.975,0.585,0.92
120-1,1.00,6.588,1.00,1.00,6.626,0.718,1.00
120-2,1.00,9.285,0.83,1.00,9.243,0.585,0.80
120-3,0.81,9.684,0.90,0.81,9.615,0.671,0.87
121-1,0.81,6.499,0.60,0.81,6.518,0.710,0.57
121-2,0.07,3.281,0.61,0.07,3.518,1.769,0.66
121-3,0.84,5.937,0.86,0.84,5.812,0.586,0.83
122-1,0.74,6.419,0.90,0.74,6.462,0.740,0.90
124-1,1.00,8.748,0.32,1.00,8.760,0.566,0.34
124-2,1.00,9.539,0.42,1.00,9.536,0.590,0.44
124-3,1.00,8.524,0.32,1.00,8.548,0.558,0.32
125-1,1.00,6.490,1.00,1.00,6.510,0.675,1.00
125-2,0.96,7.028,0.55,0.96,6.869,0.671,0.52
125-3,0.99,8.009,0.65,0.99,7.922,0.546,0.64
126-1,0.62,7.129,0.57,0.62,7.014,0.648,0.62
127-1,0.90,6.559,0.78,0.90,6.431,0.581,0.80
127-2,0.88,7.047,0.36,0.88,6.895,0.581,0.32
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.75,11.651,1.00,0.75,11.813,2.685,0.88
129-1,0.96,7.668,0.56,0.96,7.567,0.575,0.58
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.96,7.668,0.56,0.96,7.567,0.575,0.58
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.74,6.316,1.00,0.73,6.341,0.780,0.82
131-2,0.82,6.611,1.00,0.82,6.583,0.796,0.74
131-3,0.93,6.401,0.49,0.93,6.307,0.586,0.59
132-1,1.00,7.472,0.59,1.00,7.461,0.562,0.59
132-2,1.00,7.540,0.59,1.00,7.532,0.561,0.58
65-1,0.94,8.461,0.30,0.94,8.446,0.618,0.31
65-2,0.87,8.453,0.29,0.87,8.417,0.650,0.31
65-3,0.94,8.501,0.31,0.94,8.483,0.617,0.33
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,6.762,0.91,1.00,6.591,0.515,0.84
69-2,1.00,6.511,0.71,1.00,6.381,0.505,0.80
70-1,1.00,7.988,0.27,1.00,7.908,0.587,0.24
70-2,1.00,9.734,1.00,1.00,9.381,0.689,0.67
70-3,1.00,8.888,0.19,1.00,8.845,0.549,0.18
72-1,1.00,6.781,0.27,1.00,6.765,0.501,0.29
72-2,0.84,8.649,0.01,0.84,8.662,0.676,0.01
73-1,1.00,8.624,1.00,1.00,8.706,1.044,1.00
73-2,1.00,8.121,1.00,1.00,8.204,0.961,1.00
73-3,0.97,16.623,0.98,0.97,16.677,2.451,0.99
74-1,0.71,6.989,0.89,0.71,6.829,0.619,0.84
74-2,0.94,6.582,0.83,0.94,6.504,0.630,0.81
75-1,1.00,6.762,0.91,1.00,6.634,0.523,0.86
75-2,1.00,6.511,0.71,1.00,6.391,0.505,0.81
79-1,0.88,7.117,0.33,0.88,6.998,0.524,0.37
79-2,0.46,5.559,0.33,0.46,5.485,0.695,0.36
79-3,0.96,6.882,0.89,0.96,6.707,0.577,0.66
80-1,0.78,7.154,0.70,0.78,6.952,0.635,0.79
80-2,0.96,6.568,0.83,0.96,6.502,0.621,0.83
81-1,0.85,7.250,1.00,0.85,7.303,1.198,0.96
81-2,0.85,7.250,1.00,0.85,7.303,1.198,0.96
82-1,0.75,6.006,0.83,0.75,5.936,0.521,0.84
83-1,0.99,8.394,0.80,0.99,8.283,0.588,0.71
83-2,0.99,7.174,0.30,0.99,7.131,0.563,0.36
84-1,0.90,8.157,0.37,0.90,8.111,0.506,0.39
85-1,0.87,6.252,0.72,0.87,6.247,0.612,0.72
